,precision_wn,recall_wn,precision_cn,recall_cn
0,0.3333333333333333,0.27777777777777773,0.3333333333333333,1.0
1,1.0,0.2,1.0,1.0
2,0.5,1.0,0.5,1.0
3,0.09090909090909091,0.6861471861471862,0.09090909090909091,1.0
4,0.1,0.6449999999999999,0.1,1.0
5,1.0,1.0,1.0,1.0
6,0.14285714285714282,0.750375939849624,0.14285714285714282,1.0
7,1.0,0.25,1.0,1.0
8,0.25,0.8,0.25,1.0
9,0.06666666666666667,0.9111111111111111,0.06666666666666667,1.0
10,1.0,0.14285714285714285,1.0,1.0
11,0.14285714285714282,0.2380952380952381,0.14285714285714282,1.0
12,0.19444444444444442,0.584920634920635,0.16666666666666666,1.0
13,1.0,0.16666666666666666,1.0,1.0
14,0.058823529411764705,0.7672268907563025,0.058823529411764705,1.0
15,1.0,1.0,1.0,1.0
16,0.1234567901234568,0.37603485838779954,0.1111111111111111,1.0
17,0.3125,0.3943452380952381,0.25,1.0
18,0.5,0.09821428571428571,0.5,1.0
19,0.140625,0.1220751633986928,0.125,1.0
20,1.0,0.25,1.0,1.0
21,0.16666666666666666,0.6166666666666667,0.16666666666666666,1.0
22,1.0,1.0,1.0,1.0
23,0.0625,0.6875,0.0625,1.0
24,0.2,0.5253623188405797,0.2,1.0
25,0.5,0.6666666666666666,0.5,1.0
26,0.5,1.0,0.5,1.0
27,1.0,0.25,1.0,1.0
28,0.2,0.4333333333333333,0.2,1.0
29,0.3333333333333333,0.40972222222222227,0.3333333333333333,1.0
30,0.16666666666666666,0.6349206349206349,0.16666666666666666,1.0
31,0.5,0.26666666666666666,0.5,1.0
32,0.5,0.5,0.5,1.0
33,0.1111111111111111,0.6555555555555556,0.1111111111111111,1.0
34,0.1234567901234568,0.7232804232804233,0.1111111111111111,1.0
35,0.04761904761904763,0.8496598639455781,0.04761904761904763,1.0
36,0.3333333333333333,1.0,0.3333333333333333,1.0
37,0.25,0.8125,0.25,1.0
38,0.140625,0.8125,0.125,1.0
39,1.0,1.0,1.0,1.0
40,0.25,0.4166666666666667,0.25,1.0
41,1.0,1.0,1.0,1.0
42,0.08163265306122447,0.4297858887144601,0.07142857142857141,1.0
43,0.25,0.5590277777777778,0.25,1.0
44,0.3333333333333333,0.5111111111111111,0.3333333333333333,1.0
45,0.24,0.5184313725490195,0.2,1.0
46,0.3333333333333333,0.1851851851851852,0.3333333333333333,1.0
47,0.09917355371900825,0.4851527782562266,0.09090909090909091,1.0
48,0.2,0.45928571428571424,0.2,1.0
49,0.2,0.32285714285714284,0.2,1.0
50,0.14285714285714282,0.08169122544122544,0.14285714285714282,1.0
51,0.2,1.0,0.2,1.0
52,0.08333333333333333,0.798611111111111,0.08333333333333333,1.0
53,0.2,0.5000000000000001,0.2,1.0
54,0.14285714285714282,0.19642857142857142,0.14285714285714282,1.0
55,0.14285714285714282,0.2515873015873016,0.14285714285714282,1.0
56,1.0,1.0,1.0,1.0
57,0.05263157894736841,0.6146897692950324,0.05263157894736841,1.0
58,1.0,1.0,1.0,1.0
59,1.0,0.5,1.0,1.0
60,0.4444444444444444,0.15476190476190474,0.3333333333333333,1.0
61,0.25,0.8333333333333333,0.25,1.0
62,0.5555555555555555,0.5555555555555555,0.3333333333333333,1.0
63,0.14285714285714282,0.8571428571428571,0.14285714285714282,1.0
64,0.16666666666666666,0.8611111111111112,0.16666666666666666,1.0
65,0.16666666666666666,1.0,0.16666666666666666,1.0
66,0.2,1.0,0.2,1.0
67,0.04,0.7164544695071011,0.04,1.0
68,0.1111111111111111,0.2814942823007339,0.1111111111111111,1.0
69,0.2,0.8142857142857143,0.2,1.0
70,0.25,0.75,0.25,1.0
71,0.2,0.41666666666666663,0.2,1.0
72,0.0769230769230769,0.6778846153846154,0.0769230769230769,1.0
73,1.0,1.0,1.0,1.0
74,0.14285714285714282,0.7904761904761904,0.14285714285714282,1.0
75,0.5,0.13333333333333333,0.5,1.0
76,0.5,0.625,0.5,1.0
77,0.75,0.0900735294117647,0.5,1.0
78,0.25,1.0,0.25,1.0
79,0.16666666666666666,1.0,0.16666666666666666,1.0
80,0.058823529411764705,0.5727106227106227,0.058823529411764705,1.0
81,0.14285714285714282,0.9047619047619048,0.14285714285714282,1.0
82,0.1,0.5267857142857142,0.1,1.0
