,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
daqui,1.0,1.0,1.0,1.0,1,1
mto,1.0,1.0,1.0,1.0,1,1
pelo,1.0,1.0,1.0,1.0,1,1
msm,1.0,1.0,1.0,1.0,1,1
novo,1.0,1.0,1.0,1.0,1,1
bb,1.0,0.3333333333333333,1.0,1.0,1,0
emo,1.0,1.0,1.0,1.0,1,1
realn,1.0,1.0,1.0,1.0,1,1
persona,1.0,0.16666666666666666,1.0,1.0,1,0
engaged,1.0,0.03571428571428571,1.0,1.0,1,0
kutcher,1.0,1.0,1.0,1.0,1,1
hiqh,1.0,1.0,1.0,1.0,1,1
curioso,1.0,1.0,1.0,1.0,1,1
shipped,1.0,0.2,1.0,1.0,1,0
adoro,1.0,1.0,1.0,1.0,1,1
animal,1.0,0.1111111111111111,1.0,1.0,1,0
aqe,1.0,1.0,1.0,1.0,1,1
marlon,1.0,1.0,1.0,1.0,1,1
scanned,1.0,0.14285714285714285,1.0,1.0,1,0
qi,1.0,0.25,1.0,1.0,1,0
l'air,1.0,1.0,1.0,1.0,1,1
problemas,1.0,1.0,1.0,1.0,1,1
d.o,0.5,1.0,0.5,1.0,1,1
sj,0.5,1.0,0.5,1.0,1,1
crinkly,1.0,0.2,1.0,1.0,1,0
dashboard,1.0,0.25,1.0,1.0,1,0
tamil,1.0,0.5,1.0,1.0,1,0
klang,1.0,1.0,1.0,1.0,1,1
doves,1.0,0.16666666666666666,1.0,1.0,1,0
eh,1.0,1.0,1.0,1.0,1,1
lilboosie,1.0,1.0,1.0,1.0,1,1
awek,1.0,1.0,1.0,1.0,1,1
frutista,1.0,1.0,1.0,1.0,1,1
charles,1.0,0.06666666666666667,1.0,1.0,1,0
buku,1.0,1.0,1.0,1.0,1,1
alone,1.0,0.07142857142857142,1.0,1.0,1,0
shay,1.0,0.5,1.0,1.0,1,0
prada,1.0,1.0,1.0,1.0,1,1
gangster,1.0,0.5,1.0,1.0,1,0
g.,1.0,1.0,1.0,1.0,1,1
buta,0.5,1.0,0.5,1.0,1,1
rokok,0.5,1.0,0.5,1.0,1,1
hotboy,1.0,1.0,1.0,1.0,1,1
txt,1.0,1.0,1.0,1.0,1,1
semana,1.0,1.0,1.0,1.0,1,1
cagando,1.0,1.0,1.0,1.0,1,1
satellite,1.0,0.25,1.0,1.0,1,0
magnesium,1.0,0.3333333333333333,1.0,1.0,1,0
ooyf,1.0,1.0,1.0,1.0,1,1
now,0.5,0.07692307692307693,0.5,1.0,1,0
new,0.5,0.09090909090909091,0.5,1.0,1,0
bord,1.0,1.0,1.0,1.0,1,1
jus,1.0,1.0,1.0,1.0,1,1
aiden,1.0,1.0,1.0,1.0,1,1
pix,1.0,0.25,1.0,1.0,1,0
girl,1.0,0.09090909090909091,1.0,1.0,1,0
chanel,1.0,1.0,1.0,1.0,1,1
howie,0.5,1.0,0.5,1.0,1,1
brie,0.5,0.5,0.5,1.0,1,0
viel,1.0,1.0,1.0,1.0,1,1
weird,1.0,0.16666666666666666,1.0,1.0,1,0
k.o,1.0,1.0,1.0,1.0,1,1
dr.dre,1.0,1.0,1.0,1.0,1,1
tahlia,1.0,1.0,1.0,1.0,1,1
rapide,1.0,1.0,1.0,1.0,1,1
ledi,1.0,1.0,1.0,1.0,1,1
shasha,1.0,1.0,1.0,1.0,1,1
beckham,1.0,1.0,1.0,1.0,1,1
daeja,1.0,1.0,1.0,1.0,1,1
trams,1.0,0.1,1.0,1.0,1,0
verde,1.0,1.0,1.0,1.0,1,1
ba,1.0,0.125,1.0,1.0,1,0
powerpoints,1.0,1.0,1.0,1.0,1,1
joshua,0.5,0.25,0.5,1.0,1,0
jacob,0.5,0.3333333333333333,0.5,1.0,1,0
andre,1.0,1.0,1.0,1.0,1,1
havent,1.0,1.0,1.0,1.0,1,1
gina,1.0,1.0,1.0,1.0,1,1
neville,1.0,1.0,1.0,1.0,1,1
furnished,1.0,0.16666666666666666,1.0,1.0,1,0
jodeci,1.0,1.0,1.0,1.0,1,1
varies,1.0,0.1111111111111111,1.0,1.0,1,0
cables,1.0,0.07692307692307693,1.0,1.0,1,0
faux,1.0,0.2,1.0,1.0,1,0
stephanie,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
maddie,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
becca,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
pharrell,1.0,1.0,1.0,1.0,1,1
hab,1.0,1.0,1.0,1.0,1,1
leggins,1.0,1.0,1.0,1.0,1,1
hahahahahaha,1.0,1.0,1.0,1.0,1,1
rada,1.0,1.0,1.0,1.0,1,1
mimosa,1.0,0.25,1.0,1.0,1,0
souvenir,1.0,0.2,1.0,1.0,1,0
headerr,1.0,1.0,1.0,1.0,1,1
irritated,1.0,0.041666666666666664,1.0,1.0,1,0
moviez,0.5,1.0,0.5,1.0,1,1
straightn,0.5,1.0,0.5,1.0,1,1
pippen,1.0,1.0,1.0,1.0,1,1
interacted,1.0,1.0,0.5,1.0,1,0
interact,0.5,1.0,0.5,1.0,1,1
risma,0.5,1.0,0.5,1.0,1,1
diperiksa,0.5,1.0,0.5,1.0,1,1
solomon,1.0,0.5,1.0,1.0,1,0
explorer,1.0,0.2,1.0,1.0,1,0
gayy,1.0,1.0,1.0,1.0,1,1
wss,1.0,0.09090909090909091,1.0,1.0,1,0
fuera,1.0,1.0,1.0,1.0,1,1
hahahahah,1.0,1.0,1.0,1.0,1,1
