,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
dan,1.0,1.0,1.0,1.0,1,1
mundo,1.0,1.0,1.0,1.0,1,1
puxar,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
gosto,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
uns,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,0
justin,1.0,1.0,1.0,1.0,1,1
cm,1.0,0.16666666666666666,1.0,1.0,1,0
niet,1.0,1.0,1.0,1.0,1,1
dirait,1.0,1.0,1.0,1.0,1,1
agatha,1.0,1.0,1.0,1.0,1,1
legging,1.0,0.3333333333333333,1.0,1.0,1,0
digne,1.0,1.0,1.0,1.0,1,1
gila,0.5,0.3333333333333333,0.5,1.0,1,0
pun,0.5,0.25,0.5,1.0,1,0
m,1.0,0.05,1.0,1.0,1,0
toujours,1.0,1.0,1.0,1.0,1,1
acct,1.0,1.0,1.0,1.0,1,1
twisties,1.0,1.0,1.0,1.0,1,1
pheed,1.0,1.0,1.0,1.0,1,1
printed,1.0,0.25,1.0,1.0,1,0
mogen,1.0,1.0,1.0,1.0,1,1
silva,1.0,0.5,1.0,1.0,1,0
burnell,1.0,1.0,1.0,1.0,1,1
helium,1.0,0.3333333333333333,1.0,1.0,1,0
mil,1.0,0.1111111111111111,1.0,1.0,1,0
checked,1.0,0.018867924528301886,1.0,1.0,1,0
gmail,1.0,1.0,1.0,1.0,1,1
hazza,1.0,1.0,1.0,1.0,1,1
delivered,1.0,0.041666666666666664,1.0,1.0,1,0
fds,1.0,1.0,1.0,1.0,1,1
disorder,1.0,0.1,1.0,1.0,1,0
sbs,1.0,0.14285714285714285,1.0,1.0,1,0
activated,1.0,0.08333333333333333,1.0,1.0,1,0
virgin,1.0,0.125,1.0,1.0,1,0
soner,1.0,1.0,1.0,1.0,1,1
abercrombie,1.0,1.0,1.0,1.0,1,1
laisse,1.0,1.0,1.0,1.0,1,1
lengan,1.0,1.0,1.0,1.0,1,1
donuts,1.0,0.25,1.0,1.0,1,0
cooper,1.0,0.14285714285714285,1.0,1.0,1,0
separately,1.0,0.16666666666666666,1.0,1.0,1,0
makenn,1.0,1.0,1.0,1.0,1,1
mahal,1.0,1.0,1.0,1.0,1,1
prussia,1.0,0.3333333333333333,1.0,1.0,1,0
kevin,1.0,1.0,1.0,1.0,1,1
vezzo,1.0,1.0,1.0,1.0,1,1
iman,1.0,1.0,1.0,1.0,1,1
tab,1.0,0.1111111111111111,1.0,1.0,1,0
bbs,1.0,0.16666666666666666,1.0,1.0,1,0
eating,1.0,0.07142857142857142,1.0,1.0,1,0
@,1.0,1.0,1.0,1.0,1,1
bhd,1.0,1.0,1.0,1.0,1,1
una,1.0,1.0,1.0,1.0,1,1
passager,1.0,1.0,1.0,1.0,1,1
sorang,1.0,1.0,1.0,1.0,1,1
jake,1.0,1.0,1.0,1.0,1,1
jou,1.0,1.0,1.0,1.0,1,1
leslie,1.0,1.0,1.0,1.0,1,1
lopez,1.0,1.0,1.0,1.0,1,1
stimulated,1.0,0.045454545454545456,1.0,1.0,1,0
unsecured,1.0,0.16666666666666666,1.0,1.0,1,0
separado,1.0,1.0,1.0,1.0,1,1
layered,1.0,0.3333333333333333,1.0,1.0,1,0
bla,1.0,1.0,1.0,1.0,1,1
tons,1.0,0.05,1.0,1.0,1,0
c.,1.0,1.0,1.0,1.0,1,1
vlogs,1.0,1.0,1.0,1.0,1,1
lum,1.0,1.0,1.0,1.0,1,1
interiors,1.0,0.14285714285714285,1.0,1.0,1,0
riri,1.0,1.0,1.0,1.0,1,1
apologizes,1.0,0.14285714285714285,1.0,1.0,1,0
lame,1.0,0.1111111111111111,1.0,1.0,1,0
spotify,1.0,1.0,1.0,1.0,1,1
desperate,1.0,0.2,1.0,1.0,1,0
windows,1.0,0.25,1.0,1.0,1,0
l.,1.0,1.0,1.0,1.0,1,1
kena,1.0,1.0,1.0,1.0,1,1
scarred,1.0,0.16666666666666666,1.0,1.0,1,0
flowers,1.0,0.1111111111111111,1.0,1.0,1,0
eva,1.0,1.0,1.0,1.0,1,1
