,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
ela,1.0,0.3333333333333333,1.0,1.0,1,0
leite,1.0,1.0,1.0,1.0,1,1
casa,0.5,1.0,0.5,1.0,1,1
vo,0.5,1.0,0.5,1.0,1,1
],1.0,1.0,1.0,1.0,1,1
bea,1.0,1.0,1.0,1.0,1,1
neves,1.0,0.5,1.0,1.0,1,0
quanto,1.0,1.0,1.0,1.0,1,1
lepas,0.5,0.3333333333333333,0.5,1.0,1,0
kredit,0.5,1.0,0.5,1.0,1,1
gland,1.0,0.25,1.0,1.0,1,0
sudah,1.0,1.0,1.0,1.0,1,1
snapchats,1.0,1.0,1.0,1.0,1,1
deviennent,1.0,1.0,1.0,1.0,1,1
lance,1.0,0.14285714285714285,1.0,1.0,1,0
alex,1.0,1.0,1.0,1.0,1,1
anorexic,1.0,0.5,1.0,1.0,1,0
par,1.0,0.25,1.0,1.0,1,0
painn,1.0,1.0,1.0,1.0,1,1
starbucks,1.0,1.0,1.0,1.0,1,1
noot,1.0,1.0,1.0,1.0,1,1
xperia,1.0,1.0,1.0,1.0,1,1
stressn,1.0,1.0,1.0,1.0,1,1
domo,1.0,1.0,1.0,1.0,1,1
generics,1.0,0.3333333333333333,1.0,1.0,1,0
donalds,1.0,1.0,1.0,1.0,1,1
lately,1.0,0.2,1.0,1.0,1,0
doen,0.5,1.0,0.5,1.0,1,1
tweeten,0.5,1.0,0.5,1.0,1,1
darron,1.0,1.0,1.0,1.0,1,1
duplex,1.0,0.25,1.0,1.0,1,0
downgraded,1.0,0.5,1.0,1.0,1,0
padat,1.0,1.0,1.0,1.0,1,1
zte,1.0,1.0,1.0,1.0,1,1
evra,1.0,1.0,1.0,1.0,1,1
alor,1.0,1.0,1.0,1.0,1,1
rekindling,1.0,0.5,1.0,1.0,1,0
para,0.5,0.1111111111111111,0.5,1.0,1,0
tiempo,0.5,1.0,0.5,1.0,1,1
hernandez,1.0,1.0,1.0,1.0,1,1
jail,1.0,0.06666666666666667,1.0,1.0,1,0
delirious,1.0,0.16666666666666666,1.0,1.0,1,0
millions,1.0,0.1,1.0,1.0,1,0
ehhh,1.0,1.0,1.0,1.0,1,1
secara,0.5,1.0,0.5,1.0,1,1
wanita,0.5,1.0,0.5,1.0,1,1
abrazos,1.0,1.0,1.0,1.0,1,1
lesbian,1.0,0.2,1.0,1.0,1,0
fannie,1.0,1.0,1.0,1.0,1,1
meowed,1.0,0.3333333333333333,1.0,1.0,1,0
rusts,1.0,0.16666666666666666,1.0,1.0,1,0
dinda,0.5,1.0,0.5,1.0,1,1
bobo,0.5,1.0,0.5,1.0,1,1
rolo,1.0,1.0,1.0,1.0,1,1
directly,1.0,0.07692307692307693,1.0,1.0,1,0
accessories,1.0,0.125,1.0,1.0,1,0
noches,1.0,1.0,1.0,1.0,1,1
kut,1.0,1.0,1.0,1.0,1,1
vintage,1.0,0.5,1.0,1.0,1,0
knott,1.0,1.0,1.0,1.0,1,1
daijah,1.0,1.0,1.0,1.0,1,1
hashtag,1.0,1.0,1.0,1.0,1,1
notebooks,1.0,0.3333333333333333,1.0,1.0,1,0
selma,0.5,0.5,0.5,1.0,1,0
deborah,0.5,1.0,0.5,1.0,1,1
odom,1.0,1.0,1.0,1.0,1,1
mally,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
stef,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
renee,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
kapri,1.0,1.0,1.0,1.0,1,1
chove,1.0,1.0,1.0,1.0,1,1
week,1.0,0.25,1.0,1.0,1,0
beef,1.0,0.09090909090909091,1.0,1.0,1,0
kriss,1.0,0.25,1.0,1.0,1,0
favouriting,1.0,1.0,1.0,1.0,1,1
samples,1.0,0.14285714285714285,1.0,1.0,1,0
besar,1.0,1.0,1.0,1.0,1,1
blm,1.0,1.0,1.0,1.0,1,1
jose,1.0,1.0,1.0,1.0,1,1
batons,1.0,0.125,1.0,1.0,1,0
vey,1.0,1.0,1.0,1.0,1,1
utube,0.5,1.0,0.5,1.0,1,1
bbf,0.5,1.0,0.5,1.0,1,1
novi,1.0,1.0,1.0,1.0,1,1
croissants,1.0,0.3333333333333333,1.0,1.0,1,0
part,1.0,0.027777777777777776,1.0,1.0,1,0
santa,1.0,0.125,1.0,1.0,1,0
pug,1.0,0.5,1.0,1.0,1,0
originated,1.0,0.1,1.0,1.0,1,0
bersiap,1.0,1.0,1.0,1.0,1,1
mont,1.0,1.0,1.0,1.0,1,1
claro,0.5,1.0,0.5,1.0,1,1
indica,0.5,1.0,0.5,1.0,1,1
tsk,1.0,0.3333333333333333,1.0,1.0,1,0
mullah,0.5,0.25,0.5,1.0,1,0
spence,0.5,1.0,0.5,1.0,1,1
stormin,1.0,1.0,1.0,1.0,1,1
aioli,1.0,0.3333333333333333,1.0,1.0,1,0
markis,1.0,1.0,1.0,1.0,1,1
brocolli,1.0,1.0,1.0,1.0,1,1
boulevard,1.0,0.5,1.0,1.0,1,0
progressively,1.0,0.3333333333333333,1.0,1.0,1,0
shy,1.0,0.25,1.0,1.0,1,0
edu,1.0,1.0,1.0,1.0,1,1
minions,1.0,0.5,1.0,1.0,1,0
uber,1.0,1.0,1.0,1.0,1,1
hambar,1.0,1.0,1.0,1.0,1,1
ching,1.0,1.0,1.0,1.0,1,1
flees,1.0,0.25,1.0,1.0,1,0
buckey,1.0,1.0,1.0,1.0,1,1
bdp,1.0,1.0,1.0,1.0,1,1
shyla,1.0,1.0,1.0,1.0,1,1
characters,1.0,0.05263157894736842,1.0,1.0,1,0
sloth,1.0,0.2,1.0,1.0,1,0
clusters,0.5,0.1111111111111111,0.5,1.0,1,0
statues,0.5,0.5,0.5,1.0,1,0
mangos,1.0,0.25,1.0,1.0,1,0
chevelle,1.0,1.0,1.0,1.0,1,1
pregnent,0.5,1.0,0.5,1.0,1,1
pregnet,0.5,1.0,0.5,1.0,1,1
necklaces,1.0,0.5,1.0,1.0,1,0
greg,1.0,1.0,1.0,1.0,1,1
deformed,1.0,0.0625,1.0,1.0,1,0
ordering,1.0,0.043478260869565216,1.0,1.0,1,0
bravo,1.0,0.3333333333333333,1.0,1.0,1,0
woken,1.0,0.07142857142857142,1.0,1.0,1,0
transitioned,0.5,0.5,0.5,1.0,1,0
retreated,0.5,0.06666666666666667,0.5,1.0,1,0
fleeces,1.0,0.07692307692307693,1.0,1.0,1,0
thugs,1.0,0.1111111111111111,1.0,1.0,1,0
dis,1.0,0.3333333333333333,1.0,1.0,1,0
gammer,1.0,1.0,1.0,1.0,1,1
dissing,1.0,0.25,1.0,1.0,1,0
acre,1.0,0.2,1.0,1.0,1,0
rusak,1.0,1.0,1.0,1.0,1,1
ovaries,1.0,0.5,1.0,1.0,1,0
kaln,1.0,1.0,1.0,1.0,1,1
maps,1.0,0.125,1.0,1.0,1,0
ravenous,1.0,0.1,1.0,1.0,1,0
mike,1.0,0.5,1.0,1.0,1,0
medina,1.0,0.3333333333333333,1.0,1.0,1,0
purses,1.0,0.16666666666666666,1.0,1.0,1,0
tenia,0.5,0.3333333333333333,0.5,1.0,1,0
recien,0.5,1.0,0.5,1.0,1,1
coles,1.0,0.14285714285714285,1.0,1.0,1,0
accessible,1.0,0.5,1.0,1.0,1,0
powdered,1.0,0.09090909090909091,1.0,1.0,1,0
alie,1.0,1.0,1.0,1.0,1,1
autobot,1.0,1.0,1.0,1.0,1,1
syn,1.0,1.0,1.0,1.0,1,1
braids,1.0,0.1111111111111111,1.0,1.0,1,0
kimmie,1.0,1.0,1.0,1.0,1,1
imessaging,1.0,1.0,1.0,1.0,1,1
uninvited,1.0,1.0,1.0,1.0,1,1
bagi,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
lain,0.3333333333333333,0.14285714285714285,0.3333333333333333,1.0,1,0
baik,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
camer,1.0,1.0,1.0,1.0,1,1
bright,0.5,0.07692307692307693,0.5,1.0,1,0
yellow,0.5,0.07142857142857142,0.5,1.0,1,0
flexi,1.0,1.0,1.0,1.0,1,1
ginger,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,1,0
cereal,0.3333333333333333,0.25,0.3333333333333333,1.0,1,0
muffin,0.3333333333333333,0.5,0.3333333333333333,1.0,1,0
jones,1.0,0.09090909090909091,1.0,1.0,1,0
fashionably,1.0,1.0,1.0,1.0,1,1
kissy,1.0,1.0,1.0,1.0,1,1
thieves,1.0,0.1111111111111111,1.0,1.0,1,0
cos,1.0,0.07142857142857142,1.0,1.0,1,0
stoped,1.0,0.03571428571428571,1.0,1.0,1,0
nameless,1.0,0.25,1.0,1.0,1,0
raveen,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
quanda,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
shamira,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
butchered,1.0,0.3333333333333333,1.0,1.0,1,0
customization,1.0,1.0,1.0,1.0,1,1
townhouse,0.5,1.0,0.5,1.0,1,1
condos,0.5,0.3333333333333333,0.5,1.0,1,0
twifey,0.5,1.0,0.5,1.0,1,1
stanka,0.5,1.0,0.5,1.0,1,1
paps,1.0,0.1,1.0,1.0,1,0
louies,1.0,1.0,1.0,1.0,1,1
allergic,1.0,0.1111111111111111,1.0,1.0,1,0
disk,1.0,0.1,1.0,1.0,1,0
bx,1.0,1.0,1.0,1.0,1,1
tyanna,1.0,1.0,1.0,1.0,1,1
rebel,1.0,0.07142857142857142,1.0,1.0,1,0
protecter,1.0,1.0,1.0,1.0,1,1
exploited,1.0,0.1,1.0,1.0,1,0
indigestion,0.5,0.25,0.5,1.0,1,0
constipation,0.5,0.2,0.5,1.0,1,0
bam,0.5,0.16666666666666666,0.5,1.0,1,0
go,0.5,0.013888888888888888,0.5,1.0,1,0
shar,1.0,1.0,1.0,1.0,1,1
changedd,1.0,1.0,1.0,1.0,1,1
snippets,1.0,0.25,1.0,1.0,1,0
omw,1.0,1.0,1.0,1.0,1,1
pinas,0.5,1.0,0.5,1.0,1,1
globe,0.5,0.16666666666666666,0.5,1.0,1,0
dashawn,1.0,1.0,1.0,1.0,1,1
neet,1.0,1.0,1.0,1.0,1,1
aqainst,1.0,1.0,1.0,1.0,1,1
diverse,1.0,0.3333333333333333,1.0,1.0,1,0
benzino,1.0,1.0,1.0,1.0,1,1
freshout,1.0,1.0,1.0,1.0,1,1
carss,1.0,0.08333333333333333,1.0,1.0,1,0
catalogues,1.0,0.3333333333333333,1.0,1.0,1,0
doug,1.0,1.0,1.0,1.0,1,1
initials,1.0,0.5,1.0,1.0,1,0
pelle,1.0,1.0,1.0,1.0,1,1
bre,0.5,1.0,0.5,1.0,1,1
tae,0.5,1.0,0.5,1.0,1,1
fumes,1.0,0.14285714285714285,1.0,1.0,1,0
princess,0.5,1.0,0.5,1.0,1,1
dearest,0.5,0.06666666666666667,0.5,1.0,1,0
beats,1.0,0.017241379310344827,1.0,1.0,1,0
saww,1.0,1.0,1.0,1.0,1,1
shavon,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
olda,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
tameka,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
player,1.0,0.125,1.0,1.0,1,0
stuck,1.0,0.029411764705882353,1.0,1.0,1,0
ford,1.0,0.07142857142857142,1.0,1.0,1,0
bab,1.0,1.0,1.0,1.0,1,1
acme,0.5,0.08333333333333333,0.5,1.0,1,0
switcher,0.5,0.5,0.5,1.0,1,0
subways,1.0,0.14285714285714285,1.0,1.0,1,0
blackpeoplemeet,1.0,1.0,1.0,1.0,1,1
keyana,1.0,1.0,1.0,1.0,1,1
mfss,1.0,0.3333333333333333,1.0,1.0,1,0
gamzee,1.0,1.0,1.0,1.0,1,1
overpriced,1.0,0.5,1.0,1.0,1,0
distracting,0.5,0.1111111111111111,0.5,1.0,1,0
draining,0.5,0.16666666666666666,0.5,1.0,1,0
prostate,1.0,0.3333333333333333,1.0,1.0,1,0
hana,1.0,1.0,1.0,1.0,1,1
aiko,1.0,1.0,1.0,1.0,1,1
lesbo,1.0,1.0,1.0,1.0,1,1
mengapa,1.0,1.0,1.0,1.0,1,1
incident,0.5,0.5,0.5,1.0,1,0
crane,0.5,0.14285714285714285,0.5,1.0,1,0
triangle,1.0,0.2,1.0,1.0,1,0
busz,1.0,1.0,1.0,1.0,1,1
ablee,1.0,1.0,1.0,1.0,1,1
marginalized,1.0,0.3333333333333333,1.0,1.0,1,0
spectrum,1.0,1.0,1.0,1.0,1,1
franklinn,1.0,1.0,1.0,1.0,1,1
universal,1.0,0.1,1.0,1.0,1,0
eau,1.0,1.0,1.0,1.0,1,1
finney,1.0,1.0,1.0,1.0,1,1
sisco,0.5,1.0,0.5,1.0,1,1
adair,0.5,1.0,0.5,1.0,1,1
resized,1.0,0.5,1.0,1.0,1,0
fo,1.0,0.25,1.0,1.0,1,0
tiana,1.0,1.0,1.0,1.0,1,1
bolin,1.0,1.0,1.0,1.0,1,1
among,0.5,1.0,0.5,1.0,1,1
considered,0.5,0.05263157894736842,0.5,1.0,1,0
celibate,1.0,0.5,1.0,1.0,1,0
mcknight,1.0,1.0,1.0,1.0,1,1
staged,0.5,0.05263157894736842,0.5,1.0,1,0
killings,0.5,0.05,0.5,1.0,1,0
mutant,1.0,0.25,1.0,1.0,1,0
frooties,1.0,1.0,1.0,1.0,1,1
gttin,0.5,1.0,0.5,1.0,1,1
slpn,0.5,1.0,0.5,1.0,1,1
ode,1.0,1.0,1.0,1.0,1,1
legall,1.0,1.0,1.0,1.0,1,1
negus,1.0,1.0,1.0,1.0,1,1
brandee,1.0,1.0,1.0,1.0,1,1
geeky,0.5,1.0,0.5,1.0,1,1
girly,0.5,1.0,0.5,1.0,1,1
meb,1.0,1.0,1.0,1.0,1,1
forced,1.0,0.058823529411764705,1.0,1.0,1,0
ambito,1.0,1.0,1.0,1.0,1,1
arf,1.0,1.0,1.0,1.0,1,1
mccluer,1.0,1.0,1.0,1.0,1,1
bosses,1.0,0.08333333333333333,1.0,1.0,1,0
written,1.0,0.1,1.0,1.0,1,0
blazen,1.0,1.0,1.0,1.0,1,1
brims,1.0,0.25,1.0,1.0,1,0
mugs,1.0,0.058823529411764705,1.0,1.0,1,0
cicatriz,1.0,1.0,1.0,1.0,1,1
popularity,1.0,1.0,1.0,1.0,1,1
presentable,1.0,1.0,1.0,1.0,1,1
ow,1.0,1.0,1.0,1.0,1,1
coddled,1.0,0.1,1.0,1.0,1,0
entender,1.0,1.0,1.0,1.0,1,1
temples,1.0,0.25,1.0,1.0,1,0
magically,1.0,0.5,1.0,1.0,1,0
ackin,1.0,1.0,1.0,1.0,1,1
cheeseburger,1.0,1.0,1.0,1.0,1,1
tacoo,1.0,1.0,1.0,1.0,1,1
mynight,1.0,1.0,1.0,1.0,1,1
jumpn,1.0,1.0,1.0,1.0,1,1
el,0.5,0.1111111111111111,0.5,1.0,1,0
contra,0.5,0.5,0.5,1.0,1,0
monster,0.5,0.07692307692307693,0.5,1.0,1,0
blues,0.5,0.0625,0.5,1.0,1,0
pasado,1.0,1.0,1.0,1.0,1,1
bagus,1.0,1.0,1.0,1.0,1,1
ferarri,1.0,1.0,1.0,1.0,1,1
swingers,1.0,0.3333333333333333,1.0,1.0,1,0
faxed,1.0,0.25,1.0,1.0,1,0
homos,1.0,0.125,1.0,1.0,1,0
choo,1.0,1.0,1.0,1.0,1,1
montay,1.0,1.0,1.0,1.0,1,1
transplant,1.0,0.14285714285714285,1.0,1.0,1,0
trios,0.5,0.05,0.5,1.0,1,0
youtubers,0.5,1.0,0.5,1.0,1,1
kyron,1.0,1.0,1.0,1.0,1,1
cancelled,1.0,0.09090909090909091,1.0,1.0,1,0
bumps,1.0,0.041666666666666664,1.0,1.0,1,0
dashy,0.5,1.0,0.5,1.0,1,1
mooda,0.5,1.0,0.5,1.0,1,1
obnoxiously,1.0,0.3333333333333333,1.0,1.0,1,0
stal,1.0,1.0,1.0,1.0,1,1
follwing,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
joinin,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
ffback,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
wasteof,1.0,1.0,1.0,1.0,1,1
asser,1.0,1.0,1.0,1.0,1,1
sumner,1.0,0.3333333333333333,1.0,1.0,1,0
relevent,1.0,1.0,1.0,1.0,1,1
heey,1.0,1.0,1.0,1.0,1,1
admiral,1.0,0.5,1.0,1.0,1,0
goodfellow,1.0,1.0,1.0,1.0,1,1
hills,1.0,0.1111111111111111,1.0,1.0,1,0
offbeat,1.0,0.16666666666666666,1.0,1.0,1,0
effects,1.0,0.058823529411764705,1.0,1.0,1,0
ronney,1.0,1.0,1.0,1.0,1,1
menanti,1.0,1.0,1.0,1.0,1,1
dunham,1.0,1.0,1.0,1.0,1,1
nomor,0.5,1.0,0.5,1.0,1,1
nmr,0.5,0.25,0.5,1.0,1,0
stronq,1.0,1.0,1.0,1.0,1,1
sermon,1.0,0.3333333333333333,1.0,1.0,1,0
liek,1.0,1.0,1.0,1.0,1,1
shxt,1.0,1.0,1.0,1.0,1,1
scripts,1.0,0.16666666666666666,1.0,1.0,1,0
smit,1.0,0.3333333333333333,1.0,1.0,1,0
divas,1.0,0.3333333333333333,1.0,1.0,1,0
ladue,1.0,1.0,1.0,1.0,1,1
chimie,1.0,1.0,1.0,1.0,1,1
hiphop,1.0,1.0,1.0,1.0,1,1
benton,1.0,0.25,1.0,1.0,1,0
kamikaze,1.0,1.0,1.0,1.0,1,1
cooking,0.5,0.07142857142857142,0.5,1.0,1,0
supper,0.5,1.0,0.5,1.0,1,1
meant,1.0,0.1,1.0,1.0,1,0
gyrl,1.0,1.0,1.0,1.0,1,1
cuty,0.5,1.0,0.5,1.0,1,1
myraa,0.5,1.0,0.5,1.0,1,1
snapshots,0.5,0.25,0.5,1.0,1,0
reflections,0.5,0.08333333333333333,0.5,1.0,1,0
ruffle,1.0,0.03571428571428571,1.0,1.0,1,0
ditched,1.0,0.2,1.0,1.0,1,0
bfast,1.0,1.0,1.0,1.0,1,1
molesting,1.0,0.08333333333333333,1.0,1.0,1,0
qeen,1.0,1.0,1.0,1.0,1,1
mcds,1.0,1.0,1.0,1.0,1,1
cope,1.0,0.1,1.0,1.0,1,0
pile,1.0,0.02040816326530612,1.0,1.0,1,0
salut,1.0,1.0,1.0,1.0,1,1
cobbs,1.0,1.0,1.0,1.0,1,1
hotchocolate,1.0,1.0,1.0,1.0,1,1
holograms,1.0,0.3333333333333333,1.0,1.0,1,0
quitas,1.0,1.0,1.0,1.0,1,1
macklemore,1.0,1.0,1.0,1.0,1,1
khiry,1.0,1.0,1.0,1.0,1,1
you'r,1.0,1.0,1.0,1.0,1,1
d'angelo,1.0,1.0,1.0,1.0,1,1
bowel,0.5,0.3333333333333333,0.5,1.0,1,0
mating,0.5,0.043478260869565216,0.5,1.0,1,0
ten,1.0,0.14285714285714285,1.0,1.0,1,0
breen,0.5,1.0,0.5,1.0,1,1
diggs,0.5,1.0,0.5,1.0,1,1
juzz,1.0,1.0,1.0,1.0,1,1
typos,1.0,0.14285714285714285,1.0,1.0,1,0
lool,1.0,1.0,1.0,1.0,1,1
pills,0.5,0.09090909090909091,0.5,1.0,1,0
marijuana,0.5,0.2,0.5,1.0,1,0
jogging,1.0,0.125,1.0,1.0,1,0
itss,1.0,0.3333333333333333,1.0,1.0,1,0
bagian,1.0,1.0,1.0,1.0,1,1
legacy,0.5,0.5,0.5,1.0,1,0
marvel,0.5,0.5,0.5,1.0,1,0
hf,1.0,0.16666666666666666,1.0,1.0,1,0
irrelevent,1.0,1.0,1.0,1.0,1,1
stomachh,1.0,1.0,1.0,1.0,1,1
enero,1.0,1.0,1.0,1.0,1,1
sarap,0.5,1.0,0.5,1.0,1,1
ang,0.5,0.3333333333333333,0.5,1.0,1,0
belvedere,1.0,0.14285714285714285,1.0,1.0,1,0
chrysler,1.0,1.0,1.0,1.0,1,1
fedex,1.0,1.0,1.0,1.0,1,1
brs,1.0,0.14285714285714285,1.0,1.0,1,0
homewrecker,1.0,1.0,1.0,1.0,1,1
benchmark,1.0,0.5,1.0,1.0,1,0
ood,1.0,1.0,1.0,1.0,1,1
testy,1.0,0.08333333333333333,1.0,1.0,1,0
parc,1.0,1.0,1.0,1.0,1,1
chichi,0.5,0.125,0.5,1.0,1,0
clamato,0.5,1.0,0.5,1.0,1,1
vomit,1.0,0.03571428571428571,1.0,1.0,1,0
gala,1.0,0.25,1.0,1.0,1,0
markos,1.0,1.0,1.0,1.0,1,1
faced,1.0,0.14285714285714285,1.0,1.0,1,0
stupidd,1.0,1.0,1.0,1.0,1,1
tho,1.0,0.5,1.0,1.0,1,0
phipps,1.0,1.0,1.0,1.0,1,1
hardly,1.0,0.2,1.0,1.0,1,0
shakin,0.5,1.0,0.5,1.0,1,1
rappin,0.5,1.0,0.5,1.0,1,1
modeling,0.5,0.07142857142857142,0.5,1.0,1,0
catwalk,0.5,1.0,0.5,1.0,1,1
rajon,1.0,1.0,1.0,1.0,1,1
mexico,1.0,0.3333333333333333,1.0,1.0,1,0
versa,1.0,1.0,1.0,1.0,1,1
teamfollback,0.5,1.0,0.5,1.0,1,1
imreal,0.5,1.0,0.5,1.0,1,1
cardell,0.5,1.0,0.5,1.0,1,1
pjay,0.5,1.0,0.5,1.0,1,1
s.b,1.0,1.0,1.0,1.0,1,1
suit,0.5,0.07142857142857142,0.5,1.0,1,0
front,0.5,0.0625,0.5,1.0,1,0
plush,0.5,0.2,0.5,1.0,1,0
cocoon,0.5,1.0,0.5,1.0,1,1
inject,1.0,0.14285714285714285,1.0,1.0,1,0
socializing,1.0,0.16666666666666666,1.0,1.0,1,0
espresso,1.0,1.0,1.0,1.0,1,1
confide,1.0,0.2,1.0,1.0,1,0
shugga,1.0,1.0,1.0,1.0,1,1
adultswim,1.0,1.0,1.0,1.0,1,1
mahself,1.0,1.0,1.0,1.0,1,1
daph,1.0,1.0,1.0,1.0,1,1
oth,0.5,1.0,0.5,1.0,1,1
peoples,0.5,0.125,0.5,1.0,1,0
mou,1.0,1.0,1.0,1.0,1,1
seaweed,1.0,1.0,1.0,1.0,1,1
desmond,1.0,1.0,1.0,1.0,1,1
teah,1.0,1.0,1.0,1.0,1,1
doggy,1.0,0.2,1.0,1.0,1,0
daday,1.0,1.0,1.0,1.0,1,1
awfull,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
incomprehensible,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,0
inhabitants,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,1,0
coins,1.0,0.25,1.0,1.0,1,0
uss,1.0,0.1111111111111111,1.0,1.0,1,0
phonies,1.0,0.14285714285714285,1.0,1.0,1,0
ruston,1.0,1.0,1.0,1.0,1,1
umpteen,1.0,0.5,1.0,1.0,1,0
dynamite,1.0,1.0,1.0,1.0,1,1
henessy,1.0,1.0,1.0,1.0,1,1
lapdances,1.0,1.0,1.0,1.0,1,1
blessed,1.0,0.05,1.0,1.0,1,0
trg,1.0,1.0,1.0,1.0,1,1
prolly,0.5,1.0,0.5,1.0,1,1
gne,0.5,1.0,0.5,1.0,1,1
hx,1.0,1.0,1.0,1.0,1,1
lidah,1.0,1.0,1.0,1.0,1,1
managing,1.0,0.045454545454545456,1.0,1.0,1,0
qoodniqht,1.0,1.0,1.0,1.0,1,1
motivated,1.0,0.14285714285714285,1.0,1.0,1,0
speakin,1.0,1.0,1.0,1.0,1,1
jue,1.0,1.0,1.0,1.0,1,1
visitations,1.0,0.25,1.0,1.0,1,0
kampus,1.0,1.0,1.0,1.0,1,1
splattered,1.0,0.08333333333333333,1.0,1.0,1,0
slowly,1.0,0.2,1.0,1.0,1,0
flowing,1.0,0.08333333333333333,1.0,1.0,1,0
automatics,1.0,0.2,1.0,1.0,1,0
