,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
emoticons,1.0,0.5,1.0,1.0,1,0
sou,0.5,1.0,0.5,1.0,1,1
chique,0.5,1.0,0.5,1.0,1,1
blackberry,1.0,0.5,1.0,1.0,1,0
jsuis,1.0,1.0,1.0,1.0,1,1
primo,1.0,1.0,1.0,1.0,1,1
cigarros,1.0,1.0,1.0,1.0,1,1
sejuk,1.0,1.0,1.0,1.0,1,1
ver,1.0,0.25,1.0,1.0,1,0
encontrar,1.0,1.0,1.0,1.0,1,1
cassie,1.0,0.125,1.0,1.0,1,0
conta,1.0,1.0,1.0,1.0,1,1
tarde,1.0,1.0,1.0,1.0,1,1
zoey,1.0,1.0,1.0,1.0,1,1
messeges,0.5,1.0,0.5,1.0,1,1
nudies,0.5,1.0,0.5,1.0,1,1
meek,1.0,0.2,1.0,1.0,1,0
blouse,1.0,1.0,1.0,1.0,1,1
feed,1.0,0.06666666666666667,1.0,1.0,1,0
starlito,1.0,1.0,1.0,1.0,1,1
tattos,1.0,1.0,1.0,1.0,1,1
massa,1.0,1.0,1.0,1.0,1,1
jackson,1.0,0.058823529411764705,1.0,1.0,1,0
loin,0.5,0.5,0.5,1.0,1,0
sur,0.5,0.3333333333333333,0.5,1.0,1,0
album,0.5,0.5,0.5,1.0,1,0
mix,0.5,0.038461538461538464,0.5,1.0,1,0
damaged,1.0,0.3333333333333333,1.0,1.0,1,0
jorge,1.0,1.0,1.0,1.0,1,1
hazel,1.0,0.2,1.0,1.0,1,0
susceptible,1.0,1.0,1.0,1.0,1,1
raphael,1.0,0.25,1.0,1.0,1,0
samuel,1.0,0.5,1.0,1.0,1,0
currently,1.0,0.5,1.0,1.0,1,0
kt,1.0,0.3333333333333333,1.0,1.0,1,0
f,1.0,0.16666666666666666,1.0,1.0,1,0
wayans,1.0,1.0,1.0,1.0,1,1
nick,1.0,0.14285714285714285,1.0,1.0,1,0
jelly,1.0,0.3333333333333333,1.0,1.0,1,0
sunni,1.0,0.2,1.0,1.0,1,0
gallstones,1.0,0.3333333333333333,1.0,1.0,1,0
premiere,0.5,0.5,0.5,1.0,1,0
teaser,0.5,0.1111111111111111,0.5,1.0,1,0
brand,1.0,0.05555555555555555,1.0,1.0,1,0
ram,0.5,0.05,0.5,1.0,1,0
batt,0.5,1.0,0.5,1.0,1,1
millie,1.0,1.0,1.0,1.0,1,1
renner,1.0,1.0,1.0,1.0,1,1
gabrielle,1.0,1.0,1.0,1.0,1,1
negros,1.0,0.16666666666666666,1.0,1.0,1,0
alma,0.5,1.0,0.5,1.0,1,1
mente,0.5,1.0,0.5,1.0,1,1
julianna,1.0,1.0,1.0,1.0,1,1
shae,0.5,1.0,0.5,1.0,1,1
jaz,0.5,1.0,0.5,1.0,1,1
abuela,1.0,1.0,1.0,1.0,1,1
protected,1.0,0.3333333333333333,1.0,1.0,1,0
looks,1.0,0.03333333333333333,1.0,1.0,1,0
escribe,1.0,1.0,1.0,1.0,1,1
cobrar,1.0,1.0,1.0,1.0,1,1
addict,1.0,0.16666666666666666,1.0,1.0,1,0
raina,1.0,1.0,1.0,1.0,1,1
duper,1.0,1.0,1.0,1.0,1,1
boz,1.0,1.0,1.0,1.0,1,1
stock,0.5,0.023255813953488372,0.5,1.0,1,0
seller,0.5,0.2,0.5,1.0,1,0
blesse,1.0,1.0,1.0,1.0,1,1
button,1.0,0.16666666666666666,1.0,1.0,1,0
camarote,1.0,1.0,1.0,1.0,1,1
topin,1.0,1.0,1.0,1.0,1,1
dents,1.0,0.1,1.0,1.0,1,0
bleaching,1.0,0.08333333333333333,1.0,1.0,1,0
pulsing,1.0,0.16666666666666666,1.0,1.0,1,0
benzes,1.0,1.0,1.0,1.0,1,1
wheelchairs,1.0,0.5,1.0,1.0,1,0
urking,1.0,1.0,1.0,1.0,1,1
whale,1.0,0.25,1.0,1.0,1,0
kritis,1.0,0.3333333333333333,1.0,1.0,1,0
kangaroo,1.0,1.0,1.0,1.0,1,1
gliter,1.0,1.0,1.0,1.0,1,1
receipts,1.0,0.16666666666666666,1.0,1.0,1,0
verir,1.0,1.0,1.0,1.0,1,1
station,0.5,0.25,0.5,1.0,1,0
village,0.5,0.16666666666666666,0.5,1.0,1,0
chicks,1.0,0.125,1.0,1.0,1,0
bak,1.0,1.0,1.0,1.0,1,1
dido,1.0,0.5,1.0,1.0,1,0
dn,1.0,1.0,1.0,1.0,1,1
twitterapp,1.0,1.0,1.0,1.0,1,1
olympus,1.0,0.2,1.0,1.0,1,0
hospitalize,1.0,0.5,1.0,1.0,1,0
asl,1.0,0.3333333333333333,1.0,1.0,1,0
looka,1.0,1.0,1.0,1.0,1,1
serial,0.5,0.1111111111111111,0.5,1.0,1,0
superhero,0.5,1.0,0.5,1.0,1,1
roxy,1.0,1.0,1.0,1.0,1,1
coney,1.0,0.1,1.0,1.0,1,0
glover,1.0,1.0,1.0,1.0,1,1
expression,1.0,0.0625,1.0,1.0,1,0
mendler,1.0,1.0,1.0,1.0,1,1
allen,1.0,0.125,1.0,1.0,1,0
flexy,1.0,1.0,1.0,1.0,1,1
flaka,1.0,1.0,1.0,1.0,1,1
eminen,1.0,1.0,1.0,1.0,1,1
jammed,0.5,0.05,0.5,1.0,1,0
fhone,0.5,1.0,0.5,1.0,1,1
complicated,1.0,0.16666666666666666,1.0,1.0,1,0
carlo,1.0,1.0,1.0,1.0,1,1
rook,1.0,0.058823529411764705,1.0,1.0,1,0
churro,1.0,1.0,1.0,1.0,1,1
rehab,1.0,1.0,1.0,1.0,1,1
cognition,1.0,0.3333333333333333,1.0,1.0,1,0
beiber,1.0,1.0,1.0,1.0,1,1
tanesha,1.0,1.0,1.0,1.0,1,1
keum,1.0,1.0,1.0,1.0,1,1
bonquisha,1.0,1.0,1.0,1.0,1,1
prev,1.0,1.0,1.0,1.0,1,1
gosling,1.0,1.0,1.0,1.0,1,1
pnut,1.0,1.0,1.0,1.0,1,1
callingg,1.0,1.0,1.0,1.0,1,1
judi,1.0,1.0,1.0,1.0,1,1
vante,1.0,1.0,1.0,1.0,1,1
sitin,1.0,1.0,1.0,1.0,1,1
cutte,1.0,1.0,1.0,1.0,1,1
farida,1.0,1.0,1.0,1.0,1,1
consisting,0.5,0.16666666666666666,0.5,1.0,1,0
rendered,0.5,0.045454545454545456,0.5,1.0,1,0
daniels,1.0,0.25,1.0,1.0,1,0
finder,0.5,0.2,0.5,1.0,1,0
pdf,0.5,1.0,0.5,1.0,1,1
ziti,1.0,1.0,1.0,1.0,1,1
zeus,1.0,0.3333333333333333,1.0,1.0,1,0
hound,1.0,0.1111111111111111,1.0,1.0,1,0
latelyy,0.5,1.0,0.5,1.0,1,1
premiered,0.5,0.3333333333333333,0.5,1.0,1,0
flatbush,1.0,1.0,1.0,1.0,1,1
focuse,1.0,1.0,1.0,1.0,1,1
curso,1.0,1.0,1.0,1.0,1,1
bigmac,1.0,1.0,1.0,1.0,1,1
allaboutme,1.0,1.0,1.0,1.0,1,1
sin,1.0,0.07692307692307693,1.0,1.0,1,0
blks,1.0,1.0,1.0,1.0,1,1
canvas,1.0,0.1,1.0,1.0,1,0
crows,0.5,0.08333333333333333,0.5,1.0,1,0
