,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
saindo,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
blz,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
sai,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
skype,1.0,1.0,1.0,1.0,1,1
khalil,1.0,1.0,1.0,1.0,1,1
sinto,1.0,1.0,1.0,1.0,1,1
fome,1.0,1.0,1.0,1.0,1,1
mobile,1.0,0.125,1.0,1.0,1,0
tive,1.0,1.0,1.0,1.0,1,1
favoritos,1.0,1.0,1.0,1.0,1,1
muita,1.0,1.0,1.0,1.0,1,1
conectada,1.0,1.0,1.0,1.0,1,1
samsung,1.0,1.0,1.0,1.0,1,1
bios,1.0,1.0,1.0,1.0,1,1
stacy,1.0,1.0,1.0,1.0,1,1
josh,1.0,0.2,1.0,1.0,1,0
tasha,1.0,1.0,1.0,1.0,1,1
dara,1.0,1.0,1.0,1.0,1,1
extra,1.0,0.08333333333333333,1.0,1.0,1,0
conditioners,1.0,0.5,1.0,1.0,1,0
bella,1.0,1.0,1.0,1.0,1,1
hosp,1.0,1.0,1.0,1.0,1,1
hair,1.0,0.125,1.0,1.0,1,0
snape,1.0,1.0,1.0,1.0,1,1
trending,1.0,0.1111111111111111,1.0,1.0,1,0
aaliyah,1.0,1.0,1.0,1.0,1,1
jamil,1.0,1.0,1.0,1.0,1,1
deej,1.0,1.0,1.0,1.0,1,1
ross,1.0,0.09090909090909091,1.0,1.0,1,0
funyuns,1.0,1.0,1.0,1.0,1,1
ringtones,1.0,1.0,1.0,1.0,1,1
compromised,1.0,0.5,1.0,1.0,1,0
twittah,1.0,1.0,1.0,1.0,1,1
tana,1.0,1.0,1.0,1.0,1,1
copied,1.0,0.16666666666666666,1.0,1.0,1,0
froid,1.0,1.0,1.0,1.0,1,1
resolve,1.0,0.06666666666666667,1.0,1.0,1,0
inr,1.0,0.3333333333333333,1.0,1.0,1,0
crepes,1.0,0.2,1.0,1.0,1,0
brittle,1.0,0.16666666666666666,1.0,1.0,1,0
has,1.0,0.03333333333333333,1.0,1.0,1,0
paroled,1.0,0.5,1.0,1.0,1,0
groupon,1.0,1.0,1.0,1.0,1,1
conrad,1.0,0.25,1.0,1.0,1,0
montana,0.5,0.25,0.5,1.0,1,0
scarface,0.5,0.2,0.5,1.0,1,0
cat,1.0,0.02631578947368421,1.0,1.0,1,0
teasers,1.0,0.1,1.0,1.0,1,0
bloodstream,1.0,0.5,1.0,1.0,1,0
torched,1.0,0.5,1.0,1.0,1,0
shakira,1.0,1.0,1.0,1.0,1,1
tweetinn,1.0,1.0,1.0,1.0,1,1
pooh,1.0,1.0,1.0,1.0,1,1
bis,1.0,0.25,1.0,1.0,1,0
bugz,1.0,1.0,1.0,1.0,1,1
vonta,1.0,1.0,1.0,1.0,1,1
lago,1.0,1.0,1.0,1.0,1,1
deployed,1.0,0.5,1.0,1.0,1,0
rile,1.0,0.07142857142857142,1.0,1.0,1,0
galante,1.0,1.0,1.0,1.0,1,1
quotes,1.0,0.14285714285714285,1.0,1.0,1,0
grude,1.0,1.0,1.0,1.0,1,1
moons,1.0,0.08333333333333333,1.0,1.0,1,0
gttn,1.0,1.0,1.0,1.0,1,1
jiwaku,1.0,1.0,1.0,1.0,1,1
indiann,1.0,1.0,1.0,1.0,1,1
ivana,1.0,1.0,1.0,1.0,1,1
benny,0.5,0.125,0.5,1.0,1,0
willy,0.5,1.0,0.5,1.0,1,1
versions,1.0,0.09090909090909091,1.0,1.0,1,0
babas,1.0,0.5,1.0,1.0,1,0
