,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
esse,1.0,1.0,1.0,1.0,1,1
icon,1.0,0.25,1.0,1.0,1,0
canon,1.0,0.5,1.0,1.0,1,0
undressed,1.0,0.0625,1.0,1.0,1,0
mosquito,1.0,1.0,1.0,1.0,1,1
cinema,1.0,0.14285714285714285,1.0,1.0,1,0
photo,1.0,0.2,1.0,1.0,1,0
oooi,1.0,1.0,1.0,1.0,1,1
seizures,1.0,0.16666666666666666,1.0,1.0,1,0
styles,1.0,0.06666666666666667,1.0,1.0,1,0
belle,0.5,1.0,0.5,1.0,1,1
avec,0.5,1.0,0.5,1.0,1,1
imessage,1.0,1.0,1.0,1.0,1,1
chino,1.0,1.0,1.0,1.0,1,1
sharkboy,1.0,1.0,1.0,1.0,1,1
dramas,1.0,0.2,1.0,1.0,1,0
disturbingly,1.0,1.0,1.0,1.0,1,1
rm,1.0,1.0,1.0,1.0,1,1
coco,1.0,0.14285714285714285,1.0,1.0,1,0
kain,1.0,1.0,1.0,1.0,1,1
yusef,1.0,1.0,1.0,1.0,1,1
txted,1.0,1.0,1.0,1.0,1,1
crush,1.0,0.043478260869565216,1.0,1.0,1,0
gushy,0.5,0.3333333333333333,0.5,1.0,1,0
kurls,0.5,1.0,0.5,1.0,1,1
cells,1.0,0.09090909090909091,1.0,1.0,1,0
android,1.0,0.3333333333333333,1.0,1.0,1,0
meriah,1.0,1.0,1.0,1.0,1,1
tk,0.5,1.0,0.5,1.0,1,1
wechat,0.5,1.0,0.5,1.0,1,1
samir,1.0,1.0,1.0,1.0,1,1
toen,1.0,1.0,1.0,1.0,1,1
razr,1.0,1.0,1.0,1.0,1,1
killah,1.0,1.0,1.0,1.0,1,1
enamora,1.0,1.0,1.0,1.0,1,1
chantel,1.0,1.0,1.0,1.0,1,1
ouvir,1.0,1.0,1.0,1.0,1,1
/,1.0,1.0,1.0,1.0,1,1
a.s,1.0,1.0,1.0,1.0,1,1
kimmy,1.0,1.0,1.0,1.0,1,1
facetime,1.0,1.0,1.0,1.0,1,1
neem,1.0,0.14285714285714285,1.0,1.0,1,0
obese,1.0,0.25,1.0,1.0,1,0
alvo,1.0,1.0,1.0,1.0,1,1
sendin,1.0,1.0,1.0,1.0,1,1
reseted,1.0,0.3333333333333333,1.0,1.0,1,0
sunburned,1.0,0.25,1.0,1.0,1,0
calledd,1.0,1.0,1.0,1.0,1,1
zit,1.0,0.3333333333333333,1.0,1.0,1,0
upgraded,1.0,0.14285714285714285,1.0,1.0,1,0
marcos,1.0,1.0,1.0,1.0,1,1
rara,1.0,1.0,1.0,1.0,1,1
pagar,0.5,1.0,0.5,1.0,1,1
tomar,0.5,1.0,0.5,1.0,1,1
hashtags,1.0,1.0,1.0,1.0,1,1
felicidade,0.5,1.0,0.5,1.0,1,1
procure,0.5,0.25,0.5,1.0,1,0
encontrado,1.0,1.0,1.0,1.0,1,1
showered,1.0,0.25,1.0,1.0,1,0
rosy,1.0,0.14285714285714285,1.0,1.0,1,0
generated,1.0,0.07692307692307693,1.0,1.0,1,0
utama,1.0,1.0,1.0,1.0,1,1
jewels,1.0,0.2,1.0,1.0,1,0
signatures,1.0,0.16666666666666666,1.0,1.0,1,0
bie,1.0,1.0,1.0,1.0,1,1
farro,1.0,1.0,1.0,1.0,1,1
pets,1.0,0.1,1.0,1.0,1,0
bien,1.0,1.0,1.0,1.0,1,1
checken,1.0,1.0,1.0,1.0,1,1
cassidy,1.0,1.0,1.0,1.0,1,1
xanh,1.0,1.0,1.0,1.0,1,1
gdn,1.0,1.0,1.0,1.0,1,1
emblems,1.0,0.3333333333333333,1.0,1.0,1,0
bichon,1.0,1.0,1.0,1.0,1,1
hazelnut,1.0,0.16666666666666666,1.0,1.0,1,0
mag,1.0,0.5,1.0,1.0,1,0
---,1.0,1.0,1.0,1.0,1,1
#sleepy,1.0,1.0,1.0,1.0,1,1
cookies,0.5,0.25,0.5,1.0,1,0
coconut,0.5,0.1111111111111111,0.5,1.0,1,0
newsletter,1.0,0.5,1.0,1.0,1,0
emailing,1.0,0.25,1.0,1.0,1,0
vi,1.0,0.0625,1.0,1.0,1,0
*,1.0,1.0,1.0,1.0,1,1
patted,1.0,0.25,1.0,1.0,1,0
devyn,1.0,1.0,1.0,1.0,1,1
sinclair,1.0,0.16666666666666666,1.0,1.0,1,0
young,1.0,0.047619047619047616,1.0,1.0,1,0
radiohead,1.0,1.0,1.0,1.0,1,1
pears,1.0,0.25,1.0,1.0,1,0
copies,0.5,0.125,0.5,1.0,1,0
buy,0.5,0.14285714285714285,0.5,1.0,1,0
