vocab	precision	recall
beauties	0.07692307692307693	1.0
suitcases	0.1111111111111111	1.0
call	0.07692307692307693	1.0
salt	0.07692307692307693	1.0
borough	0.07692307692307693	1.0
expenses	0.1111111111111111	1.0
united	0.1	1.0
sir	0.1	1.0
citron	0.16666666666666666	1.0
kicked	0.05555555555555555	1.0
garage	0.5	1.0
slashing	0.047619047619047616	1.0
parties	0.045454545454545456	1.0
might	0.041666666666666664	1.0
scholars	0.1111111111111111	1.0
shack	0.125	1.0
alarmed	0.07692307692307693	1.0
murderers	0.1111111111111111	1.0
file	0.1	1.0
apologized	0.1	1.0
scraping	0.16666666666666666	1.0
apron	0.07692307692307693	1.0
semper	0.16666666666666666	1.0
anonymity	0.1111111111111111	1.0
conferred	0.047619047619047616	1.0
preached	0.125	1.0
throat	0.1	1.0
seduction	0.25	1.0
contrived	0.0625	1.0
stole	0.07692307692307693	1.0
hitting	0.08333333333333333	1.0
interval	0.125	1.0
strut	0.125	1.0
truthfulness	0.16666666666666666	1.0
likewise	0.09090909090909091	1.0
warmth	0.2	1.0
terminal	0.3333333333333333	1.0
footbridge	0.043478260869565216	1.0
backing	0.16666666666666666	1.0
revealing	0.07142857142857142	1.0
sadly	0.05555555555555555	1.0
issues	0.0625	1.0
blackout	0.16666666666666666	1.0
awakened	0.1	1.0
reminder	0.16666666666666666	1.0
merriment	0.041666666666666664	1.0
carving	0.14285714285714285	1.0
highest	0.08333333333333333	1.0
appreciate	0.047619047619047616	1.0
ceiling	0.05263157894736842	1.0
board	0.058823529411764705	1.0
organization	0.09090909090909091	1.0
thus	0.05	1.0
better	0.02564102564102564	1.0
judging	0.06666666666666667	1.0
porch	0.05263157894736842	1.0
cigarette	0.14285714285714285	1.0
common	0.09090909090909091	1.0
patted	0.5	1.0
rattle	0.2	1.0
sneaked	0.25	1.0
hints	0.14285714285714285	1.0
finding	0.09090909090909091	1.0
glanced	0.09090909090909091	1.0
injured	0.09090909090909091	1.0
bass	0.06666666666666667	1.0
steered	0.08333333333333333	1.0
impurities	0.1	1.0
cheek	0.043478260869565216	1.0
crazy	0.07692307692307693	1.0
lemonade	0.06666666666666667	1.0
crucifix	0.07692307692307693	1.0
fancy	0.1	1.0
explosives	0.09090909090909091	1.0
synchronize	0.14285714285714285	1.0
infirmity	0.1111111111111111	1.0
moisture	0.16666666666666666	1.0
pulled	0.05555555555555555	1.0
eruption	0.2	1.0
nightdress	0.07142857142857142	1.0
sighs	0.25	1.0
colonial	0.3333333333333333	1.0
siding	0.16666666666666666	1.0
quick	0.03333333333333333	1.0
slight	0.14285714285714285	1.0
skin	0.08333333333333333	1.0
heights	0.07692307692307693	1.0
twenty-five	0.125	1.0
stories	0.08333333333333333	1.0
convenience	0.06666666666666667	1.0
ambitious	0.08333333333333333	1.0
mentioned	0.1	1.0
simple	0.0625	1.0
flat	0.125	1.0
put	0.041666666666666664	1.0
patronized	0.06666666666666667	1.0
ray	0.1	1.0
cars	0.25	1.0
maids	0.16666666666666666	1.0
friends	0.09090909090909091	1.0
neighborhoods	0.1111111111111111	1.0
celebrations	0.09090909090909091	1.0
trailing	0.14285714285714285	1.0
rebuff	0.043478260869565216	1.0
expansion	0.3333333333333333	1.0
chiefly	0.1	1.0
radiance	0.14285714285714285	1.0
vine	0.5	1.0
maid	0.16666666666666666	1.0
signs	0.0625	1.0
bothered	0.09090909090909091	1.0
memory	0.07142857142857142	1.0
creeping	0.16666666666666666	1.0
tenting	0.14285714285714285	1.0
sizes	0.1111111111111111	1.0
substantive	0.0625	1.0
seem	0.1	1.0
terror	0.1	1.0
gutters	0.1	1.0
sniffed	0.05263157894736842	1.0
unchanged	1.0	1.0
austere	0.14285714285714285	1.0
feared	0.07142857142857142	1.0
mission	0.08333333333333333	1.0
private	0.1	1.0
noble	0.1111111111111111	1.0
try	0.07692307692307693	1.0
dealer	0.09090909090909091	1.0
spoonful	0.09090909090909091	1.0
train	0.2	1.0
nowhere	0.037037037037037035	1.0
reach	0.08333333333333333	1.0
books	0.08333333333333333	1.0
reap	0.5	1.0
authors	0.08333333333333333	1.0
interview	0.125	1.0
appreciation	0.05	1.0
autumn	0.09090909090909091	1.0
camps	0.1	1.0
liquid	0.25	1.0
within	0.05555555555555555	1.0
bearded	0.07692307692307693	1.0
explanation	0.07142857142857142	1.0
character	0.1	1.0
junior	0.06666666666666667	1.0
eighth	0.1	1.0
weeds	0.08333333333333333	1.0
score	0.047619047619047616	1.0
humor	0.0625	1.0
so-called	0.09090909090909091	1.0
horse	0.0625	1.0
dumb	0.06666666666666667	1.0
mountainous	0.043478260869565216	1.0
pale	0.3333333333333333	1.0
gossip	0.25	1.0
sciences	0.16666666666666666	1.0
item	0.2	1.0
scant	0.0625	1.0
seaweed	0.1111111111111111	1.0
scandal	0.125	1.0
farm	0.09090909090909091	1.0
disappointment	0.07142857142857142	1.0
lavender	0.125	1.0
deceived	0.08333333333333333	1.0
defied	0.2	1.0
