,Unnamed: 0,precision_wn,recall_wn,precision_cn,recall_cn
550,550,1.0,0.09090909090909093,1.0,1.0
551,551,0.5,1.0,0.5,1.0
552,552,0.5,1.0,0.5,1.0
553,553,0.5,1.0,0.5,1.0
554,554,1.0,1.0,1.0,1.0
555,555,1.0,0.16666666666666666,1.0,1.0
556,556,1.0,1.0,1.0,1.0
557,557,1.0,1.0,1.0,1.0
558,558,1.0,1.0,1.0,1.0
559,559,1.0,1.0,1.0,1.0
560,560,1.0,1.0,1.0,1.0
561,561,1.0,1.0,1.0,1.0
562,562,1.0,1.0,1.0,1.0
563,563,1.0,0.3333333333333333,1.0,1.0
564,564,1.0,1.0,1.0,1.0
565,565,1.0,1.0,1.0,1.0
566,566,1.0,1.0,1.0,1.0
567,567,1.0,0.25,1.0,1.0
568,568,1.0,1.0,1.0,1.0
569,569,1.0,0.05882352941176471,1.0,1.0
570,570,1.0,1.0,1.0,1.0
571,571,1.0,0.1111111111111111,1.0,1.0
572,572,0.5,1.0,0.5,1.0
573,573,1.0,1.0,1.0,1.0
574,574,1.0,0.045454545454545456,1.0,1.0
575,575,1.0,0.2,1.0,1.0
576,576,1.0,1.0,1.0,1.0
577,577,1.0,1.0,1.0,1.0
578,578,0.5,0.09166666666666667,0.5,1.0
579,579,1.0,1.0,1.0,1.0
580,580,1.0,1.0,1.0,1.0
581,581,1.0,1.0,1.0,1.0
582,582,1.0,0.14285714285714285,1.0,1.0
583,583,0.5,1.0,0.5,1.0
584,584,1.0,1.0,1.0,1.0
585,585,0.5,0.375,0.5,1.0
586,586,0.5,1.0,0.5,1.0
587,587,1.0,1.0,1.0,1.0
588,588,0.5,0.11724137931034485,0.5,1.0
589,589,1.0,1.0,1.0,1.0
590,590,1.0,1.0,1.0,1.0
591,591,1.0,1.0,1.0,1.0
592,592,1.0,1.0,1.0,1.0
593,593,1.0,1.0,1.0,1.0
594,594,1.0,1.0,1.0,1.0
595,595,1.0,1.0,1.0,1.0
596,596,0.5,1.0,0.5,1.0
597,597,1.0,1.0,1.0,1.0
598,598,1.0,1.0,1.0,1.0
599,599,1.0,0.16666666666666666,1.0,1.0
600,600,1.0,1.0,1.0,1.0
601,601,1.0,0.0625,1.0,1.0
602,602,1.0,0.25,1.0,1.0
603,603,0.5,1.0,0.5,1.0
604,604,0.5,1.0,0.5,1.0
605,605,1.0,1.0,1.0,1.0
606,606,1.0,0.5,1.0,1.0
607,607,1.0,0.25,1.0,1.0
608,608,1.0,0.05882352941176471,1.0,1.0
609,609,1.0,0.2,1.0,1.0
610,610,1.0,1.0,1.0,1.0
611,611,1.0,1.0,1.0,1.0
612,612,0.5,0.18333333333333332,0.5,1.0
613,613,1.0,1.0,1.0,1.0
