,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
demora,1.0,1.0,1.0,1.0,1,1
ibroke,1.0,1.0,1.0,1.0,1,1
paynes,1.0,1.0,1.0,1.0,1,1
melhor,1.0,1.0,1.0,1.0,1,1
chocolates,1.0,0.1111111111111111,1.0,1.0,1,0
amigo,0.5,1.0,0.5,1.0,1,1
vive,0.5,1.0,0.5,1.0,1,1
videos,1.0,0.14285714285714285,1.0,1.0,1,0
dengan,1.0,1.0,1.0,1.0,1,1
mcm,1.0,1.0,1.0,1.0,1,1
malaysia,1.0,0.3333333333333333,1.0,1.0,1,0
mimi,1.0,1.0,1.0,1.0,1,1
lopes,1.0,0.06666666666666667,1.0,1.0,1,0
lizzy,1.0,1.0,1.0,1.0,1,1
requests,0.5,0.125,0.5,1.0,1,0
emails,0.5,0.2,0.5,1.0,1,0
ff,1.0,1.0,1.0,1.0,1,1
maldito,1.0,1.0,1.0,1.0,1,1
twitters,1.0,0.25,1.0,1.0,1,0
folders,1.0,0.16666666666666666,1.0,1.0,1,0
rares,1.0,1.0,1.0,1.0,1,1
kayden,1.0,1.0,1.0,1.0,1,1
pll,1.0,1.0,1.0,1.0,1,1
shia,1.0,0.25,1.0,1.0,1,0
memo,1.0,0.3333333333333333,1.0,1.0,1,0
fragile,1.0,0.14285714285714285,1.0,1.0,1,0
gf,1.0,1.0,1.0,1.0,1,1
acounts,1.0,1.0,1.0,1.0,1,1
shared,1.0,0.09090909090909091,1.0,1.0,1,0
simpson,0.5,0.14285714285714285,0.5,1.0,1,0
marilyn,0.5,1.0,0.5,1.0,1,1
arrive,0.5,0.16666666666666666,0.5,1.0,1,0
quoi,0.5,1.0,0.5,1.0,1,1
anggota,1.0,1.0,1.0,1.0,1,1
ke,1.0,1.0,1.0,1.0,1,1
gigas,1.0,1.0,1.0,1.0,1,1
toma,1.0,1.0,1.0,1.0,1,1
boosie,1.0,1.0,1.0,1.0,1,1
designer,1.0,0.08333333333333333,1.0,1.0,1,0
opa,1.0,1.0,1.0,1.0,1,1
hija,1.0,1.0,1.0,1.0,1,1
wa,1.0,0.25,1.0,1.0,1,0
q,1.0,0.5,1.0,1.0,1,0
tela,1.0,1.0,1.0,1.0,1,1
hemorrhoids,1.0,0.25,1.0,1.0,1,0
pixels,1.0,0.25,1.0,1.0,1,0
removed,1.0,0.05263157894736842,1.0,1.0,1,0
taxis,1.0,0.2,1.0,1.0,1,0
cool,1.0,0.1,1.0,1.0,1,0
ponds,1.0,0.3333333333333333,1.0,1.0,1,0
memancarkan,1.0,1.0,1.0,1.0,1,1
goma,1.0,0.5,1.0,1.0,1,0
bonus,1.0,0.3333333333333333,1.0,1.0,1,0
tiz,1.0,1.0,1.0,1.0,1,1
reacquainted,1.0,0.5,1.0,1.0,1,0
boris,1.0,1.0,1.0,1.0,1,1
novia,0.5,1.0,0.5,1.0,1,1
costumbre,0.5,1.0,0.5,1.0,1,1
neice,1.0,1.0,1.0,1.0,1,1
briefly,1.0,0.2,1.0,1.0,1,0
moe,1.0,1.0,1.0,1.0,1,1
xenia,1.0,1.0,1.0,1.0,1,1
sufferin,1.0,1.0,1.0,1.0,1,1
hungry,1.0,0.3333333333333333,1.0,1.0,1,0
slpy,0.5,1.0,0.5,1.0,1,1
scaredd,0.5,1.0,0.5,1.0,1,1
brother,0.5,0.1111111111111111,0.5,1.0,1,0
gave,0.5,0.023809523809523808,0.5,1.0,1,0
agredecido,1.0,1.0,1.0,1.0,1,1
brinks,1.0,0.25,1.0,1.0,1,0
williams,1.0,0.07692307692307693,1.0,1.0,1,0
sedan,1.0,0.3333333333333333,1.0,1.0,1,0
siendo,0.5,1.0,0.5,1.0,1,1
tan,0.5,0.14285714285714285,0.5,1.0,1,0
medicines,1.0,0.1111111111111111,1.0,1.0,1,0
buffering,1.0,0.25,1.0,1.0,1,0
mole,1.0,0.1,1.0,1.0,1,0
christened,1.0,0.25,1.0,1.0,1,0
stationed,1.0,0.2,1.0,1.0,1,0
fragil,1.0,1.0,1.0,1.0,1,1
backstage,1.0,0.3333333333333333,1.0,1.0,1,0
