vocab	precision	recall
resentful	0.01639344262295082	1.0
breeze	0.03225806451612903	1.0
neutral	0.005319148936170213	1.0
croakin	0.010526315789473684	1.0
Into	0.010526315789473684	1.0
Liberty	0.020833333333333332	1.0
Its	0.019230769230769232	1.0
stroked	0.5	1.0
put	0.005319148936170213	1.0
July	0.005319148936170213	1.0
work	0.009433962264150943	1.0
insisted	0.0053475935828877	1.0
armchair	0.01694915254237288	1.0
brass	0.009433962264150943	1.0
shove	0.010526315789473684	1.0
Payne	0.004081632653061225	1.0
idling	0.045454545454545456	1.0
verandah	0.05555555555555555	1.0
flushed	0.005319148936170213	1.0
Moccasin	0.03571428571428571	1.0
Westminster	0.02702702702702703	1.0
whisked	0.03125	1.0
are	0.02702702702702703	1.0
pokes	0.015384615384615385	1.0
carpeted	0.022222222222222223	1.0
challenge	0.004081632653061225	1.0
paced	0.2	1.0
extra	0.0136986301369863	1.0
upset	0.005319148936170213	1.0
plot	0.0053475935828877	1.0
memory	0.5	1.0
contemplate	0.0053475935828877	1.0
lecher	0.02702702702702703	1.0
pretty	0.004081632653061225	1.0
rebelliously	0.004081632653061225	1.0
pale-blue	0.005319148936170213	1.0
spectacles	0.004081632653061225	1.0
likes	0.0053475935828877	1.0
mice	0.0053475935828877	1.0
linen	0.027777777777777776	1.0
active	0.5	1.0
returning	0.015151515151515152	1.0
credit	0.14285714285714285	1.0
famous	0.005319148936170213	1.0
trees	0.07142857142857142	1.0
collar	0.02564102564102564	1.0
Elba	0.3333333333333333	1.0
halls	0.00847457627118644	1.0
insolent	0.02564102564102564	1.0
individual	0.3333333333333333	1.0
September	0.0053475935828877	1.0
enjoyed	0.02702702702702703	1.0
fondly	0.005319148936170213	1.0
jaws	0.0053475935828877	1.0
examined	0.04	1.0
Christophers'	0.004081632653061225	1.0
loose	0.3333333333333333	1.0
remorseful	0.25	1.0
tan	0.0053475935828877	1.0
couldn't	0.004081632653061225	1.0
pressed	0.0053475935828877	1.0
wave	0.08333333333333333	1.0
strange	0.037037037037037035	1.0
merriment	0.043478260869565216	1.0
helped	0.01694915254237288	1.0
charging	0.03225806451612903	1.0
moon-drenched	0.01639344262295082	1.0
unfertile	0.005319148936170213	1.0
beatings	0.041666666666666664	1.0
companion	0.25	1.0
tenting	0.004081632653061225	1.0
taken	0.037037037037037035	1.0
recommended	0.005319148936170213	1.0
pews	0.020833333333333332	1.0
halted	0.030303030303030304	1.0
cut	0.14285714285714285	1.0
monkish	0.005319148936170213	1.0
butt	0.004081632653061225	1.0
belong	0.045454545454545456	1.0
