,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
foda,1.0,1.0,1.0,1.0,1,1
spammed,1.0,1.0,1.0,1.0,1,1
chocolate,1.0,0.125,1.0,1.0,1,0
sent,1.0,0.05,1.0,1.0,1,0
mando,1.0,1.0,1.0,1.0,1,1
khadijah,1.0,1.0,1.0,1.0,1,1
spam,1.0,0.3333333333333333,1.0,1.0,1,0
l'app,1.0,1.0,1.0,1.0,1,1
meer,1.0,1.0,1.0,1.0,1,1
seguindo,1.0,1.0,1.0,1.0,1,1
inboxes,1.0,1.0,1.0,1.0,1,1
curd,1.0,1.0,1.0,1.0,1,1
yvonne,1.0,1.0,1.0,1.0,1,1
monks,1.0,0.16666666666666666,1.0,1.0,1,0
profiles,1.0,0.3333333333333333,1.0,1.0,1,0
lola,1.0,1.0,1.0,1.0,1,1
femme,0.25,1.0,0.25,1.0,1,1
depuis,0.25,1.0,0.25,1.0,1,1
manques,0.25,1.0,0.25,1.0,1,1
ans,0.25,0.2,0.25,1.0,1,0
puta,0.5,1.0,0.5,1.0,1,1
negra,0.5,1.0,0.5,1.0,1,1
belum,1.0,1.0,1.0,1.0,1,1
fakes,1.0,0.04,1.0,1.0,1,0
leve,1.0,1.0,1.0,1.0,1,1
alan,1.0,1.0,1.0,1.0,1,1
granola,1.0,1.0,1.0,1.0,1,1
jasa,1.0,1.0,1.0,1.0,1,1
hodgy,1.0,1.0,1.0,1.0,1,1
sued,1.0,0.2,1.0,1.0,1,0
teena,1.0,1.0,1.0,1.0,1,1
password,1.0,0.2,1.0,1.0,1,0
prime,1.0,0.05555555555555555,1.0,1.0,1,0
chloe,1.0,1.0,1.0,1.0,1,1
kik,1.0,1.0,1.0,1.0,1,1
texting,1.0,1.0,1.0,1.0,1,1
victor,1.0,0.25,1.0,1.0,1,0
sidetracked,1.0,0.2,1.0,1.0,1,0
twitts,1.0,1.0,1.0,1.0,1,1
oran,0.5,0.5,0.5,1.0,1,0
adam,0.5,0.1,0.5,1.0,1,0
stato,1.0,1.0,1.0,1.0,1,1
dekken,1.0,1.0,1.0,1.0,1,1
zebra,1.0,1.0,1.0,1.0,1,1
webbie,1.0,1.0,1.0,1.0,1,1
violet,1.0,0.25,1.0,1.0,1,0
ni,1.0,0.25,1.0,1.0,1,0
dora,1.0,1.0,1.0,1.0,1,1
note,1.0,0.03571428571428571,1.0,1.0,1,0
leche,1.0,1.0,1.0,1.0,1,1
piercing,1.0,0.06666666666666667,1.0,1.0,1,0
grey,1.0,0.05263157894736842,1.0,1.0,1,0
baring,1.0,0.043478260869565216,1.0,1.0,1,0
celana,1.0,1.0,1.0,1.0,1,1
ideal,1.0,0.125,1.0,1.0,1,0
enamorado,1.0,1.0,1.0,1.0,1,1
high,1.0,0.0625,1.0,1.0,1,0
vitamin,1.0,1.0,1.0,1.0,1,1
ik,1.0,1.0,1.0,1.0,1,1
subscribe,1.0,0.16666666666666666,1.0,1.0,1,0
family,1.0,0.05,1.0,1.0,1,0
look,1.0,0.034482758620689655,1.0,1.0,1,0
roaming,1.0,0.07692307692307693,1.0,1.0,1,0
zana,1.0,1.0,1.0,1.0,1,1
cuisse,1.0,1.0,1.0,1.0,1,1
saud,1.0,1.0,1.0,1.0,1,1
gb,1.0,0.07692307692307693,1.0,1.0,1,0
revealed,1.0,0.07142857142857142,1.0,1.0,1,0
otras,0.5,1.0,0.5,1.0,1,1
eternas,0.5,1.0,0.5,1.0,1,1
brightside,1.0,1.0,1.0,1.0,1,1
bugs,1.0,0.06666666666666667,1.0,1.0,1,0
