,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
pessoas,1.0,1.0,1.0,1.0,1,1
tals,0.5,1.0,0.5,1.0,1,1
dps,0.5,0.25,0.5,1.0,1,0
minah,1.0,0.16666666666666666,1.0,1.0,1,0
ate,1.0,0.07142857142857142,1.0,1.0,1,0
que,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
menos,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
parece,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
pessoal,1.0,1.0,1.0,1.0,1,1
fon,1.0,1.0,1.0,1.0,1,1
u.u,1.0,1.0,1.0,1.0,1,1
teen,1.0,0.16666666666666666,1.0,1.0,1,0
amigos,1.0,0.5,1.0,1.0,1,0
nina,1.0,0.5,1.0,1.0,1,0
mytouch,1.0,1.0,1.0,1.0,1,1
melanie,0.5,1.0,0.5,1.0,1,1
zack,0.5,1.0,0.5,1.0,1,1
hilton,1.0,1.0,1.0,1.0,1,1
bkk,1.0,1.0,1.0,1.0,1,1
murad,1.0,1.0,1.0,1.0,1,1
hr,0.5,0.3333333333333333,0.5,1.0,1,0
hospital,0.5,0.5,0.5,1.0,1,0
subtract,1.0,0.3333333333333333,1.0,1.0,1,0
erick,1.0,1.0,1.0,1.0,1,1
lazer,1.0,1.0,1.0,1.0,1,1
saleem,1.0,1.0,1.0,1.0,1,1
tweeted,1.0,0.125,1.0,1.0,1,0
sextape,1.0,1.0,1.0,1.0,1,1
naz,0.5,1.0,0.5,1.0,1,1
laila,0.5,1.0,0.5,1.0,1,1
item,1.0,0.2,1.0,1.0,1,0
awwwn,1.0,1.0,1.0,1.0,1,1
chinx,1.0,1.0,1.0,1.0,1,1
lyen,1.0,1.0,1.0,1.0,1,1
extensions,1.0,0.058823529411764705,1.0,1.0,1,0
chaka,1.0,1.0,1.0,1.0,1,1
rumah,1.0,1.0,1.0,1.0,1,1
hattan,1.0,1.0,1.0,1.0,1,1
fats,1.0,0.07142857142857142,1.0,1.0,1,0
compatible,1.0,1.0,1.0,1.0,1,1
edai,0.5,1.0,0.5,1.0,1,1
symone,0.5,1.0,0.5,1.0,1,1
cellulite,1.0,1.0,1.0,1.0,1,1
michael,1.0,0.5,1.0,1.0,1,0
replying,1.0,0.25,1.0,1.0,1,0
tue,1.0,1.0,1.0,1.0,1,1
taxi,1.0,0.25,1.0,1.0,1,0
frankie,1.0,1.0,1.0,1.0,1,1
lees,1.0,0.058823529411764705,1.0,1.0,1,0
taleah,1.0,1.0,1.0,1.0,1,1
wasa,1.0,1.0,1.0,1.0,1,1
kcamp,1.0,1.0,1.0,1.0,1,1
parfait,1.0,1.0,1.0,1.0,1,1
exotics,1.0,1.0,1.0,1.0,1,1
married,1.0,0.08333333333333333,1.0,1.0,1,0
