,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
ahmad,1.0,1.0,1.0,1.0,1,1
kardashian,1.0,1.0,1.0,1.0,1,1
aggrevated,1.0,1.0,1.0,1.0,1,1
via,1.0,1.0,1.0,1.0,1,1
kk,1.0,1.0,1.0,1.0,1,1
texts,1.0,0.14285714285714285,1.0,1.0,1,0
cell,1.0,0.1,1.0,1.0,1,0
branded,1.0,0.1111111111111111,1.0,1.0,1,0
mode,1.0,0.1111111111111111,1.0,1.0,1,0
fazer,1.0,1.0,1.0,1.0,1,1
battery,1.0,0.125,1.0,1.0,1,0
bunda,1.0,1.0,1.0,1.0,1,1
dar,1.0,1.0,1.0,1.0,1,1
famous,1.0,0.125,1.0,1.0,1,0
dani,1.0,1.0,1.0,1.0,1,1
thomas,1.0,0.07692307692307693,1.0,1.0,1,0
perez,1.0,1.0,1.0,1.0,1,1
rayon,1.0,1.0,1.0,1.0,1,1
curly,1.0,1.0,1.0,1.0,1,1
ativa,1.0,1.0,1.0,1.0,1,1
unbiological,0.5,1.0,0.5,1.0,1,1
widowed,0.5,0.5,0.5,1.0,1,0
loki,1.0,0.5,1.0,1.0,1,0
freed,1.0,0.047619047619047616,1.0,1.0,1,0
saif,1.0,1.0,1.0,1.0,1,1
boyfriend,1.0,0.2,1.0,1.0,1,0
peu,1.0,1.0,1.0,1.0,1,1
vip,1.0,0.14285714285714285,1.0,1.0,1,0
header,1.0,0.16666666666666666,1.0,1.0,1,0
krazy,1.0,1.0,1.0,1.0,1,1
taip,1.0,1.0,1.0,1.0,1,1
aol,1.0,1.0,1.0,1.0,1,1
a,1.0,0.07692307692307693,1.0,1.0,1,0
manu,1.0,1.0,1.0,1.0,1,1
ui,1.0,1.0,1.0,1.0,1,1
cu,1.0,0.25,1.0,1.0,1,0
clams,1.0,0.041666666666666664,1.0,1.0,1,0
tanto,1.0,1.0,1.0,1.0,1,1
semalam,1.0,1.0,1.0,1.0,1,1
server,0.5,0.3333333333333333,0.5,1.0,1,0
modem,0.5,1.0,0.5,1.0,1,1
keenan,1.0,1.0,1.0,1.0,1,1
oso,1.0,1.0,1.0,1.0,1,1
platelets,1.0,0.25,1.0,1.0,1,0
mari,1.0,0.25,1.0,1.0,1,0
inboxs,1.0,1.0,1.0,1.0,1,1
paketnya,1.0,1.0,1.0,1.0,1,1
naam,1.0,1.0,1.0,1.0,1,1
diesal,1.0,1.0,1.0,1.0,1,1
ordered,1.0,0.038461538461538464,1.0,1.0,1,0
atom,1.0,0.16666666666666666,1.0,1.0,1,0
ovo,1.0,1.0,1.0,1.0,1,1
llamo,1.0,1.0,1.0,1.0,1,1
peaches,1.0,0.038461538461538464,1.0,1.0,1,0
relayed,1.0,0.5,1.0,1.0,1,0
hp,1.0,0.25,1.0,1.0,1,0
prego,0.5,1.0,0.5,1.0,1,1
sarai,0.5,1.0,0.5,1.0,1,1
racially,1.0,1.0,1.0,1.0,1,1
donc,1.0,1.0,1.0,1.0,1,1
explainable,1.0,0.5,1.0,1.0,1,0
precio,1.0,1.0,1.0,1.0,1,1
sigam,1.0,1.0,1.0,1.0,1,1
jonathan,1.0,0.5,1.0,1.0,1,0
araujo,1.0,1.0,1.0,1.0,1,1
exclusive,0.5,0.2,0.5,1.0,1,0
latest,0.5,0.07692307692307693,0.5,1.0,1,0
maxes,1.0,0.1111111111111111,1.0,1.0,1,0
bussy,1.0,1.0,1.0,1.0,1,1
backround,1.0,1.0,1.0,1.0,1,1
oscuro,1.0,1.0,1.0,1.0,1,1
militant,1.0,0.125,1.0,1.0,1,0
warnanya,1.0,1.0,1.0,1.0,1,1
chisme,1.0,1.0,1.0,1.0,1,1
nephew,1.0,1.0,1.0,1.0,1,1
penis,1.0,0.3333333333333333,1.0,1.0,1,0
documentaries,1.0,0.2,1.0,1.0,1,0
abusive,1.0,0.3333333333333333,1.0,1.0,1,0
boom,1.0,0.05,1.0,1.0,1,0
charger,0.5,0.3333333333333333,0.5,1.0,1,0
bluetooth,0.5,1.0,0.5,1.0,1,1
jazmin,1.0,1.0,1.0,1.0,1,1
teddy,1.0,0.16666666666666666,1.0,1.0,1,0
dermatitis,1.0,1.0,1.0,1.0,1,1
drew,1.0,0.022727272727272728,1.0,1.0,1,0
jezzy,0.5,1.0,0.5,1.0,1,1
shanell,0.5,1.0,0.5,1.0,1,1
heny,1.0,1.0,1.0,1.0,1,1
knotted,1.0,0.125,1.0,1.0,1,0
sleeping,1.0,0.1,1.0,1.0,1,0
walking,1.0,0.25,1.0,1.0,1,0
loving,0.3333333333333333,0.037037037037037035,0.3333333333333333,1.0,1,0
all,0.3333333333333333,0.14285714285714285,0.3333333333333333,1.0,1,0
being,0.3333333333333333,0.0625,0.3333333333333333,1.0,1,0
defiant,1.0,0.5,1.0,1.0,1,0
aubrey,1.0,1.0,1.0,1.0,1,1
amd,1.0,0.3333333333333333,1.0,1.0,1,0
drept,1.0,1.0,1.0,1.0,1,1
increased,1.0,0.5,1.0,1.0,1,0
fina,1.0,1.0,1.0,1.0,1,1
continue,1.0,0.05555555555555555,1.0,1.0,1,0
tonsils,1.0,0.2,1.0,1.0,1,0
ransom,1.0,0.3333333333333333,1.0,1.0,1,0
uggs,1.0,1.0,1.0,1.0,1,1
island,1.0,1.0,1.0,1.0,1,1
constant,1.0,0.08333333333333333,1.0,1.0,1,0
wontons,1.0,0.25,1.0,1.0,1,0
downing,1.0,0.043478260869565216,1.0,1.0,1,0
deletin,1.0,1.0,1.0,1.0,1,1
ruffled,1.0,0.043478260869565216,1.0,1.0,1,0
pummeled,1.0,0.25,1.0,1.0,1,0
swizz,1.0,1.0,1.0,1.0,1,1
playstation,1.0,1.0,1.0,1.0,1,1
rockstar,1.0,1.0,1.0,1.0,1,1
maleek,1.0,1.0,1.0,1.0,1,1
biscuts,1.0,1.0,1.0,1.0,1,1
ake,1.0,1.0,1.0,1.0,1,1
marquell,1.0,1.0,1.0,1.0,1,1
including,0.5,0.25,0.5,1.0,1,0
members,0.5,0.14285714285714285,0.5,1.0,1,0
msging,1.0,1.0,1.0,1.0,1,1
bunny,1.0,0.3333333333333333,1.0,1.0,1,0
keli,1.0,1.0,1.0,1.0,1,1
realty,1.0,0.25,1.0,1.0,1,0
walter,1.0,0.3333333333333333,1.0,1.0,1,0
odette,1.0,1.0,1.0,1.0,1,1
twitterr,1.0,1.0,1.0,1.0,1,1
simple,1.0,0.07142857142857142,1.0,1.0,1,0
jolly,1.0,0.05555555555555555,1.0,1.0,1,0
berujung,1.0,1.0,1.0,1.0,1,1
