cluster	precision	recall
0	0.25	1.0
1	0.5	1.0
2	0.5	1.0
3	0.015384615384615385	1.0
4	0.1	1.0
5	0.25	1.0
6	0.25	1.0
7	0.0769230769230769	1.0
8	0.5	1.0
9	0.5	1.0
10	0.5	1.0
11	0.5	1.0
12	0.5	1.0
13	0.3333333333333333	1.0
14	0.5	1.0
15	0.2	1.0
16	0.14285714285714282	1.0
17	0.25	1.0
18	1.0	1.0
19	0.3333333333333333	1.0
20	0.3333333333333333	1.0
21	0.5	1.0
22	0.04545454545454544	1.0
23	0.3333333333333333	1.0
24	1.0	1.0
25	0.3333333333333333	1.0
26	0.07142857142857141	1.0
27	0.3333333333333333	1.0
28	0.08333333333333333	1.0
29	0.3333333333333333	1.0
30	0.5	1.0
31	0.14285714285714282	1.0
32	0.5	1.0
33	0.3333333333333333	1.0
34	1.0	1.0
35	0.2	1.0
36	1.0	1.0
37	0.25	1.0
38	0.5	1.0
39	0.5	1.0
40	0.3333333333333333	1.0
41	1.0	1.0
42	1.0	1.0
43	0.5	1.0
44	0.25	1.0
45	0.09090909090909091	1.0
46	0.25	1.0
47	0.5	1.0
48	0.09090909090909091	1.0
49	0.3333333333333333	1.0
50	1.0	1.0
51	1.0	1.0
52	0.1	1.0
53	0.5	1.0
54	0.3333333333333333	1.0
55	0.5	1.0
56	1.0	1.0
57	0.3333333333333333	1.0
58	0.3333333333333333	1.0
59	0.5	1.0
60	0.16666666666666666	1.0
61	0.5	1.0
62	0.5	1.0
63	0.25	1.0
64	1.0	1.0
65	0.5	1.0
66	0.25	1.0
67	0.3333333333333333	1.0
68	0.5	1.0
69	0.3333333333333333	1.0
70	0.3333333333333333	1.0
71	0.5	1.0
72	0.5	1.0
73	0.3333333333333333	1.0
74	0.3333333333333333	1.0
75	0.5	1.0
76	0.5	1.0
77	0.5	1.0
78	1.0	1.0
79	0.25	1.0
80	0.25	1.0
81	0.5	1.0
82	1.0	1.0
83	0.5	1.0
84	0.16666666666666666	1.0
85	0.5	1.0
86	0.3333333333333333	1.0
87	0.2	1.0
88	0.3333333333333333	1.0
89	0.5	1.0
90	0.3333333333333333	1.0
91	0.14285714285714282	1.0
92	1.0	1.0
93	0.5	1.0
94	0.5	1.0
95	0.3333333333333333	1.0
96	0.3333333333333333	1.0
97	0.3333333333333333	1.0
98	0.3333333333333333	1.0
99	1.0	1.0
100	0.3333333333333333	1.0
101	1.0	1.0
102	1.0	1.0
103	0.3333333333333333	1.0
104	0.5	1.0
105	0.5	1.0
106	0.5	1.0
107	0.5	1.0
108	0.5	1.0
109	0.5	1.0
110	0.3333333333333333	1.0
111	0.5	1.0
112	0.3333333333333333	1.0
113	0.5	1.0
114	0.25	1.0
115	0.16666666666666666	1.0
116	0.5	1.0
117	0.3333333333333333	1.0
118	1.0	1.0
119	0.2	1.0
120	0.3333333333333333	1.0
121	1.0	1.0
122	0.2	1.0
123	1.0	1.0
124	1.0	1.0
125	0.2	1.0
126	0.5	1.0
127	0.3333333333333333	1.0
128	1.0	1.0
129	0.3333333333333333	1.0
130	0.2	1.0
131	0.3333333333333333	1.0
132	0.5	1.0
133	0.5	1.0
134	0.5	1.0
135	0.5	1.0
136	0.3333333333333333	1.0
137	0.5	1.0
138	0.3333333333333333	1.0
139	0.3333333333333333	1.0
140	0.2	1.0
141	0.25	1.0
142	0.3333333333333333	1.0
143	0.3333333333333333	1.0
144	0.25	1.0
145	0.3333333333333333	1.0
146	1.0	1.0
147	0.5	1.0
148	0.25	1.0
149	0.3333333333333333	1.0
150	0.5	1.0
151	0.3333333333333333	1.0
152	1.0	1.0
153	0.3333333333333333	1.0
154	0.5	1.0
155	0.3333333333333333	1.0
156	0.5	1.0
157	1.0	1.0
158	0.25	1.0
159	1.0	1.0
160	0.25	1.0
161	1.0	1.0
162	0.2	1.0
163	0.25	1.0
164	0.5	1.0
165	0.25	1.0
166	0.5	1.0
167	0.3333333333333333	1.0
168	0.14285714285714282	1.0
169	0.5	1.0
170	0.5	1.0
171	0.5	1.0
172	0.5	1.0
173	0.3333333333333333	1.0
174	0.3333333333333333	1.0
175	0.5	1.0
176	0.5	1.0
177	0.5	1.0
178	1.0	1.0
179	0.125	1.0
180	0.3333333333333333	1.0
181	0.2	1.0
182	0.5	1.0
183	0.5	1.0
184	0.25	1.0
185	0.5	1.0
186	1.0	1.0
187	0.3333333333333333	1.0
188	0.5	1.0
189	0.3333333333333333	1.0
190	0.5	1.0
191	0.2	1.0
192	1.0	1.0
193	0.1111111111111111	1.0
194	0.3333333333333333	1.0
195	0.25	1.0
196	0.5	1.0
197	0.5	1.0
198	0.5	1.0
199	0.25	1.0
200	0.25	1.0
201	0.3333333333333333	1.0
202	0.3333333333333333	1.0
203	0.25	1.0
204	0.5	1.0
205	0.3333333333333333	1.0
206	0.14285714285714282	1.0
207	0.25	1.0
208	0.25	1.0
209	0.3333333333333333	1.0
210	1.0	1.0
211	0.2	1.0
212	0.2	1.0
213	0.5	1.0
214	0.3333333333333333	1.0
215	0.5	1.0
216	1.0	1.0
217	0.5	1.0
218	1.0	1.0
219	0.3333333333333333	1.0
220	0.25	1.0
221	0.125	1.0
222	0.2	1.0
223	0.5	1.0
224	0.125	1.0
225	0.3333333333333333	1.0
226	1.0	1.0
227	0.2	1.0
228	0.25	1.0
229	0.3333333333333333	1.0
230	0.5	1.0
231	1.0	1.0
232	0.25	1.0
233	1.0	1.0
234	0.2	1.0
235	0.16666666666666666	1.0
236	0.25	1.0
237	0.3333333333333333	1.0
238	0.2	1.0
239	0.3333333333333333	1.0
240	1.0	1.0
241	0.5	1.0
242	1.0	1.0
243	0.2	1.0
244	0.3333333333333333	1.0
245	1.0	1.0
246	0.3333333333333333	1.0
247	0.5	1.0
248	0.5	1.0
249	0.5	1.0
250	0.1	1.0
251	0.5	1.0
252	0.3333333333333333	1.0
253	1.0	1.0
254	0.3333333333333333	1.0
255	1.0	1.0
256	0.5	1.0
257	0.25	1.0
258	0.2	1.0
259	1.0	1.0
260	0.25	1.0
261	0.5	1.0
262	0.3333333333333333	1.0
263	0.5	1.0
264	0.5	1.0
265	0.5	1.0
266	0.25	1.0
267	0.2	1.0
268	0.16666666666666666	1.0
269	0.25	1.0
270	0.5	1.0
271	0.5	1.0
272	0.14285714285714282	1.0
273	0.2	1.0
274	0.3333333333333333	1.0
275	0.3333333333333333	1.0
276	0.2	1.0
277	0.3333333333333333	1.0
278	0.25	1.0
279	0.2	1.0
280	0.25	1.0
281	0.2	1.0
282	1.0	1.0
283	0.3333333333333333	1.0
284	0.5	1.0
285	0.5	1.0
286	0.5	1.0
287	1.0	1.0
288	0.3333333333333333	1.0
289	0.5	1.0
290	0.2	1.0
291	0.3333333333333333	1.0
292	0.5	1.0
293	0.16666666666666666	1.0
294	0.25	1.0
295	1.0	1.0
296	1.0	1.0
297	1.0	1.0
298	0.14285714285714282	1.0
299	1.0	1.0
300	0.5	1.0
301	0.5	1.0
302	0.25	1.0
303	1.0	1.0
304	0.16666666666666666	1.0
305	0.5	1.0
306	0.125	1.0
307	0.3333333333333333	1.0
308	0.3333333333333333	1.0
309	0.14285714285714282	1.0
310	0.1111111111111111	1.0
311	0.2	1.0
312	0.25	1.0
313	0.3333333333333333	1.0
314	0.5	1.0
315	0.3333333333333333	1.0
316	0.25	1.0
317	0.25	1.0
318	0.5	1.0
319	0.14285714285714282	1.0
320	0.16666666666666666	1.0
321	0.08333333333333333	1.0
322	1.0	1.0
323	0.2	1.0
324	0.25	1.0
325	0.5	1.0
326	0.06666666666666667	1.0
327	0.5	1.0
328	0.5	1.0
329	0.3333333333333333	1.0
330	0.5	1.0
331	0.2	1.0
332	0.3333333333333333	1.0
333	0.25	1.0
334	0.125	1.0
335	0.3333333333333333	1.0
336	0.3333333333333333	1.0
337	0.2	1.0
338	0.25	1.0
339	0.25	1.0
340	0.3333333333333333	1.0
341	0.3333333333333333	1.0
342	0.3333333333333333	1.0
343	0.14285714285714282	1.0
344	0.5	1.0
345	0.16666666666666666	1.0
346	0.5	1.0
347	0.3333333333333333	1.0
348	0.06666666666666667	1.0
349	0.2	1.0
350	0.3333333333333333	1.0
351	1.0	1.0
352	0.09090909090909091	1.0
353	0.25	1.0
354	0.3333333333333333	1.0
355	0.2	1.0
356	0.3333333333333333	1.0
357	0.25	1.0
358	0.2	1.0
359	0.1111111111111111	1.0
360	0.16666666666666666	1.0
361	0.2	1.0
362	0.3333333333333333	1.0
363	0.0769230769230769	1.0
364	0.5	1.0
365	0.25	1.0
366	0.07142857142857141	1.0
367	0.08333333333333333	1.0
368	0.125	1.0
369	0.3333333333333333	1.0
370	0.16666666666666666	1.0
371	0.5	1.0
372	0.25	1.0
373	0.3333333333333333	1.0
374	1.0	1.0
375	0.25	1.0
376	0.5	1.0
377	0.5	1.0
378	0.3333333333333333	1.0
379	1.0	1.0
380	1.0	1.0
381	1.0	1.0
382	1.0	1.0
383	1.0	1.0
384	0.16666666666666666	1.0
385	0.2	1.0
386	0.1	1.0
387	0.16666666666666666	1.0
388	0.1	1.0
389	0.16666666666666666	1.0
390	0.2	1.0
391	0.2	1.0
392	0.14285714285714282	1.0
393	1.0	1.0
394	0.16666666666666666	1.0
395	0.125	1.0
396	0.5	1.0
397	0.5	1.0
398	0.25	1.0
399	0.09090909090909091	1.0
400	0.14285714285714282	1.0
401	0.2	1.0
402	0.1	1.0
403	0.3333333333333333	1.0
404	0.125	1.0
405	0.0769230769230769	1.0
406	0.3333333333333333	1.0
407	0.5	1.0
408	0.5	1.0
409	0.07142857142857141	1.0
410	0.2	1.0
411	1.0	1.0
412	0.25	1.0
413	0.14285714285714282	1.0
414	0.1	1.0
415	0.5	1.0
416	1.0	1.0
417	0.25	1.0
418	0.5	1.0
419	1.0	1.0
420	0.5	1.0
421	0.25	1.0
422	0.5	1.0
423	0.1	1.0
424	0.5	1.0
425	0.25	1.0
426	1.0	1.0
427	0.09090909090909091	1.0
428	0.0769230769230769	1.0
429	0.5	1.0
430	0.14285714285714282	1.0
431	0.3333333333333333	1.0
432	0.125	1.0
433	1.0	1.0
434	0.3333333333333333	1.0
435	0.16666666666666666	1.0
436	0.06666666666666667	1.0
437	0.14285714285714282	1.0
438	0.5	1.0
439	0.07142857142857141	1.0
440	0.5	1.0
441	0.2	1.0
442	0.06666666666666667	1.0
443	0.5	1.0
444	0.125	1.0
445	0.3333333333333333	1.0
446	1.0	1.0
447	0.5	1.0
448	0.03703703703703703	1.0
449	0.5	1.0
450	0.5	1.0
451	0.2	1.0
452	1.0	1.0
453	0.125	1.0
454	1.0	1.0
455	0.08333333333333333	1.0
456	0.1	1.0
457	1.0	1.0
458	0.2	1.0
459	1.0	1.0
460	0.1111111111111111	1.0
461	0.5	1.0
462	0.25	1.0
463	0.1111111111111111	1.0
464	0.08333333333333333	1.0
465	0.14285714285714282	1.0
466	0.09090909090909091	1.0
467	0.125	1.0
468	0.2	1.0
469	0.09090909090909091	1.0
470	0.2	1.0
471	0.08333333333333333	1.0
472	0.5	1.0
473	0.3333333333333333	1.0
474	0.16666666666666666	1.0
475	0.1111111111111111	1.0
476	0.3333333333333333	1.0
477	0.5	1.0
478	0.07142857142857141	1.0
479	0.08333333333333333	1.0
480	0.09090909090909091	1.0
481	0.16666666666666666	1.0
482	1.0	1.0
483	0.5	1.0
484	0.2	1.0
485	0.5	1.0
486	0.1	1.0
487	0.5	1.0
488	1.0	1.0
489	0.3333333333333333	1.0
490	0.14285714285714282	1.0
491	0.25	1.0
492	0.2	1.0
493	0.25	1.0
494	0.3333333333333333	1.0
495	0.16666666666666666	1.0
496	0.3333333333333333	1.0
497	0.3333333333333333	1.0
498	0.16666666666666666	1.0
499	1.0	1.0
500	0.2	1.0
501	0.3333333333333333	1.0
502	0.3333333333333333	1.0
503	0.25	1.0
504	0.06666666666666667	1.0
505	0.08333333333333333	1.0
506	0.1	1.0
507	1.0	1.0
508	0.5	1.0
509	0.3333333333333333	1.0
510	0.25	1.0
511	0.5	1.0
512	0.5	1.0
513	0.5	1.0
514	0.14285714285714282	1.0
515	0.25	1.0
516	0.08333333333333333	1.0
517	0.125	1.0
518	0.08333333333333333	1.0
519	0.3333333333333333	1.0
520	0.5	1.0
521	0.1111111111111111	1.0
522	0.16666666666666666	1.0
523	0.14285714285714282	1.0
524	0.3333333333333333	1.0
525	0.3333333333333333	1.0
526	0.1111111111111111	1.0
527	0.5	1.0
528	0.125	1.0
529	0.125	1.0
530	0.3333333333333333	1.0
531	0.25	1.0
532	0.3333333333333333	1.0
533	0.06666666666666667	1.0
534	0.058823529411764705	1.0
535	0.5	1.0
536	0.3333333333333333	1.0
537	0.2	1.0
538	0.3333333333333333	1.0
539	0.05555555555555555	1.0
540	0.2	1.0
541	0.25	1.0
542	0.2	1.0
543	0.1111111111111111	1.0
544	1.0	1.0
545	0.0769230769230769	1.0
546	0.5	1.0
547	0.14285714285714282	1.0
548	0.05263157894736841	1.0
549	0.14285714285714282	1.0
550	0.0625	1.0
