,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
affiliation,1.0,0.25,1.0,1.0,1,0
criticizing,1.0,0.2,1.0,1.0,1,0
procrastination,1.0,0.25,1.0,1.0,1,0
summn,1.0,1.0,1.0,1.0,1,1
derailing,1.0,0.3333333333333333,1.0,1.0,1,0
jooking,1.0,1.0,1.0,1.0,1,1
permit,1.0,0.1111111111111111,1.0,1.0,1,0
rainboots,0.5,1.0,0.5,1.0,1,1
earplugs,0.5,0.5,0.5,1.0,1,0
judge,1.0,0.07142857142857142,1.0,1.0,1,0
coasting,1.0,0.5,1.0,1.0,1,0
yepp,1.0,1.0,1.0,1.0,1,1
pushin,1.0,1.0,1.0,1.0,1,1
assitant,1.0,1.0,1.0,1.0,1,1
wowo,1.0,1.0,1.0,1.0,1,1
haffi,1.0,1.0,1.0,1.0,1,1
shard,1.0,0.3333333333333333,1.0,1.0,1,0
diutamain,1.0,1.0,1.0,1.0,1,1
fuckshit,1.0,1.0,1.0,1.0,1,1
bluffn,1.0,1.0,1.0,1.0,1,1
baskeball,1.0,1.0,1.0,1.0,1,1
spiking,1.0,0.125,1.0,1.0,1,0
sparklers,1.0,0.3333333333333333,1.0,1.0,1,0
unsung,1.0,0.2,1.0,1.0,1,0
critize,1.0,1.0,1.0,1.0,1,1
whoadie,1.0,1.0,1.0,1.0,1,1
socket,1.0,1.0,1.0,1.0,1,1
governor,1.0,0.5,1.0,1.0,1,0
showme,0.5,1.0,0.5,1.0,1,1
swamppeople,0.5,1.0,0.5,1.0,1,1
o'well,1.0,1.0,1.0,1.0,1,1
dopest,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
emcees,0.3333333333333333,0.2,0.3333333333333333,1.0,1,0
livest,0.3333333333333333,0.08333333333333333,0.3333333333333333,1.0,1,0
statefarm,1.0,1.0,1.0,1.0,1,1
priorities,1.0,0.14285714285714285,1.0,1.0,1,0
wellin,0.5,1.0,0.5,1.0,1,1
scraight,0.5,1.0,0.5,1.0,1,1
nastiest,1.0,0.125,1.0,1.0,1,0
bbut,1.0,1.0,1.0,1.0,1,1
brakes,1.0,0.16666666666666666,1.0,1.0,1,0
mwen,1.0,1.0,1.0,1.0,1,1
eventful,1.0,0.5,1.0,1.0,1,0
tonigh,1.0,1.0,1.0,1.0,1,1
foam,1.0,0.16666666666666666,1.0,1.0,1,0
backw,1.0,1.0,1.0,1.0,1,1
dontjudgeme,1.0,1.0,1.0,1.0,1,1
stna,1.0,1.0,1.0,1.0,1,1
soundstage,1.0,1.0,1.0,1.0,1,1
gavel,1.0,1.0,1.0,1.0,1,1
wreckin,1.0,1.0,1.0,1.0,1,1
onyo,1.0,1.0,1.0,1.0,1,1
uncontrolled,1.0,1.0,1.0,1.0,1,1
chickenhead,1.0,1.0,1.0,1.0,1,1
wahahahha,1.0,1.0,1.0,1.0,1,1
gabawa,0.5,1.0,0.5,1.0,1,1
beling,0.5,1.0,0.5,1.0,1,1
owhh,1.0,1.0,1.0,1.0,1,1
b!tch,1.0,1.0,1.0,1.0,1,1
beofre,1.0,1.0,1.0,1.0,1,1
tomuch,0.5,1.0,0.5,1.0,1,1
comeonman,0.5,1.0,0.5,1.0,1,1
mdrrr,0.5,1.0,0.5,1.0,1,1
aahaa,0.5,1.0,0.5,1.0,1,1
shiest,1.0,0.2,1.0,1.0,1,0
sensasinya,0.5,1.0,0.5,1.0,1,1
seleraku,0.5,1.0,0.5,1.0,1,1
assurance,1.0,0.14285714285714285,1.0,1.0,1,0
biden,1.0,1.0,1.0,1.0,1,1
lifesucks,1.0,1.0,1.0,1.0,1,1
volkswagon,1.0,1.0,1.0,1.0,1,1
thk,1.0,1.0,1.0,1.0,1,1
enthusiastic,1.0,1.0,1.0,1.0,1,1
respekte,1.0,1.0,1.0,1.0,1,1
skrate,1.0,1.0,1.0,1.0,1,1
luche,1.0,1.0,1.0,1.0,1,1
gottem,1.0,1.0,1.0,1.0,1,1
yxe,1.0,1.0,1.0,1.0,1,1
betrayal,1.0,0.25,1.0,1.0,1,0
swac,1.0,1.0,1.0,1.0,1,1
dares,1.0,0.16666666666666666,1.0,1.0,1,0
finisher,1.0,0.5,1.0,1.0,1,0
embrace,1.0,0.08333333333333333,1.0,1.0,1,0
peat,1.0,1.0,1.0,1.0,1,1
weep,1.0,0.5,1.0,1.0,1,0
propane,1.0,1.0,1.0,1.0,1,1
babysitt,1.0,1.0,1.0,1.0,1,1
shittiest,0.5,1.0,0.5,1.0,1,1
creepiest,0.5,0.3333333333333333,0.5,1.0,1,0
swing,1.0,0.058823529411764705,1.0,1.0,1,0
hmmm,1.0,1.0,1.0,1.0,1,1
retaliate,0.5,0.25,0.5,1.0,1,0
intimidate,0.5,0.5,0.5,1.0,1,0
stab,1.0,0.09090909090909091,1.0,1.0,1,0
unuh,1.0,1.0,1.0,1.0,1,1
holds,1.0,0.013157894736842105,1.0,1.0,1,0
