,precision_wn,recall_wn,precision_cn,recall_cn
172,0.16326530612244894,0.1304421768707483,0.26530612244897955,0.06327944497967998
173,1.0,0.2,1.0,0.008620689655172414
174,0.2,0.07688888888888888,0.28,0.005364273616711086
175,0.16666666666666666,0.12007575757575757,0.16666666666666666,0.23055555555555554
176,0.25,0.4289772727272727,0.25,0.015219222867527953
177,0.25,0.75,0.25,0.5488721804511278
178,0.5,0.1858974358974359,0.5,0.21666666666666667
179,0.2,0.29416666666666663,0.27999999999999997,0.019326522828811157
180,0.3125,0.18762254901960784,0.375,0.19799578059071732
181,0.25,0.23344155844155845,0.25,0.02946221159146389
182,0.09693877551020406,0.09990185176634757,0.14285714285714285,0.01606072850886857
183,0.1,0.3138095238095238,0.1,0.05438852405786192
184,0.25,0.42738095238095236,0.5,0.019032489829825867
185,0.3333333333333333,0.12777777777777777,0.3333333333333333,0.016246867167919798
186,0.3333333333333333,0.45555555555555555,0.3333333333333333,0.19047619047619047
187,0.10743801652892562,0.2987947658402204,0.14049586776859505,0.02482588639138356
188,0.06122448979591837,0.1418457591247928,0.07482993197278913,0.02243373883287148
189,0.25,0.46875,0.25,0.53125
190,0.125,0.16253132832080203,0.125,0.052408856866404036
191,0.19444444444444445,0.1907467532467532,0.2777777777777778,0.2373465421623928
192,0.171875,0.2703373015873016,0.21875,0.0688137437905889
193,0.16666666666666666,0.11049626701800615,0.16666666666666666,0.05193769168903578
194,0.3125,0.15535714285714286,0.375,0.13242402771217132
195,0.5,0.11458333333333333,0.5,0.2661290322580645
196,0.06640625,0.3845211038961039,0.1640625,0.08132870439655485
197,0.14285714285714282,0.3168331668331668,0.14285714285714282,0.04519673262306521
198,0.3333333333333333,0.3703703703703704,0.3333333333333333,0.5833333333333334
199,0.07612456747404843,0.18671809641196851,0.14186851211072662,0.02283348988007857
200,0.24999999999999997,0.20760582010582007,0.3333333333333333,0.04888967439370665
201,0.2,0.22484848484848485,0.2,0.4333333333333334
202,0.055555555555555566,0.10433125198516766,0.15222222222222223,0.02268940683547507
203,0.09090909090909091,0.16711924439197168,0.09090909090909091,0.12706558921973943
204,0.3333333333333333,0.19444444444444442,0.3333333333333333,0.3611111111111111
205,0.06371191135734071,0.22572424881981665,0.1911357340720221,0.02406716878671676
206,0.1,0.08322996046573498,0.1,0.1317512531328321
207,0.5,0.29166666666666663,0.5,0.23809523809523808
208,0.4444444444444444,0.13148148148148148,0.5555555555555555,0.19444444444444445
209,0.09722222222222222,0.1306069749591555,0.34722222222222227,0.13072254261488445
