,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
mensajes,1.0,1.0,1.0,1.0,1,1
fofos,1.0,1.0,1.0,1.0,1,1
users,1.0,0.2,1.0,1.0,1,0
horas,0.5,1.0,0.5,1.0,1,1
varias,0.5,1.0,0.5,1.0,1,1
mac,1.0,0.25,1.0,1.0,1,0
bca,1.0,1.0,1.0,1.0,1,1
txtd,1.0,1.0,1.0,1.0,1,1
blanco,1.0,1.0,1.0,1.0,1,1
jss,1.0,0.2,1.0,1.0,1,0
earless,1.0,1.0,1.0,1.0,1,1
iamsu,1.0,1.0,1.0,1.0,1,1
smurfs,1.0,1.0,1.0,1.0,1,1
cantik,1.0,1.0,1.0,1.0,1,1
e,0.25,0.1,0.25,1.0,1,0
sp,0.25,1.0,0.25,1.0,1,1
num,0.25,1.0,0.25,1.0,1,1
jn,0.25,1.0,0.25,1.0,1,1
kapone,1.0,1.0,1.0,1.0,1,1
robyn,1.0,1.0,1.0,1.0,1,1
nett,1.0,0.5,1.0,1.0,1,0
post,1.0,0.041666666666666664,1.0,1.0,1,0
primos,1.0,0.5,1.0,1.0,1,0
reposted,1.0,1.0,1.0,1.0,1,1
endorphins,1.0,0.5,1.0,1.0,1,0
bozo,1.0,0.08333333333333333,1.0,1.0,1,0
cent,1.0,0.3333333333333333,1.0,1.0,1,0
blogs,1.0,0.3333333333333333,1.0,1.0,1,0
sobe,1.0,1.0,1.0,1.0,1,1
atitude,1.0,1.0,1.0,1.0,1,1
briggs,1.0,1.0,1.0,1.0,1,1
fatigue,1.0,0.0625,1.0,1.0,1,0
feira,1.0,1.0,1.0,1.0,1,1
driicky,1.0,1.0,1.0,1.0,1,1
mana,1.0,1.0,1.0,1.0,1,1
prisoner,1.0,0.5,1.0,1.0,1,0
phoebe,1.0,0.06666666666666667,1.0,1.0,1,0
irritant,1.0,0.5,1.0,1.0,1,0
dovey,1.0,1.0,1.0,1.0,1,1
comercial,1.0,1.0,1.0,1.0,1,1
panjang,1.0,1.0,1.0,1.0,1,1
tweeter,1.0,1.0,1.0,1.0,1,1
instigram,1.0,1.0,1.0,1.0,1,1
tierd,1.0,1.0,1.0,1.0,1,1
estrela,1.0,1.0,1.0,1.0,1,1
cansu,1.0,1.0,1.0,1.0,1,1
cayden,1.0,1.0,1.0,1.0,1,1
mozzarella,1.0,1.0,1.0,1.0,1,1
sakin,1.0,1.0,1.0,1.0,1,1
lydia,1.0,0.5,1.0,1.0,1,0
cansado,1.0,1.0,1.0,1.0,1,1
eres,1.0,1.0,1.0,1.0,1,1
viver,1.0,1.0,1.0,1.0,1,1
du,1.0,1.0,1.0,1.0,1,1
cagar,1.0,1.0,1.0,1.0,1,1
lovelace,1.0,0.3333333333333333,1.0,1.0,1,0
editor,1.0,0.3333333333333333,1.0,1.0,1,0
lv,1.0,0.3333333333333333,1.0,1.0,1,0
avenida,1.0,1.0,1.0,1.0,1,1
assez,1.0,1.0,1.0,1.0,1,1
jourdan,1.0,1.0,1.0,1.0,1,1
wanded,1.0,1.0,1.0,1.0,1,1
doggs,1.0,1.0,1.0,1.0,1,1
sherrell,1.0,1.0,1.0,1.0,1,1
muhammed,1.0,1.0,1.0,1.0,1,1
keepinit,1.0,1.0,1.0,1.0,1,1
spreaded,1.0,0.05263157894736842,1.0,1.0,1,0
dur,0.5,1.0,0.5,1.0,1,1
sais,0.5,1.0,0.5,1.0,1,1
safari,0.5,0.3333333333333333,0.5,1.0,1,0
zoo,0.5,0.3333333333333333,0.5,1.0,1,0
rated,1.0,0.047619047619047616,1.0,1.0,1,0
libro,1.0,1.0,1.0,1.0,1,1
reposting,1.0,1.0,1.0,1.0,1,1
touching,1.0,0.03225806451612903,1.0,1.0,1,0
eazy,1.0,1.0,1.0,1.0,1,1
wook,1.0,1.0,1.0,1.0,1,1
afrika,1.0,1.0,1.0,1.0,1,1
van,1.0,0.2,1.0,1.0,1,0
booooored,0.5,1.0,0.5,1.0,1,1
hungrey,0.5,1.0,0.5,1.0,1,1
furla,1.0,1.0,1.0,1.0,1,1
berg,1.0,0.25,1.0,1.0,1,0
saga,1.0,1.0,1.0,1.0,1,1
dyre,1.0,1.0,1.0,1.0,1,1
automatically,1.0,0.5,1.0,1.0,1,0
willis,1.0,0.3333333333333333,1.0,1.0,1,0
vie,1.0,0.3333333333333333,1.0,1.0,1,0
conv,1.0,1.0,1.0,1.0,1,1
