vocab	precision	recall
tollgate	0.058823529411764705	1.0
locked	0.017543859649122806	1.0
charity	0.045454545454545456	1.0
uh-uh	1.0	1.0
punctured	0.2	1.0
inserted	0.1	1.0
guttural	0.1	1.0
slight	0.125	1.0
comes	0.0010504201680672268	1.0
olive	0.009433962264150943	1.0
culprits	0.3333333333333333	1.0
factories	0.2	1.0
reckless	0.05	1.0
pillow	0.024390243902439025	1.0
sure	0.0010504201680672268	1.0
righteousness	0.16666666666666666	1.0
acquire	0.1111111111111111	1.0
beautiful	0.0010504201680672268	1.0
carelessness	0.5	1.0
tenting	0.043478260869565216	1.0
hear	0.0010504201680672268	1.0
untied	0.25	1.0
spark	0.024390243902439025	1.0
poetry	0.125	1.0
vintage	0.02	1.0
forth	0.014705882352941176	1.0
helpless	0.07142857142857142	1.0
clothes	0.017241379310344827	1.0
bearded	0.2	1.0
hacked	0.009708737864077669	1.0
signing	0.05555555555555555	1.0
moralistic	0.5	1.0
hellfire	0.25	1.0
present	0.02040816326530612	1.0
argue	0.0010504201680672268	1.0
afraid	0.0010504201680672268	1.0
shown	0.009708737864077669	1.0
heap	0.125	1.0
rostrum	0.3333333333333333	1.0
recall	0.0010504201680672268	1.0
toppled	0.011494252873563218	1.0
ultimate	0.014705882352941176	1.0
teeth	0.012195121951219513	1.0
explosives	0.125	1.0
stationery	0.25	1.0
mean	0.0010504201680672268	1.0
sense	0.0010504201680672268	1.0
near	0.0010504201680672268	1.0
chords	0.16666666666666666	1.0
graven	1.0	1.0
wound	0.1111111111111111	1.0
sprang	0.3333333333333333	1.0
rope	0.012195121951219513	1.0
transverse	0.06666666666666667	1.0
troops	0.05263157894736842	1.0
one	0.0010504201680672268	1.0
methodical	0.25	1.0
sadly	0.0010504201680672268	1.0
resided	0.011494252873563218	1.0
petrified	0.027777777777777776	1.0
environment	0.0136986301369863	1.0
colts	0.09090909090909091	1.0
receptive	0.25	1.0
silence	0.07692307692307693	1.0
throughout	0.0010504201680672268	1.0
sensing	0.5	1.0
settle	0.0010504201680672268	1.0
desolate	0.125	1.0
phoned	0.02857142857142857	1.0
returns	0.043478260869565216	1.0
boards	0.0625	1.0
families	0.045454545454545456	1.0
humble	0.03125	1.0
pit	0.14285714285714285	1.0
belt	0.017241379310344827	1.0
stroked	0.017543859649122806	1.0
lost	0.0010504201680672268	1.0
abandoned	0.06666666666666667	1.0
lend	0.16666666666666666	1.0
steps	0.014705882352941176	1.0
alarm	0.021739130434782608	1.0
joke	0.0010504201680672268	1.0
thrill	0.3333333333333333	1.0
limb	0.2	1.0
carry	0.0010504201680672268	1.0
peril	0.25	1.0
muddy	0.16666666666666666	1.0
braced	1.0	1.0
exchange	0.05555555555555555	1.0
refuse	0.0010504201680672268	1.0
instructions	0.25	1.0
congregation	0.2	1.0
deal	0.05555555555555555	1.0
plenty	0.0625	1.0
alfresco	0.125	1.0
mourned	0.034482758620689655	1.0
spurring	0.03333333333333333	1.0
tangle	0.2	1.0
banished	0.034482758620689655	1.0
lower	0.07142857142857142	1.0
elsewhere	0.014705882352941176	1.0
calmly	0.02702702702702703	1.0
bowl	0.009433962264150943	1.0
slippers	0.017241379310344827	1.0
entered	0.02040816326530612	1.0
rage	0.16666666666666666	1.0
hallways	0.015873015873015872	1.0
inscrutable	0.02631578947368421	1.0
bade	1.0	1.0
clamped	0.02040816326530612	1.0
seriously	0.0010504201680672268	1.0
especially	0.0010504201680672268	1.0
eating	0.009433962264150943	1.0
elbowing	0.041666666666666664	1.0
moments	0.0010504201680672268	1.0
cloud	0.021739130434782608	1.0
roof	0.015873015873015872	1.0
appearance	0.125	1.0
blessed	0.045454545454545456	1.0
blackened	1.0	1.0
mania	0.5	1.0
became	0.0010504201680672268	1.0
unfaithful	0.05	1.0
skiff	0.25	1.0
personally	0.0010504201680672268	1.0
stripped	0.2	1.0
impressive	0.02564102564102564	1.0
loudly	0.02702702702702703	1.0
passionate	0.03125	1.0
crawling	0.017543859649122806	1.0
banner	0.5	1.0
milling	0.0625	1.0
harp	0.5	1.0
frantic	0.25	1.0
animated	0.041666666666666664	1.0
thoroughly	0.02564102564102564	1.0
salvation	0.16666666666666666	1.0
ransom	0.5	1.0
observed	0.16666666666666666	1.0
tango	0.5	1.0
plots	0.3333333333333333	1.0
rooster	0.08333333333333333	1.0
creature	0.07692307692307693	1.0
kidney	0.25	1.0
guts	0.07692307692307693	1.0
eternal	0.045454545454545456	1.0
mouths	0.1111111111111111	1.0
blink	0.2	1.0
bid	0.05555555555555555	1.0
hierarchy	0.02631578947368421	1.0
risen	0.5	1.0
senses	0.1111111111111111	1.0
remember	0.0010504201680672268	1.0
absurdity	0.02631578947368421	1.0
admire	0.25	1.0
twenty	0.03125	1.0
busy	0.0010504201680672268	1.0
formation	0.0136986301369863	1.0
guessed	0.009708737864077669	1.0
foliage	0.5	1.0
unsettled	1.0	1.0
abed	0.5	1.0
river	0.01694915254237288	1.0
captain	0.014705882352941176	1.0
guests	0.02040816326530612	1.0
alors	0.045454545454545456	1.0
shit	0.0010504201680672268	1.0
forbids	0.3333333333333333	1.0
address	0.029411764705882353	1.0
stupidest	0.08333333333333333	1.0
disrepute	0.5	1.0
excitement	0.024390243902439025	1.0
said	0.0010504201680672268	1.0
heated	0.024390243902439025	1.0
crosses	0.25	1.0
coverings	0.25	1.0
record	0.047619047619047616	1.0
pricked	0.02040816326530612	1.0
allowed	0.0010504201680672268	1.0
upon	0.0010504201680672268	1.0
disobeyed	0.5	1.0
precisely	0.14285714285714285	1.0
echoes	0.1	1.0
led	0.02	1.0
roared	0.017543859649122806	1.0
savagely	0.034482758620689655	1.0
cherry	0.009433962264150943	1.0
quart	0.5	1.0
impacted	0.16666666666666666	1.0
stooping	0.5	1.0
sleepy	0.0010504201680672268	1.0
bounded	0.011494252873563218	1.0
upholstered	0.125	1.0
picket	0.3333333333333333	1.0
fathom	0.03333333333333333	1.0
courage	0.07692307692307693	1.0
luxury	0.125	1.0
overgrown	0.07142857142857142	1.0
blundered	1.0	1.0
responded	0.009708737864077669	1.0
breeches	0.2	1.0
meat	0.009433962264150943	1.0
lane	0.043478260869565216	1.0
vessel	0.1111111111111111	1.0
