,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
banho,1.0,1.0,1.0,1.0,1,1
sempre,1.0,1.0,1.0,1.0,1,1
indo,1.0,1.0,1.0,1.0,1,1
dois,1.0,0.2,1.0,1.0,1,0
roscoe,1.0,1.0,1.0,1.0,1,1
jenner,1.0,0.3333333333333333,1.0,1.0,1,0
txts,0.5,1.0,0.5,1.0,1,1
notifications,0.5,0.16666666666666666,0.5,1.0,1,0
vim,1.0,0.16666666666666666,1.0,1.0,1,0
dai,1.0,1.0,1.0,1.0,1,1
[,1.0,1.0,1.0,1.0,1,1
unoticed,1.0,1.0,1.0,1.0,1,1
islam,1.0,0.16666666666666666,1.0,1.0,1,0
tv,1.0,0.08333333333333333,1.0,1.0,1,0
cam,1.0,0.25,1.0,1.0,1,0
brown,1.0,0.09090909090909091,1.0,1.0,1,0
odeio,0.5,1.0,0.5,1.0,1,1
afs,0.5,1.0,0.5,1.0,1,1
u_u,1.0,1.0,1.0,1.0,1,1
icons,1.0,0.2,1.0,1.0,1,0
viagra,1.0,0.25,1.0,1.0,1,0
os,1.0,0.07142857142857142,1.0,1.0,1,0
ft,1.0,0.5,1.0,1.0,1,0
jennifer,1.0,1.0,1.0,1.0,1,1
apagou,1.0,1.0,1.0,1.0,1,1
fogo,1.0,1.0,1.0,1.0,1,1
tas,1.0,0.25,1.0,1.0,1,0
celosa,1.0,1.0,1.0,1.0,1,1
absences,1.0,0.3333333333333333,1.0,1.0,1,0
screenn,1.0,1.0,1.0,1.0,1,1
lucy,0.5,0.5,0.5,1.0,1,0
logan,0.5,0.3333333333333333,0.5,1.0,1,0
desktop,0.5,0.3333333333333333,0.5,1.0,1,0
screensaver,0.5,1.0,0.5,1.0,1,1
nash,1.0,0.3333333333333333,1.0,1.0,1,0
cuello,1.0,1.0,1.0,1.0,1,1
nelson,1.0,0.16666666666666666,1.0,1.0,1,0
fetus,1.0,0.5,1.0,1.0,1,0
responsive,1.0,0.3333333333333333,1.0,1.0,1,0
perry,1.0,0.16666666666666666,1.0,1.0,1,0
garcia,1.0,1.0,1.0,1.0,1,1
wikipedia,1.0,1.0,1.0,1.0,1,1
katrina,1.0,1.0,1.0,1.0,1,1
kiked,1.0,1.0,1.0,1.0,1,1
smurf,1.0,1.0,1.0,1.0,1,1
roi,1.0,0.25,1.0,1.0,1,0
interaction,1.0,0.5,1.0,1.0,1,0
beijing,1.0,0.2,1.0,1.0,1,0
desto,1.0,1.0,1.0,1.0,1,1
irritatin,1.0,1.0,1.0,1.0,1,1
g,1.0,0.04,1.0,1.0,1,0
seis,1.0,1.0,1.0,1.0,1,1
londa,1.0,1.0,1.0,1.0,1,1
niya,1.0,1.0,1.0,1.0,1,1
just,1.0,0.0625,1.0,1.0,1,0
dieing,1.0,0.034482758620689655,1.0,1.0,1,0
dez,1.0,1.0,1.0,1.0,1,1
elf,1.0,0.1111111111111111,1.0,1.0,1,0
hermosa,1.0,1.0,1.0,1.0,1,1
briana,1.0,1.0,1.0,1.0,1,1
neglected,1.0,0.06666666666666667,1.0,1.0,1,0
daily,1.0,0.14285714285714285,1.0,1.0,1,0
sayan,1.0,1.0,1.0,1.0,1,1
historia,0.5,1.0,0.5,1.0,1,1
dos,0.5,0.02631578947368421,0.5,1.0,1,0
bankin,1.0,1.0,1.0,1.0,1,1
layout,1.0,1.0,1.0,1.0,1,1
like,1.0,0.09090909090909091,1.0,1.0,1,0
e.,0.5,1.0,0.5,1.0,1,1
lang,0.5,1.0,0.5,1.0,1,1
monthss,1.0,0.3333333333333333,1.0,1.0,1,0
audy,1.0,1.0,1.0,1.0,1,1
walkers,1.0,0.08333333333333333,1.0,1.0,1,0
tweetcaster,1.0,1.0,1.0,1.0,1,1
redish,1.0,1.0,1.0,1.0,1,1
peeling,1.0,0.0625,1.0,1.0,1,0
kaos,1.0,1.0,1.0,1.0,1,1
pam,1.0,1.0,1.0,1.0,1,1
waffles,1.0,0.25,1.0,1.0,1,0
jumpsuit,1.0,0.5,1.0,1.0,1,0
guivens,1.0,1.0,1.0,1.0,1,1
ethan,1.0,1.0,1.0,1.0,1,1
marko,1.0,1.0,1.0,1.0,1,1
agency,1.0,0.1,1.0,1.0,1,0
policia,1.0,1.0,1.0,1.0,1,1
liens,1.0,0.3333333333333333,1.0,1.0,1,0
tweetes,1.0,0.125,1.0,1.0,1,0
zn,1.0,0.25,1.0,1.0,1,0
tring,1.0,1.0,1.0,1.0,1,1
edwards,1.0,0.058823529411764705,1.0,1.0,1,0
named,1.0,0.05,1.0,1.0,1,0
praa,1.0,1.0,1.0,1.0,1,1
neige,1.0,1.0,1.0,1.0,1,1
callled,1.0,1.0,1.0,1.0,1,1
kayla,1.0,1.0,1.0,1.0,1,1
uneasiness,1.0,0.09090909090909091,1.0,1.0,1,0
communicative,1.0,0.5,1.0,1.0,1,0
stop,1.0,0.021739130434782608,1.0,1.0,1,0
hindi,1.0,0.25,1.0,1.0,1,0
minute,1.0,0.08333333333333333,1.0,1.0,1,0
sleeting,1.0,0.5,1.0,1.0,1,0
one,1.0,0.058823529411764705,1.0,1.0,1,0
suffering,1.0,0.038461538461538464,1.0,1.0,1,0
orangutan,1.0,0.25,1.0,1.0,1,0
nutting,1.0,0.5,1.0,1.0,1,0
abuser,1.0,0.5,1.0,1.0,1,0
capital,1.0,0.08333333333333333,1.0,1.0,1,0
kellz,1.0,1.0,1.0,1.0,1,1
keandra,1.0,1.0,1.0,1.0,1,1
permanently,1.0,0.5,1.0,1.0,1,0
homes,1.0,0.05555555555555555,1.0,1.0,1,0
years,1.0,0.09090909090909091,1.0,1.0,1,0
rhinos,1.0,0.3333333333333333,1.0,1.0,1,0
heavyy,1.0,1.0,1.0,1.0,1,1
dnee,1.0,1.0,1.0,1.0,1,1
gunplay,1.0,0.3333333333333333,1.0,1.0,1,0
emmanuel,1.0,1.0,1.0,1.0,1,1
screens,1.0,0.05263157894736842,1.0,1.0,1,0
playboys,1.0,0.25,1.0,1.0,1,0
people,1.0,0.14285714285714285,1.0,1.0,1,0
photoshoots,1.0,1.0,1.0,1.0,1,1
dier,1.0,1.0,1.0,1.0,1,1
mat,1.0,0.05,1.0,1.0,1,0
rashard,1.0,1.0,1.0,1.0,1,1
ashanti,1.0,1.0,1.0,1.0,1,1
galerinha,1.0,1.0,1.0,1.0,1,1
solito,1.0,1.0,1.0,1.0,1,1
umi,1.0,1.0,1.0,1.0,1,1
masta,1.0,1.0,1.0,1.0,1,1
messier,1.0,0.3333333333333333,1.0,1.0,1,0
faught,0.5,1.0,0.5,1.0,1,1
tlkd,0.5,1.0,0.5,1.0,1,1
baad,1.0,1.0,1.0,1.0,1,1
ganz,1.0,1.0,1.0,1.0,1,1
drika,1.0,1.0,1.0,1.0,1,1
derrell,1.0,1.0,1.0,1.0,1,1
allowance,1.0,0.125,1.0,1.0,1,0
hathaway,1.0,0.3333333333333333,1.0,1.0,1,0
cheesee,1.0,1.0,1.0,1.0,1,1
kizzie,1.0,1.0,1.0,1.0,1,1
lightskin,1.0,1.0,1.0,1.0,1,1
chevron,1.0,0.25,1.0,1.0,1,0
preggo,1.0,1.0,1.0,1.0,1,1
monk,1.0,0.2,1.0,1.0,1,0
peta,1.0,1.0,1.0,1.0,1,1
vos,1.0,1.0,1.0,1.0,1,1
doping,1.0,0.3333333333333333,1.0,1.0,1,0
shuk,1.0,1.0,1.0,1.0,1,1
totti,1.0,1.0,1.0,1.0,1,1
subtitles,1.0,0.3333333333333333,1.0,1.0,1,0
y',1.0,1.0,1.0,1.0,1,1
mitchie,1.0,1.0,1.0,1.0,1,1
renting,1.0,0.1111111111111111,1.0,1.0,1,0
membership,1.0,0.5,1.0,1.0,1,0
ckoo,1.0,1.0,1.0,1.0,1,1
regards,1.0,0.0625,1.0,1.0,1,0
jewlry,0.5,1.0,0.5,1.0,1,1
poptropica,0.5,1.0,0.5,1.0,1,1
yat,1.0,1.0,1.0,1.0,1,1
likess,1.0,0.14285714285714285,1.0,1.0,1,0
dancow,1.0,1.0,1.0,1.0,1,1
fatin,1.0,1.0,1.0,1.0,1,1
f.b,1.0,1.0,1.0,1.0,1,1
wts,0.5,1.0,0.5,1.0,1,1
ots,0.5,1.0,0.5,1.0,1,1
doubled,1.0,0.1,1.0,1.0,1,0
glasses,1.0,0.04,1.0,1.0,1,0
entourage,1.0,0.25,1.0,1.0,1,0
shes,1.0,1.0,1.0,1.0,1,1
icu,1.0,0.3333333333333333,1.0,1.0,1,0
walaupun,1.0,1.0,1.0,1.0,1,1
forme,1.0,1.0,1.0,1.0,1,1
pierce,1.0,0.2,1.0,1.0,1,0
crampss,1.0,0.125,1.0,1.0,1,0
repoed,1.0,1.0,1.0,1.0,1,1
addie,1.0,1.0,1.0,1.0,1,1
tatum,1.0,0.2,1.0,1.0,1,0
mooka,1.0,1.0,1.0,1.0,1,1
kunta,0.5,1.0,0.5,1.0,1,1
rokia,0.5,1.0,0.5,1.0,1,1
melamar,1.0,1.0,1.0,1.0,1,1
ahs,1.0,1.0,1.0,1.0,1,1
pasadas,1.0,1.0,1.0,1.0,1,1
basis,1.0,0.125,1.0,1.0,1,0
seasick,1.0,0.25,1.0,1.0,1,0
rocketed,1.0,0.3333333333333333,1.0,1.0,1,0
wolverine,1.0,0.125,1.0,1.0,1,0
fink,1.0,0.07142857142857142,1.0,1.0,1,0
outdated,1.0,0.3333333333333333,1.0,1.0,1,0
center,1.0,0.023809523809523808,1.0,1.0,1,0
avoir,1.0,1.0,1.0,1.0,1,1
badu,1.0,1.0,1.0,1.0,1,1
spec,1.0,0.5,1.0,1.0,1,0
charms,1.0,0.045454545454545456,1.0,1.0,1,0
phrases,1.0,0.09090909090909091,1.0,1.0,1,0
coley,1.0,1.0,1.0,1.0,1,1
booooom,1.0,1.0,1.0,1.0,1,1
colour,1.0,0.041666666666666664,1.0,1.0,1,0
fiening,0.5,1.0,0.5,1.0,1,1
anuff,0.5,1.0,0.5,1.0,1,1
jasminee,0.5,1.0,0.5,1.0,1,1
tatie,0.5,1.0,0.5,1.0,1,1
hairs,1.0,0.1111111111111111,1.0,1.0,1,0
pecans,1.0,0.2,1.0,1.0,1,0
mamma,1.0,0.1,1.0,1.0,1,0
shocka,1.0,1.0,1.0,1.0,1,1
handsom,1.0,1.0,1.0,1.0,1,1
patato,0.5,1.0,0.5,1.0,1,1
pomodori,0.5,1.0,0.5,1.0,1,1
julius,1.0,1.0,1.0,1.0,1,1
siap,1.0,1.0,1.0,1.0,1,1
smacced,1.0,1.0,1.0,1.0,1,1
scientology,1.0,0.3333333333333333,1.0,1.0,1,0
teasin,1.0,1.0,1.0,1.0,1,1
gravy,1.0,0.1111111111111111,1.0,1.0,1,0
exploded,1.0,0.1111111111111111,1.0,1.0,1,0
complainin,1.0,1.0,1.0,1.0,1,1
kari,1.0,1.0,1.0,1.0,1,1
dices,1.0,0.25,1.0,1.0,1,0
sammi,1.0,1.0,1.0,1.0,1,1
festival,1.0,0.5,1.0,1.0,1,0
honda,1.0,1.0,1.0,1.0,1,1
roy,1.0,1.0,1.0,1.0,1,1
calumet,1.0,0.3333333333333333,1.0,1.0,1,0
consume,1.0,0.05555555555555555,1.0,1.0,1,0
trankil,1.0,1.0,1.0,1.0,1,1
compiled,1.0,0.1111111111111111,1.0,1.0,1,0
schleeeeep,1.0,1.0,1.0,1.0,1,1
hvn,1.0,1.0,1.0,1.0,1,1
toms,0.5,0.125,0.5,1.0,1,0
cheetah,0.5,0.3333333333333333,0.5,1.0,1,0
gigglin,1.0,1.0,1.0,1.0,1,1
lfc,1.0,1.0,1.0,1.0,1,1
fangled,1.0,1.0,1.0,1.0,1,1
coll,1.0,1.0,1.0,1.0,1,1
cedrick,0.5,1.0,0.5,1.0,1,1
nidia,0.5,1.0,0.5,1.0,1,1
corpse,1.0,0.2,1.0,1.0,1,0
scoot,1.0,0.16666666666666666,1.0,1.0,1,0
sckool,1.0,1.0,1.0,1.0,1,1
interest,1.0,0.08333333333333333,1.0,1.0,1,0
platinum,1.0,0.3333333333333333,1.0,1.0,1,0
lln,1.0,1.0,1.0,1.0,1,1
crucially,1.0,1.0,1.0,1.0,1,1
solar,1.0,1.0,1.0,1.0,1,1
ashia,1.0,1.0,1.0,1.0,1,1
khaliah,1.0,1.0,1.0,1.0,1,1
destini,1.0,1.0,1.0,1.0,1,1
carsick,1.0,0.25,1.0,1.0,1,0
creepin,1.0,1.0,1.0,1.0,1,1
shingles,1.0,0.2,1.0,1.0,1,0
huck,1.0,0.5,1.0,1.0,1,0
florist,1.0,0.3333333333333333,1.0,1.0,1,0
transaction,1.0,0.3333333333333333,1.0,1.0,1,0
royalty,1.0,0.25,1.0,1.0,1,0
obssessed,1.0,1.0,1.0,1.0,1,1
consoles,1.0,0.14285714285714285,1.0,1.0,1,0
flashed,1.0,0.06666666666666667,1.0,1.0,1,0
agggy,1.0,1.0,1.0,1.0,1,1
warp,1.0,0.125,1.0,1.0,1,0
char,0.5,0.1,0.5,1.0,1,0
pap,0.5,0.1111111111111111,0.5,1.0,1,0
suicides,1.0,0.2,1.0,1.0,1,0
radical,1.0,0.07692307692307693,1.0,1.0,1,0
grizzly,1.0,0.06666666666666667,1.0,1.0,1,0
obssesed,1.0,1.0,1.0,1.0,1,1
finshed,1.0,1.0,1.0,1.0,1,1
macon,1.0,0.3333333333333333,1.0,1.0,1,0
ponce,1.0,0.14285714285714285,1.0,1.0,1,0
taaj,1.0,1.0,1.0,1.0,1,1
bilingual,1.0,0.5,1.0,1.0,1,0
bestfrand,1.0,1.0,1.0,1.0,1,1
dien,1.0,1.0,1.0,1.0,1,1
lkp,1.0,1.0,1.0,1.0,1,1
tsa,1.0,0.3333333333333333,1.0,1.0,1,0
slad,1.0,1.0,1.0,1.0,1,1
expensive,1.0,1.0,1.0,1.0,1,1
series,1.0,0.3333333333333333,1.0,1.0,1,0
fabrics,0.5,0.16666666666666666,0.5,1.0,1,0
organics,0.5,0.25,0.5,1.0,1,0
tymir,0.5,1.0,0.5,1.0,1,1
dreya,0.5,1.0,0.5,1.0,1,1
booty,0.5,0.14285714285714285,0.5,1.0,1,0
pornstar,0.5,1.0,0.5,1.0,1,1
bonnets,0.5,0.16666666666666666,0.5,1.0,1,0
sable,0.5,0.1111111111111111,0.5,1.0,1,0
falling,1.0,0.045454545454545456,1.0,1.0,1,0
slightly,1.0,0.2,1.0,1.0,1,0
ringer,1.0,0.2,1.0,1.0,1,0
makess,1.0,0.014084507042253521,1.0,1.0,1,0
corruption,1.0,0.1,1.0,1.0,1,0
jollies,1.0,0.14285714285714285,1.0,1.0,1,0
returns,1.0,0.02127659574468085,1.0,1.0,1,0
appl,1.0,1.0,1.0,1.0,1,1
colorblind,1.0,1.0,1.0,1.0,1,1
lenguaje,1.0,1.0,1.0,1.0,1,1
kard,1.0,1.0,1.0,1.0,1,1
