,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
msn,1.0,1.0,1.0,1.0,1,1
cmg,1.0,1.0,1.0,1.0,1,1
bonito,1.0,0.3333333333333333,1.0,1.0,1,0
sabrina,0.5,1.0,0.5,1.0,1,1
linda,0.5,1.0,0.5,1.0,1,1
mec,1.0,1.0,1.0,1.0,1,1
mcguire,1.0,1.0,1.0,1.0,1,1
fatone,1.0,1.0,1.0,1.0,1,1
bf,1.0,1.0,1.0,1.0,1,1
c,1.0,0.043478260869565216,1.0,1.0,1,0
majah,1.0,1.0,1.0,1.0,1,1
tinky,1.0,1.0,1.0,1.0,1,1
verdade,1.0,1.0,1.0,1.0,1,1
dans,1.0,1.0,1.0,1.0,1,1
punkins,1.0,1.0,1.0,1.0,1,1
petit,1.0,1.0,1.0,1.0,1,1
direct,1.0,0.03225806451612903,1.0,1.0,1,0
rio,0.5,0.3333333333333333,0.5,1.0,1,0
nas,0.5,0.25,0.5,1.0,1,0
lim,1.0,1.0,1.0,1.0,1,1
old,1.0,0.07692307692307693,1.0,1.0,1,0
ds,1.0,0.05555555555555555,1.0,1.0,1,0
shoutouts,0.5,1.0,0.5,1.0,1,1
replies,0.5,0.2,0.5,1.0,1,0
fraco,1.0,1.0,1.0,1.0,1,1
kara,1.0,1.0,1.0,1.0,1,1
jb,1.0,1.0,1.0,1.0,1,1
spamming,1.0,1.0,1.0,1.0,1,1
arrives,1.0,0.14285714285714285,1.0,1.0,1,0
justine,1.0,1.0,1.0,1.0,1,1
brasco,1.0,1.0,1.0,1.0,1,1
jermaine,1.0,1.0,1.0,1.0,1,1
kamila,1.0,1.0,1.0,1.0,1,1
jelena,1.0,1.0,1.0,1.0,1,1
loco,1.0,0.043478260869565216,1.0,1.0,1,0
depressed,1.0,0.047619047619047616,1.0,1.0,1,0
wafers,1.0,0.5,1.0,1.0,1,0
titi,1.0,0.14285714285714285,1.0,1.0,1,0
funsized,1.0,1.0,1.0,1.0,1,1
ingles,0.5,1.0,0.5,1.0,1,1
hora,0.5,1.0,0.5,1.0,1,1
are,1.0,0.07142857142857142,1.0,1.0,1,0
cropped,1.0,0.06666666666666667,1.0,1.0,1,0
christine,1.0,1.0,1.0,1.0,1,1
