,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
vc,1.0,1.0,1.0,1.0,1,1
uma,1.0,0.3333333333333333,1.0,1.0,1,0
arrumar,1.0,1.0,1.0,1.0,1,1
qnd,1.0,1.0,1.0,1.0,1,1
tbm,1.0,1.0,1.0,1.0,1,1
unread,1.0,1.0,1.0,1.0,1,1
adolescente,1.0,1.0,1.0,1.0,1,1
baywalk,1.0,1.0,1.0,1.0,1,1
nur,1.0,1.0,1.0,1.0,1,1
likes,1.0,0.14285714285714285,1.0,1.0,1,0
alana,1.0,1.0,1.0,1.0,1,1
aday,1.0,1.0,1.0,1.0,1,1
hd,1.0,1.0,1.0,1.0,1,1
timone,1.0,1.0,1.0,1.0,1,1
cheetos,1.0,1.0,1.0,1.0,1,1
stp,1.0,0.3333333333333333,1.0,1.0,1,0
luiz,1.0,1.0,1.0,1.0,1,1
idolo,1.0,1.0,1.0,1.0,1,1
theo,1.0,1.0,1.0,1.0,1,1
taylor,0.5,0.14285714285714285,0.5,1.0,1,0
hannah,0.5,1.0,0.5,1.0,1,1
eps,1.0,1.0,1.0,1.0,1,1
hoya,1.0,1.0,1.0,1.0,1,1
ipods,1.0,0.5,1.0,1.0,1,0
hm,1.0,0.3333333333333333,1.0,1.0,1,0
hacker,1.0,0.2,1.0,1.0,1,0
aham,1.0,1.0,1.0,1.0,1,1
adhd,1.0,0.1111111111111111,1.0,1.0,1,0
channels,1.0,0.043478260869565216,1.0,1.0,1,0
motel,1.0,1.0,1.0,1.0,1,1
ben,1.0,1.0,1.0,1.0,1,1
rocsi,1.0,1.0,1.0,1.0,1,1
adik,1.0,1.0,1.0,1.0,1,1
hotels,1.0,0.5,1.0,1.0,1,0
sleeeeeepy,1.0,1.0,1.0,1.0,1,1
christy,1.0,1.0,1.0,1.0,1,1
nani,1.0,1.0,1.0,1.0,1,1
paypal,1.0,1.0,1.0,1.0,1,1
generic,1.0,0.5,1.0,1.0,1,0
sucesso,1.0,1.0,1.0,1.0,1,1
ruins,1.0,0.07692307692307693,1.0,1.0,1,0
donald,1.0,1.0,1.0,1.0,1,1
gi,1.0,0.14285714285714285,1.0,1.0,1,0
msh,1.0,0.3333333333333333,1.0,1.0,1,0
broody,1.0,0.07692307692307693,1.0,1.0,1,0
apres,1.0,1.0,1.0,1.0,1,1
captiva,1.0,1.0,1.0,1.0,1,1
dama,1.0,0.3333333333333333,1.0,1.0,1,0
pilot,1.0,0.07142857142857142,1.0,1.0,1,0
eyeglasses,0.5,0.16666666666666666,0.5,1.0,1,0
lenses,0.5,0.1111111111111111,0.5,1.0,1,0
pd,1.0,0.25,1.0,1.0,1,0
africa,1.0,0.5,1.0,1.0,1,0
gluten,1.0,1.0,1.0,1.0,1,1
menggoreskan,1.0,1.0,1.0,1.0,1,1
facepaint,0.5,1.0,0.5,1.0,1,1
alpinas,0.5,1.0,0.5,1.0,1,1
binoo,1.0,1.0,1.0,1.0,1,1
swiped,1.0,0.07692307692307693,1.0,1.0,1,0
ignored,1.0,0.07692307692307693,1.0,1.0,1,0
haylor,1.0,1.0,1.0,1.0,1,1
type,1.0,0.16666666666666666,1.0,1.0,1,0
rap,1.0,0.07692307692307693,1.0,1.0,1,0
frequently,1.0,0.2,1.0,1.0,1,0
paramore,1.0,1.0,1.0,1.0,1,1
captured,1.0,0.05555555555555555,1.0,1.0,1,0
nauseated,1.0,0.09090909090909091,1.0,1.0,1,0
model,1.0,0.04,1.0,1.0,1,0
cine,1.0,1.0,1.0,1.0,1,1
uncensored,1.0,1.0,1.0,1.0,1,1
