,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
bem,1.0,1.0,1.0,1.0,1,1
qualquer,1.0,1.0,1.0,1.0,1,1
site,1.0,0.125,1.0,1.0,1,0
trop,1.0,1.0,1.0,1.0,1,1
ordi,1.0,1.0,1.0,1.0,1,1
anne,1.0,0.5,1.0,1.0,1,0
online,1.0,0.5,1.0,1.0,1,0
wp,1.0,1.0,1.0,1.0,1,1
cams,1.0,0.2,1.0,1.0,1,0
drogas,1.0,1.0,1.0,1.0,1,1
refugees,1.0,0.5,1.0,1.0,1,0
assistir,1.0,1.0,1.0,1.0,1,1
tanpa,1.0,1.0,1.0,1.0,1,1
ubersocial,1.0,1.0,1.0,1.0,1,1
babi,0.5,1.0,0.5,1.0,1,1
dah,0.5,0.5,0.5,1.0,1,0
ashley,1.0,1.0,1.0,1.0,1,1
faceis,1.0,1.0,1.0,1.0,1,1
tiiiired,1.0,1.0,1.0,1.0,1,1
mal,1.0,1.0,1.0,1.0,1,1
bg,1.0,1.0,1.0,1.0,1,1
diego,0.5,1.0,0.5,1.0,1,1
pedro,0.5,1.0,0.5,1.0,1,1
fbook,0.5,1.0,0.5,1.0,1,1
notification,0.5,0.2,0.5,1.0,1,0
danielle,1.0,1.0,1.0,1.0,1,1
blac,1.0,1.0,1.0,1.0,1,1
vulgar,1.0,0.09090909090909091,1.0,1.0,1,0
laptop,1.0,0.5,1.0,1.0,1,0
walker,1.0,0.09090909090909091,1.0,1.0,1,0
framed,1.0,0.07142857142857142,1.0,1.0,1,0
hamburgers,1.0,0.2,1.0,1.0,1,0
yungen,1.0,1.0,1.0,1.0,1,1
kawaii,1.0,1.0,1.0,1.0,1,1
unseen,1.0,0.25,1.0,1.0,1,0
postin,1.0,1.0,1.0,1.0,1,1
bhai,0.5,1.0,0.5,1.0,1,1
khan,0.5,0.25,0.5,1.0,1,0
bermukim,1.0,1.0,1.0,1.0,1,1
poster,0.3333333333333333,0.1,0.3333333333333333,1.0,1,0
cds,0.3333333333333333,0.08333333333333333,0.3333333333333333,1.0,1,0
folder,0.3333333333333333,0.2,0.3333333333333333,1.0,1,0
cola,1.0,0.1111111111111111,1.0,1.0,1,0
esquina,1.0,1.0,1.0,1.0,1,1
bey,1.0,1.0,1.0,1.0,1,1
arriving,1.0,0.14285714285714285,1.0,1.0,1,0
moet,1.0,1.0,1.0,1.0,1,1
vien,1.0,1.0,1.0,1.0,1,1
block,1.0,0.022727272727272728,1.0,1.0,1,0
der,1.0,0.25,1.0,1.0,1,0
caps,1.0,0.06666666666666667,1.0,1.0,1,0
inboxin,1.0,1.0,1.0,1.0,1,1
rhea,1.0,0.2,1.0,1.0,1,0
chocalate,1.0,1.0,1.0,1.0,1,1
pretzel,0.5,1.0,0.5,1.0,1,1
cheddar,0.5,0.2,0.5,1.0,1,0
zoe,0.5,1.0,0.5,1.0,1,1
diana,0.5,0.2,0.5,1.0,1,0
ringtone,1.0,1.0,1.0,1.0,1,1
coastin,1.0,1.0,1.0,1.0,1,1
thani,1.0,1.0,1.0,1.0,1,1
innocent,1.0,0.07692307692307693,1.0,1.0,1,0
warner,1.0,0.3333333333333333,1.0,1.0,1,0
aeropostal,1.0,1.0,1.0,1.0,1,1
bates,0.5,0.1111111111111111,0.5,1.0,1,0
ferb,0.5,1.0,0.5,1.0,1,1
ligero,1.0,1.0,1.0,1.0,1,1
indirected,1.0,1.0,1.0,1.0,1,1
diseased,0.5,0.25,0.5,1.0,1,0
blackheads,0.5,0.3333333333333333,0.5,1.0,1,0
knox,0.5,0.3333333333333333,0.5,1.0,1,0
lindsay,0.5,0.2,0.5,1.0,1,0
stalk,1.0,0.09090909090909091,1.0,1.0,1,0
kimono,1.0,1.0,1.0,1.0,1,1
acabei,1.0,1.0,1.0,1.0,1,1
navy,1.0,0.125,1.0,1.0,1,0
pb,0.5,0.1,0.5,1.0,1,0
cp,0.5,1.0,0.5,1.0,1,1
pourquoi,0.5,1.0,0.5,1.0,1,1
bah,0.5,1.0,0.5,1.0,1,1
jackie,1.0,1.0,1.0,1.0,1,1
daee,1.0,1.0,1.0,1.0,1,1
son,1.0,0.2,1.0,1.0,1,0
kremes,1.0,1.0,1.0,1.0,1,1
estes,1.0,1.0,1.0,1.0,1,1
gorg,1.0,1.0,1.0,1.0,1,1
at,1.0,0.25,1.0,1.0,1,0
tristan,0.5,0.3333333333333333,0.5,1.0,1,0
jules,0.5,1.0,0.5,1.0,1,1
reece,1.0,1.0,1.0,1.0,1,1
bullying,1.0,0.08333333333333333,1.0,1.0,1,0
perfecto,1.0,1.0,1.0,1.0,1,1
carly,1.0,1.0,1.0,1.0,1,1
ev,1.0,0.3333333333333333,1.0,1.0,1,0
dry,1.0,0.125,1.0,1.0,1,0
lemon,1.0,0.14285714285714285,1.0,1.0,1,0
pulak,0.5,1.0,0.5,1.0,1,1
smalam,0.5,1.0,0.5,1.0,1,1
hipsters,0.5,0.14285714285714285,0.5,1.0,1,0
gays,0.5,0.2,0.5,1.0,1,0
katie,0.5,1.0,0.5,1.0,1,1
jenna,0.5,1.0,0.5,1.0,1,1
digi,1.0,1.0,1.0,1.0,1,1
lyrics,1.0,0.2,1.0,1.0,1,0
sbarro,1.0,1.0,1.0,1.0,1,1
rato,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
muy,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
bueno,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
missing,1.0,0.06666666666666667,1.0,1.0,1,0
burro,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
epa,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,0
culpa,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
envelopes,1.0,0.125,1.0,1.0,1,0
promotor,1.0,1.0,1.0,1.0,1,1
lefteye,1.0,1.0,1.0,1.0,1,1
abi,1.0,1.0,1.0,1.0,1,1
peut,1.0,1.0,1.0,1.0,1,1
imagine,1.0,0.1111111111111111,1.0,1.0,1,0
pense,0.5,1.0,0.5,1.0,1,1
ibas,0.5,1.0,0.5,1.0,1,1
fluffy,1.0,0.25,1.0,1.0,1,0
typhoon,1.0,1.0,1.0,1.0,1,1
looney,1.0,0.2,1.0,1.0,1,0
school,1.0,0.09090909090909091,1.0,1.0,1,0
iam,1.0,1.0,1.0,1.0,1,1
designs,1.0,0.058823529411764705,1.0,1.0,1,0
hongry,1.0,1.0,1.0,1.0,1,1
aunty,1.0,0.3333333333333333,1.0,1.0,1,0
cuter,1.0,0.25,1.0,1.0,1,0
textes,1.0,1.0,1.0,1.0,1,1
bonuses,0.5,0.25,0.5,1.0,1,0
royalties,0.5,0.2,0.5,1.0,1,0
rosie,1.0,1.0,1.0,1.0,1,1
beeped,1.0,0.16666666666666666,1.0,1.0,1,0
flatback,1.0,1.0,1.0,1.0,1,1
circled,0.5,0.25,0.5,1.0,1,0
fromthe,0.5,1.0,0.5,1.0,1,1
opera,1.0,0.3333333333333333,1.0,1.0,1,0
daquan,1.0,1.0,1.0,1.0,1,1
besi,1.0,1.0,1.0,1.0,1,1
caffeine,0.5,0.5,0.5,1.0,1,0
migraine,0.5,0.25,0.5,1.0,1,0
police,0.5,0.2,0.5,1.0,1,0
crime,0.5,0.16666666666666666,0.5,1.0,1,0
horrible,1.0,0.2,1.0,1.0,1,0
tape,0.5,0.1111111111111111,0.5,1.0,1,0
clips,0.5,0.047619047619047616,0.5,1.0,1,0
dante,1.0,0.3333333333333333,1.0,1.0,1,0
fiance,1.0,0.5,1.0,1.0,1,0
keaira,1.0,1.0,1.0,1.0,1,1
antonio,0.5,1.0,0.5,1.0,1,1
conductor,0.5,0.3333333333333333,0.5,1.0,1,0
khadija,1.0,1.0,1.0,1.0,1,1
spears,1.0,0.125,1.0,1.0,1,0
ich,1.0,1.0,1.0,1.0,1,1
pete,1.0,1.0,1.0,1.0,1,1
authentic,1.0,0.2,1.0,1.0,1,0
abstinencia,1.0,1.0,1.0,1.0,1,1
grandsons,1.0,0.5,1.0,1.0,1,0
bersama,1.0,1.0,1.0,1.0,1,1
leul,1.0,1.0,1.0,1.0,1,1
roms,1.0,0.2,1.0,1.0,1,0
pendin,0.5,1.0,0.5,1.0,1,1
aggregated,0.5,0.2,0.5,1.0,1,0
walace,1.0,1.0,1.0,1.0,1,1
saging,1.0,0.16666666666666666,1.0,1.0,1,0
agit,1.0,1.0,1.0,1.0,1,1
jersery,1.0,1.0,1.0,1.0,1,1
deco,1.0,0.5,1.0,1.0,1,0
furs,1.0,0.3333333333333333,1.0,1.0,1,0
eleven,1.0,0.2,1.0,1.0,1,0
danity,1.0,1.0,1.0,1.0,1,1
ld,1.0,1.0,1.0,1.0,1,1
comparable,0.5,0.3333333333333333,0.5,1.0,1,0
sensible,0.5,0.3333333333333333,0.5,1.0,1,0
kierra,1.0,1.0,1.0,1.0,1,1
itchy,1.0,0.25,1.0,1.0,1,0
severely,1.0,0.16666666666666666,1.0,1.0,1,0
khalia,1.0,1.0,1.0,1.0,1,1
vega,1.0,0.25,1.0,1.0,1,0
accross,1.0,1.0,1.0,1.0,1,1
annies,1.0,1.0,1.0,1.0,1,1
preview,1.0,0.3333333333333333,1.0,1.0,1,0
j'aime,1.0,1.0,1.0,1.0,1,1
discreet,1.0,0.3333333333333333,1.0,1.0,1,0
pony,1.0,0.2,1.0,1.0,1,0
joe,1.0,1.0,1.0,1.0,1,1
benz,1.0,1.0,1.0,1.0,1,1
apologized,0.5,0.14285714285714285,0.5,1.0,1,0
phoned,0.5,0.16666666666666666,0.5,1.0,1,0
lambo,1.0,1.0,1.0,1.0,1,1
edition,1.0,0.25,1.0,1.0,1,0
dymon,0.5,1.0,0.5,1.0,1,1
shakia,0.5,1.0,0.5,1.0,1,1
but,1.0,0.2,1.0,1.0,1,0
kelz,1.0,1.0,1.0,1.0,1,1
dillon,1.0,1.0,1.0,1.0,1,1
marked,1.0,0.03225806451612903,1.0,1.0,1,0
lanes,1.0,0.5,1.0,1.0,1,0
stats,0.5,1.0,0.5,1.0,1,1
assists,0.5,0.1111111111111111,0.5,1.0,1,0
installed,1.0,0.16666666666666666,1.0,1.0,1,0
clause,1.0,0.5,1.0,1.0,1,0
abusing,1.0,0.08333333333333333,1.0,1.0,1,0
tavia,0.5,1.0,0.5,1.0,1,1
taliyah,0.5,1.0,0.5,1.0,1,1
finally,1.0,0.1111111111111111,1.0,1.0,1,0
maximum,1.0,0.16666666666666666,1.0,1.0,1,0
passer,1.0,0.16666666666666666,1.0,1.0,1,0
