,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
fofo,1.0,1.0,1.0,1.0,1,1
sem,0.5,1.0,0.5,1.0,1,1
um,0.5,1.0,0.5,1.0,1,1
amanda,1.0,1.0,1.0,1.0,1,1
hitam,1.0,1.0,1.0,1.0,1,1
lui,1.0,1.0,1.0,1.0,1,1
scaren,1.0,1.0,1.0,1.0,1,1
tia,0.5,0.3333333333333333,0.5,1.0,1,0
carol,0.5,0.5,0.5,1.0,1,0
formspring,1.0,1.0,1.0,1.0,1,1
palsu,1.0,1.0,1.0,1.0,1,1
daron,1.0,1.0,1.0,1.0,1,1
bruno,1.0,0.14285714285714285,1.0,1.0,1,0
premium,1.0,0.16666666666666666,1.0,1.0,1,0
ne,1.0,0.1,1.0,1.0,1,0
porra,1.0,1.0,1.0,1.0,1,1
paulo,1.0,1.0,1.0,1.0,1,1
provoca,1.0,1.0,1.0,1.0,1,1
cody,1.0,0.16666666666666666,1.0,1.0,1,0
phineas,1.0,1.0,1.0,1.0,1,1
katy,1.0,1.0,1.0,1.0,1,1
noir,1.0,1.0,1.0,1.0,1,1
damon,1.0,0.5,1.0,1.0,1,0
pneumonia,1.0,1.0,1.0,1.0,1,1
noel,1.0,0.14285714285714285,1.0,1.0,1,0
marques,1.0,0.2,1.0,1.0,1,0
chinky,1.0,1.0,1.0,1.0,1,1
deleted,0.5,0.16666666666666666,0.5,1.0,1,0
appeared,0.5,0.16666666666666666,0.5,1.0,1,0
'',1.0,1.0,1.0,1.0,1,1
cdai,1.0,1.0,1.0,1.0,1,1
naomi,1.0,0.3333333333333333,1.0,1.0,1,0
playboy,0.5,0.3333333333333333,0.5,1.0,1,0
nora,0.5,1.0,0.5,1.0,1,1
goldie,1.0,1.0,1.0,1.0,1,1
staren,1.0,1.0,1.0,1.0,1,1
gif,1.0,1.0,1.0,1.0,1,1
quay,1.0,1.0,1.0,1.0,1,1
shop,1.0,0.05,1.0,1.0,1,0
