,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
#free,1.0,1.0,1.0,1.0,1,1
tempo,1.0,0.3333333333333333,1.0,1.0,1,0
lucas,1.0,0.3333333333333333,1.0,1.0,1,0
volto,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
fale,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
eu,0.3333333333333333,0.08333333333333333,0.3333333333333333,1.0,1,0
stalker,0.5,0.3333333333333333,0.5,1.0,1,0
fb,0.5,1.0,0.5,1.0,1,1
papo,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
ficar,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
colar,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
ton,1.0,0.2,1.0,1.0,1,0
unbanned,1.0,1.0,1.0,1.0,1,1
seri,1.0,1.0,1.0,1.0,1,1
downloads,1.0,0.5,1.0,1.0,1,0
trisha,1.0,1.0,1.0,1.0,1,1
gros,0.5,1.0,0.5,1.0,1,1
voisin,0.5,1.0,0.5,1.0,1,1
suzy,1.0,1.0,1.0,1.0,1,1
fonts,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,1,0
pages,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,1,0
themes,0.3333333333333333,0.0625,0.3333333333333333,1.0,1,0
celine,1.0,1.0,1.0,1.0,1,1
dryy,1.0,1.0,1.0,1.0,1,1
imprisoned,1.0,0.07142857142857142,1.0,1.0,1,0
ses,1.0,0.043478260869565216,1.0,1.0,1,0
professor,1.0,0.5,1.0,1.0,1,0
tfb,1.0,1.0,1.0,1.0,1,1
ferrari,1.0,1.0,1.0,1.0,1,1
komen,1.0,1.0,1.0,1.0,1,1
annoyedd,1.0,1.0,1.0,1.0,1,1
finen,1.0,1.0,1.0,1.0,1,1
unlocked,1.0,0.16666666666666666,1.0,1.0,1,0
remy,1.0,1.0,1.0,1.0,1,1
outlet,1.0,0.07142857142857142,1.0,1.0,1,0
deena,1.0,1.0,1.0,1.0,1,1
moda,1.0,1.0,1.0,1.0,1,1
zacky,1.0,1.0,1.0,1.0,1,1
tbhs,1.0,1.0,1.0,1.0,1,1
adrianna,1.0,1.0,1.0,1.0,1,1
lastin,1.0,1.0,1.0,1.0,1,1
troll,1.0,0.3333333333333333,1.0,1.0,1,0
mykia,1.0,1.0,1.0,1.0,1,1
distanced,1.0,0.25,1.0,1.0,1,0
paula,0.5,1.0,0.5,1.0,1,1
miranda,0.5,1.0,0.5,1.0,1,1
stiles,1.0,0.5,1.0,1.0,1,0
refrained,1.0,0.2,1.0,1.0,1,0
mya,1.0,0.3333333333333333,1.0,1.0,1,0
got,1.0,0.014084507042253521,1.0,1.0,1,0
nesquik,1.0,1.0,1.0,1.0,1,1
realizin,1.0,1.0,1.0,1.0,1,1
rick,0.5,0.1,0.5,1.0,1,0
