,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
deixou,1.0,1.0,1.0,1.0,1,1
tava,1.0,1.0,1.0,1.0,1,1
disse,1.0,1.0,1.0,1.0,1,1
gay,1.0,0.0625,1.0,1.0,1,0
berbau,1.0,1.0,1.0,1.0,1,1
enzo,1.0,1.0,1.0,1.0,1,1
shaheed,1.0,1.0,1.0,1.0,1,1
nie,1.0,1.0,1.0,1.0,1,1
avatar,1.0,0.3333333333333333,1.0,1.0,1,0
ipad,1.0,1.0,1.0,1.0,1,1
amir,1.0,0.25,1.0,1.0,1,0
consegui,0.5,1.0,0.5,1.0,1,1
depois,0.5,1.0,0.5,1.0,1,1
mamat,1.0,1.0,1.0,1.0,1,1
keek,1.0,1.0,1.0,1.0,1,1
divorced,1.0,0.14285714285714285,1.0,1.0,1,0
minuto,1.0,1.0,1.0,1.0,1,1
frappe,1.0,0.5,1.0,1.0,1,0
grouchy,1.0,0.125,1.0,1.0,1,0
euros,1.0,0.5,1.0,1.0,1,0
leigh,1.0,0.3333333333333333,1.0,1.0,1,0
hombre,1.0,0.25,1.0,1.0,1,0
takenn,1.0,1.0,1.0,1.0,1,1
evicted,1.0,0.3333333333333333,1.0,1.0,1,0
cable,1.0,0.08333333333333333,1.0,1.0,1,0
ricardo,1.0,0.3333333333333333,1.0,1.0,1,0
jasmine,1.0,1.0,1.0,1.0,1,1
facebooking,1.0,1.0,1.0,1.0,1,1
ahma,1.0,1.0,1.0,1.0,1,1
alonzo,1.0,1.0,1.0,1.0,1,1
korea,1.0,0.2,1.0,1.0,1,0
evans,0.3333333333333333,0.2,0.3333333333333333,1.0,1,0
danny,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
john,0.3333333333333333,0.05,0.3333333333333333,1.0,1,0
moncler,1.0,1.0,1.0,1.0,1,1
trans,1.0,1.0,1.0,1.0,1,1
tay,1.0,0.5,1.0,1.0,1,0
imac,1.0,1.0,1.0,1.0,1,1
aroma,0.5,0.125,0.5,1.0,1,0
jupiter,0.5,0.3333333333333333,0.5,1.0,1,0
slater,1.0,0.5,1.0,1.0,1,0
elijah,1.0,0.5,1.0,1.0,1,0
toner,1.0,1.0,1.0,1.0,1,1
avant,1.0,1.0,1.0,1.0,1,1
lavagirl,1.0,1.0,1.0,1.0,1,1
isis,1.0,0.2,1.0,1.0,1,0
calme,1.0,1.0,1.0,1.0,1,1
m.,0.5,1.0,0.5,1.0,1,1
r.,0.5,1.0,0.5,1.0,1,1
swolen,1.0,1.0,1.0,1.0,1,1
clicked,1.0,0.06666666666666667,1.0,1.0,1,0
dia,0.5,0.3333333333333333,0.5,1.0,1,0
takut,0.5,1.0,0.5,1.0,1,1
shannon,1.0,0.2,1.0,1.0,1,0
tattted,1.0,1.0,1.0,1.0,1,1
demasiado,1.0,1.0,1.0,1.0,1,1
zona,1.0,0.5,1.0,1.0,1,0
icarly,1.0,1.0,1.0,1.0,1,1
funny,1.0,0.047619047619047616,1.0,1.0,1,0
sigo,1.0,1.0,1.0,1.0,1,1
jogou,1.0,1.0,1.0,1.0,1,1
circa,1.0,1.0,1.0,1.0,1,1
ruko,1.0,1.0,1.0,1.0,1,1
trends,1.0,0.06666666666666667,1.0,1.0,1,0
makwe,1.0,1.0,1.0,1.0,1,1
