,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
quand,1.0,1.0,1.0,1.0,1,1
foi,1.0,1.0,1.0,1.0,1,1
outros,1.0,1.0,1.0,1.0,1,1
inactive,1.0,0.14285714285714285,1.0,1.0,1,0
hein,1.0,1.0,1.0,1.0,1,1
monte,1.0,0.3333333333333333,1.0,1.0,1,0
coca,1.0,0.2,1.0,1.0,1,0
mas,1.0,0.05263157894736842,1.0,1.0,1,0
dessa,1.0,1.0,1.0,1.0,1,1
liam,1.0,1.0,1.0,1.0,1,1
khalifa,1.0,1.0,1.0,1.0,1,1
twittar,1.0,1.0,1.0,1.0,1,1
monique,1.0,1.0,1.0,1.0,1,1
primeiro,1.0,1.0,1.0,1.0,1,1
sophie,1.0,1.0,1.0,1.0,1,1
subbed,1.0,0.2,1.0,1.0,1,0
nanas,1.0,1.0,1.0,1.0,1,1
shinee,1.0,1.0,1.0,1.0,1,1
khloe,1.0,1.0,1.0,1.0,1,1
kris,1.0,0.3333333333333333,1.0,1.0,1,0
russe,0.5,1.0,0.5,1.0,1,1
ils,0.5,0.2,0.5,1.0,1,0
heb,1.0,1.0,1.0,1.0,1,1
prescribes,1.0,0.25,1.0,1.0,1,0
auto,1.0,0.2,1.0,1.0,1,0
zed,1.0,0.16666666666666666,1.0,1.0,1,0
booored,1.0,1.0,1.0,1.0,1,1
tim,1.0,1.0,1.0,1.0,1,1
messaging,1.0,0.3333333333333333,1.0,1.0,1,0
bercakap,1.0,1.0,1.0,1.0,1,1
subs,1.0,0.047619047619047616,1.0,1.0,1,0
ogs,1.0,1.0,1.0,1.0,1,1
freddy,0.5,1.0,0.5,1.0,1,1
lilo,0.5,0.5,0.5,1.0,1,0
risas,1.0,1.0,1.0,1.0,1,1
camille,1.0,1.0,1.0,1.0,1,1
favoriting,1.0,1.0,1.0,1.0,1,1
luscious,1.0,0.1,1.0,1.0,1,0
facee,1.0,1.0,1.0,1.0,1,1
aziz,0.5,1.0,0.5,1.0,1,1
yi,0.5,0.3333333333333333,0.5,1.0,1,0
mq,1.0,1.0,1.0,1.0,1,1
borrrrred,1.0,1.0,1.0,1.0,1,1
linked,1.0,0.07142857142857142,1.0,1.0,1,0
odp,1.0,1.0,1.0,1.0,1,1
caso,1.0,1.0,1.0,1.0,1,1
flu,1.0,0.3333333333333333,1.0,1.0,1,0
dried,1.0,0.2,1.0,1.0,1,0
slaughtered,1.0,0.2,1.0,1.0,1,0
h.,1.0,1.0,1.0,1.0,1,1
my,1.0,1.0,1.0,1.0,1,1
manja,1.0,1.0,1.0,1.0,1,1
lache,1.0,1.0,1.0,1.0,1,1
called,1.0,0.037037037037037035,1.0,1.0,1,0
raspy,1.0,0.16666666666666666,1.0,1.0,1,0
buscar,1.0,1.0,1.0,1.0,1,1
castro,1.0,0.25,1.0,1.0,1,0
hermoso,1.0,1.0,1.0,1.0,1,1
dotty,1.0,0.038461538461538464,1.0,1.0,1,0
irratating,1.0,1.0,1.0,1.0,1,1
non,1.0,0.5,1.0,1.0,1,0
home,1.0,0.05,1.0,1.0,1,0
scooter,1.0,0.14285714285714285,1.0,1.0,1,0
pearl,1.0,0.16666666666666666,1.0,1.0,1,0
poco,1.0,1.0,1.0,1.0,1,1
nan,1.0,0.1,1.0,1.0,1,0
mr,1.0,0.25,1.0,1.0,1,0
terry,1.0,0.16666666666666666,1.0,1.0,1,0
misto,1.0,1.0,1.0,1.0,1,1
topless,1.0,0.3333333333333333,1.0,1.0,1,0
reborn,1.0,0.3333333333333333,1.0,1.0,1,0
annnoyed,1.0,1.0,1.0,1.0,1,1
wtf,1.0,1.0,1.0,1.0,1,1
controle,1.0,1.0,1.0,1.0,1,1
vista,1.0,0.16666666666666666,1.0,1.0,1,0
gianna,1.0,1.0,1.0,1.0,1,1
dejan,1.0,1.0,1.0,1.0,1,1
messi,1.0,1.0,1.0,1.0,1,1
rashad,1.0,1.0,1.0,1.0,1,1
