,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
tl,1.0,0.25,1.0,1.0,1,0
hj,1.0,1.0,1.0,1.0,1,1
lado,1.0,1.0,1.0,1.0,1,1
essa,1.0,1.0,1.0,1.0,1,1
arrebenta,1.0,1.0,1.0,1.0,1,1
trouve,1.0,1.0,1.0,1.0,1,1
te,1.0,0.16666666666666666,1.0,1.0,1,0
stalked,1.0,0.25,1.0,1.0,1,0
chegando,1.0,1.0,1.0,1.0,1,1
inboxed,1.0,1.0,1.0,1.0,1,1
original,1.0,0.2,1.0,1.0,1,0
dating,1.0,0.14285714285714285,1.0,1.0,1,0
totalmente,1.0,1.0,1.0,1.0,1,1
captions,1.0,0.25,1.0,1.0,1,0
pattie,1.0,1.0,1.0,1.0,1,1
louise,1.0,1.0,1.0,1.0,1,1
hungrrry,1.0,1.0,1.0,1.0,1,1
siick,1.0,1.0,1.0,1.0,1,1
criar,1.0,1.0,1.0,1.0,1,1
larmes,1.0,1.0,1.0,1.0,1,1
envie,1.0,1.0,1.0,1.0,1,1
abuse,1.0,0.05555555555555555,1.0,1.0,1,0
rb,0.5,0.25,0.5,1.0,1,0
tees,0.5,0.16666666666666666,0.5,1.0,1,0
anh,1.0,1.0,1.0,1.0,1,1
mama,1.0,0.1,1.0,1.0,1,0
daar,1.0,1.0,1.0,1.0,1,1
ar,1.0,0.125,1.0,1.0,1,0
fio,1.0,1.0,1.0,1.0,1,1
sr,1.0,0.2,1.0,1.0,1,0
converse,1.0,0.25,1.0,1.0,1,0
nacho,1.0,1.0,1.0,1.0,1,1
lovey,1.0,1.0,1.0,1.0,1,1
castillo,1.0,1.0,1.0,1.0,1,1
version,1.0,0.1,1.0,1.0,1,0
itouch,1.0,1.0,1.0,1.0,1,1
merde,1.0,1.0,1.0,1.0,1,1
sal,1.0,1.0,1.0,1.0,1,1
tts,1.0,0.1,1.0,1.0,1,0
striped,1.0,0.03571428571428571,1.0,1.0,1,0
fond,1.0,0.125,1.0,1.0,1,0
loko,1.0,1.0,1.0,1.0,1,1
formatted,1.0,0.2,1.0,1.0,1,0
dolly,1.0,0.5,1.0,1.0,1,0
depok,1.0,1.0,1.0,1.0,1,1
villa,1.0,0.2,1.0,1.0,1,0
gerard,1.0,1.0,1.0,1.0,1,1
tyga,1.0,1.0,1.0,1.0,1,1
lele,1.0,1.0,1.0,1.0,1,1
etes,1.0,1.0,1.0,1.0,1,1
jameel,1.0,1.0,1.0,1.0,1,1
lexi,0.5,1.0,0.5,1.0,1,1
vinny,0.5,1.0,0.5,1.0,1,1
escribes,1.0,1.0,1.0,1.0,1,1
patch,1.0,0.05555555555555555,1.0,1.0,1,0
jee,1.0,1.0,1.0,1.0,1,1
eua,1.0,1.0,1.0,1.0,1,1
visits,1.0,0.041666666666666664,1.0,1.0,1,0
sextin,1.0,1.0,1.0,1.0,1,1
glitchy,1.0,1.0,1.0,1.0,1,1
matar,0.5,1.0,0.5,1.0,1,1
tratar,0.5,1.0,0.5,1.0,1,1
lonley,1.0,1.0,1.0,1.0,1,1
cheesing,1.0,0.5,1.0,1.0,1,0
peppers,1.0,0.09090909090909091,1.0,1.0,1,0
--------,1.0,1.0,1.0,1.0,1,1
peso,1.0,0.1111111111111111,1.0,1.0,1,0
kharan,1.0,1.0,1.0,1.0,1,1
suite,1.0,0.2,1.0,1.0,1,0
garret,0.5,0.3333333333333333,0.5,1.0,1,0
asher,0.5,1.0,0.5,1.0,1,1
giselle,0.5,1.0,0.5,1.0,1,1
nevaeh,0.5,1.0,0.5,1.0,1,1
plume,1.0,0.0625,1.0,1.0,1,0
kopi,1.0,1.0,1.0,1.0,1,1
cory,1.0,1.0,1.0,1.0,1,1
mnt,1.0,1.0,1.0,1.0,1,1
farah,1.0,1.0,1.0,1.0,1,1
alta,1.0,1.0,1.0,1.0,1,1
acquittal,1.0,1.0,1.0,1.0,1,1
tahun,1.0,1.0,1.0,1.0,1,1
gainin,1.0,1.0,1.0,1.0,1,1
pada,1.0,1.0,1.0,1.0,1,1
comimg,0.5,1.0,0.5,1.0,1,1
sittinq,0.5,1.0,0.5,1.0,1,1
