,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
sair,1.0,1.0,1.0,1.0,1,1
filho,0.5,1.0,0.5,1.0,1,1
quer,0.5,1.0,0.5,1.0,1,1
vou,1.0,1.0,1.0,1.0,1,1
ex,1.0,0.08333333333333333,1.0,1.0,1,0
falsa,1.0,1.0,1.0,1.0,1,1
estou,1.0,1.0,1.0,1.0,1,1
da,1.0,0.3333333333333333,1.0,1.0,1,0
krystal,1.0,1.0,1.0,1.0,1,1
rp,0.5,1.0,0.5,1.0,1,1
warga,0.5,1.0,0.5,1.0,1,1
ig,1.0,0.16666666666666666,1.0,1.0,1,0
ishaq,1.0,1.0,1.0,1.0,1,1
links,1.0,0.041666666666666664,1.0,1.0,1,0
zat,1.0,1.0,1.0,1.0,1,1
viruses,1.0,0.3333333333333333,1.0,1.0,1,0
j,1.0,0.25,1.0,1.0,1,0
depressa,1.0,1.0,1.0,1.0,1,1
metro,1.0,0.2,1.0,1.0,1,0
ve,0.5,1.0,0.5,1.0,1,1
sabah,0.5,0.3333333333333333,0.5,1.0,1,0
joyce,1.0,0.25,1.0,1.0,1,0
snoop,0.5,0.2,0.5,1.0,1,0
wayne,0.5,0.16666666666666666,0.5,1.0,1,0
onde,1.0,1.0,1.0,1.0,1,1
sarah,1.0,0.5,1.0,1.0,1,0
sending,1.0,0.05,1.0,1.0,1,0
jailed,1.0,0.07142857142857142,1.0,1.0,1,0
filet,0.5,0.25,0.5,1.0,1,0
motif,0.5,0.3333333333333333,0.5,1.0,1,0
arrested,1.0,0.058823529411764705,1.0,1.0,1,0
uploads,1.0,0.5,1.0,1.0,1,0
bynes,1.0,1.0,1.0,1.0,1,1
cases,1.0,0.030303030303030304,1.0,1.0,1,0
kaiden,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
shauna,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
amirah,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
peekers,1.0,1.0,1.0,1.0,1,1
jarell,1.0,1.0,1.0,1.0,1,1
blackshear,1.0,1.0,1.0,1.0,1,1
baby,0.5,0.07692307692307693,0.5,1.0,1,0
aka,0.5,1.0,0.5,1.0,1,1
lala,1.0,1.0,1.0,1.0,1,1
vomito,1.0,1.0,1.0,1.0,1,1
aux,0.5,1.0,0.5,1.0,1,1
une,0.5,1.0,0.5,1.0,1,1
funks,1.0,0.08333333333333333,1.0,1.0,1,0
per,1.0,1.0,1.0,1.0,1,1
sex,1.0,0.09090909090909091,1.0,1.0,1,0
aamir,1.0,1.0,1.0,1.0,1,1
grumpier,1.0,0.1111111111111111,1.0,1.0,1,0
coldd,1.0,1.0,1.0,1.0,1,1
javon,1.0,1.0,1.0,1.0,1,1
notas,1.0,1.0,1.0,1.0,1,1
seymour,1.0,0.3333333333333333,1.0,1.0,1,0
natalie,1.0,1.0,1.0,1.0,1,1
tras,1.0,1.0,1.0,1.0,1,1
spotty,1.0,0.2,1.0,1.0,1,0
comfty,1.0,1.0,1.0,1.0,1,1
backrub,1.0,1.0,1.0,1.0,1,1
hershel,0.5,1.0,0.5,1.0,1,1
fred,0.5,1.0,0.5,1.0,1,1
accnt,1.0,1.0,1.0,1.0,1,1
minto,1.0,1.0,1.0,1.0,1,1
aviv,1.0,1.0,1.0,1.0,1,1
claritin,1.0,1.0,1.0,1.0,1,1
zag,1.0,0.3333333333333333,1.0,1.0,1,0
slots,1.0,0.2,1.0,1.0,1,0
models,1.0,0.04,1.0,1.0,1,0
mehgan,1.0,1.0,1.0,1.0,1,1
pussycat,1.0,0.2,1.0,1.0,1,0
scarey,1.0,0.2,1.0,1.0,1,0
couz,1.0,1.0,1.0,1.0,1,1
boney,1.0,0.14285714285714285,1.0,1.0,1,0
tatoos,1.0,1.0,1.0,1.0,1,1
pinche,1.0,0.5,1.0,1.0,1,0
bittin,1.0,1.0,1.0,1.0,1,1
quita,1.0,1.0,1.0,1.0,1,1
posing,1.0,0.034482758620689655,1.0,1.0,1,0
jaune,1.0,1.0,1.0,1.0,1,1
maiyah,1.0,1.0,1.0,1.0,1,1
onda,1.0,1.0,1.0,1.0,1,1
maris,1.0,0.25,1.0,1.0,1,0
hocks,1.0,0.14285714285714285,1.0,1.0,1,0
recharged,1.0,0.3333333333333333,1.0,1.0,1,0
v,0.5,0.0625,0.5,1.0,1,0
z,0.5,0.14285714285714285,0.5,1.0,1,0
bomer,1.0,1.0,1.0,1.0,1,1
munched,1.0,0.3333333333333333,1.0,1.0,1,0
ist,0.5,1.0,0.5,1.0,1,1
auf,0.5,1.0,0.5,1.0,1,1
johnnie,1.0,1.0,1.0,1.0,1,1
sheddin,1.0,1.0,1.0,1.0,1,1
restless,1.0,0.25,1.0,1.0,1,0
pox,1.0,0.2,1.0,1.0,1,0
miss,1.0,0.05555555555555555,1.0,1.0,1,0
pillz,1.0,1.0,1.0,1.0,1,1
francis,1.0,1.0,1.0,1.0,1,1
doem,1.0,1.0,1.0,1.0,1,1
seulement,1.0,1.0,1.0,1.0,1,1
bck,1.0,1.0,1.0,1.0,1,1
stunnin,0.5,1.0,0.5,1.0,1,1
fuckable,0.5,1.0,0.5,1.0,1,1
dizziness,0.5,0.25,0.5,1.0,1,0
bronchitis,0.5,1.0,0.5,1.0,1,1
resurfaces,1.0,0.5,1.0,1.0,1,0
strx,1.0,1.0,1.0,1.0,1,1
hahahah,1.0,1.0,1.0,1.0,1,1
illuminati,1.0,1.0,1.0,1.0,1,1
segunda,1.0,1.0,1.0,1.0,1,1
val,1.0,1.0,1.0,1.0,1,1
screamo,1.0,1.0,1.0,1.0,1,1
cherie,1.0,1.0,1.0,1.0,1,1
chillinq,0.5,1.0,0.5,1.0,1,1
watchen,0.5,1.0,0.5,1.0,1,1
askk,0.5,1.0,0.5,1.0,1,1
taty,0.5,1.0,0.5,1.0,1,1
kumin,1.0,1.0,1.0,1.0,1,1
gta,0.5,1.0,0.5,1.0,1,1
crack,0.5,0.02702702702702703,0.5,1.0,1,0
tokyo,1.0,0.125,1.0,1.0,1,0
muvah,1.0,1.0,1.0,1.0,1,1
bono,1.0,1.0,1.0,1.0,1,1
smuggled,1.0,0.16666666666666666,1.0,1.0,1,0
interviews,1.0,0.2,1.0,1.0,1,0
hackd,1.0,1.0,1.0,1.0,1,1
loney,1.0,1.0,1.0,1.0,1,1
admin,1.0,1.0,1.0,1.0,1,1
blacc,1.0,1.0,1.0,1.0,1,1
invoice,1.0,0.3333333333333333,1.0,1.0,1,0
surreal,1.0,0.2,1.0,1.0,1,0
juice,0.5,0.5,0.5,1.0,1,0
berry,0.5,0.25,0.5,1.0,1,0
reminders,0.5,0.25,0.5,1.0,1,0
visitors,0.5,0.3333333333333333,0.5,1.0,1,0
spies,1.0,0.1,1.0,1.0,1,0
zombie,0.5,0.14285714285714285,0.5,1.0,1,0
ranger,0.5,0.16666666666666666,0.5,1.0,1,0
jellybean,1.0,1.0,1.0,1.0,1,1
awile,1.0,1.0,1.0,1.0,1,1
solitude,1.0,0.5,1.0,1.0,1,0
busyy,0.5,1.0,0.5,1.0,1,1
kindda,0.5,1.0,0.5,1.0,1,1
cuzzins,1.0,1.0,1.0,1.0,1,1
sandwichs,0.3333333333333333,0.5,0.3333333333333333,1.0,1,0
croissant,0.3333333333333333,0.5,0.3333333333333333,1.0,1,0
cappuccino,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,0
tisha,1.0,1.0,1.0,1.0,1,1
childless,1.0,1.0,1.0,1.0,1,1
actor,1.0,0.14285714285714285,1.0,1.0,1,0
tonta,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
tqm,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
mamita,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
morgan,0.5,0.1111111111111111,0.5,1.0,1,0
harper,0.5,0.5,0.5,1.0,1,0
cll,1.0,1.0,1.0,1.0,1,1
jaylen,0.5,1.0,0.5,1.0,1,1
korey,0.5,1.0,0.5,1.0,1,1
srsly,1.0,1.0,1.0,1.0,1,1
sentience,1.0,0.16666666666666666,1.0,1.0,1,0
bai,1.0,0.3333333333333333,1.0,1.0,1,0
kenrick,1.0,1.0,1.0,1.0,1,1
pissen,1.0,1.0,1.0,1.0,1,1
fruitopia,1.0,1.0,1.0,1.0,1,1
kiprich,1.0,1.0,1.0,1.0,1,1
reput,1.0,1.0,1.0,1.0,1,1
menu,1.0,0.14285714285714285,1.0,1.0,1,0
recognizable,1.0,0.3333333333333333,1.0,1.0,1,0
archer,1.0,0.2,1.0,1.0,1,0
chere,1.0,1.0,1.0,1.0,1,1
growl,1.0,0.25,1.0,1.0,1,0
damien,0.5,1.0,0.5,1.0,1,1
richards,0.5,0.25,0.5,1.0,1,0
selenagomez,1.0,1.0,1.0,1.0,1,1
deceased,1.0,0.03571428571428571,1.0,1.0,1,0
misquoted,0.5,0.5,0.5,1.0,1,0
interrogated,0.5,0.3333333333333333,0.5,1.0,1,0
spelt,0.5,0.14285714285714285,0.5,1.0,1,0
replied,0.5,0.25,0.5,1.0,1,0
republic,1.0,0.3333333333333333,1.0,1.0,1,0
butterflies,0.5,0.09090909090909091,0.5,1.0,1,0
insects,0.5,0.2,0.5,1.0,1,0
demolished,1.0,0.1111111111111111,1.0,1.0,1,0
kamarmu,1.0,1.0,1.0,1.0,1,1
discount,1.0,0.08333333333333333,1.0,1.0,1,0
seperated,1.0,1.0,1.0,1.0,1,1
dinka,1.0,0.5,1.0,1.0,1,0
naat,1.0,1.0,1.0,1.0,1,1
faison,1.0,1.0,1.0,1.0,1,1
chuckie,1.0,1.0,1.0,1.0,1,1
reni,1.0,1.0,1.0,1.0,1,1
benihana,1.0,1.0,1.0,1.0,1,1
squeezin,1.0,1.0,1.0,1.0,1,1
graf,1.0,0.25,1.0,1.0,1,0
dipsy,0.5,1.0,0.5,1.0,1,1
tinge,0.5,0.07142857142857142,0.5,1.0,1,0
childhood,1.0,0.5,1.0,1.0,1,0
syllables,1.0,0.5,1.0,1.0,1,0
getss,1.0,0.014084507042253521,1.0,1.0,1,0
air,0.5,0.038461538461538464,0.5,1.0,1,0
aqua,0.5,0.16666666666666666,0.5,1.0,1,0
convoy,0.5,1.0,0.5,1.0,1,1
helicopters,0.5,0.2,0.5,1.0,1,0
hogans,1.0,0.2,1.0,1.0,1,0
cravingg,1.0,1.0,1.0,1.0,1,1
disco,0.5,0.3333333333333333,0.5,1.0,1,0
tatto,0.5,1.0,0.5,1.0,1,1
seeming,1.0,0.16666666666666666,1.0,1.0,1,0
pagin,1.0,1.0,1.0,1.0,1,1
taelor,1.0,1.0,1.0,1.0,1,1
functioning,1.0,0.1,1.0,1.0,1,0
dicing,1.0,0.3333333333333333,1.0,1.0,1,0
merian,1.0,1.0,1.0,1.0,1,1
payments,0.25,0.2,0.25,1.0,1,0
expire,0.25,0.047619047619047616,0.25,1.0,1,0
scams,0.25,0.058823529411764705,0.25,1.0,1,0
airline,0.25,0.25,0.25,1.0,1,0
jefferson,1.0,0.25,1.0,1.0,1,0
faithfully,0.5,0.3333333333333333,0.5,1.0,1,0
forevaa,0.5,1.0,0.5,1.0,1,1
ayanna,1.0,1.0,1.0,1.0,1,1
pradas,1.0,1.0,1.0,1.0,1,1
provider,1.0,0.5,1.0,1.0,1,0
dingin,1.0,1.0,1.0,1.0,1,1
realllllly,1.0,1.0,1.0,1.0,1,1
tweaked,0.5,0.16666666666666666,0.5,1.0,1,0
scratched,0.5,0.05,0.5,1.0,1,0
spyda,1.0,1.0,1.0,1.0,1,1
stomach,1.0,0.05555555555555555,1.0,1.0,1,0
internal,1.0,0.14285714285714285,1.0,1.0,1,0
lu,1.0,0.2,1.0,1.0,1,0
randee,1.0,1.0,1.0,1.0,1,1
keiara,1.0,1.0,1.0,1.0,1,1
thrashed,1.0,0.05263157894736842,1.0,1.0,1,0
ferg,1.0,1.0,1.0,1.0,1,1
ru,1.0,0.25,1.0,1.0,1,0
naman,1.0,1.0,1.0,1.0,1,1
selana,1.0,1.0,1.0,1.0,1,1
gremlins,1.0,0.125,1.0,1.0,1,0
jaye,1.0,1.0,1.0,1.0,1,1
nuggets,1.0,0.5,1.0,1.0,1,0
ee,1.0,0.3333333333333333,1.0,1.0,1,0
contract,0.5,0.041666666666666664,0.5,1.0,1,0
announces,0.5,0.125,0.5,1.0,1,0
kor,1.0,0.5,1.0,1.0,1,0
quan,1.0,1.0,1.0,1.0,1,1
memandang,1.0,1.0,1.0,1.0,1,1
orginal,1.0,1.0,1.0,1.0,1,1
noooon,1.0,1.0,1.0,1.0,1,1
chemo,1.0,1.0,1.0,1.0,1,1
ready,1.0,0.1111111111111111,1.0,1.0,1,0
spanked,1.0,0.25,1.0,1.0,1,0
mowry,0.5,1.0,0.5,1.0,1,1
folkss,0.5,0.25,0.5,1.0,1,0
rassi,1.0,1.0,1.0,1.0,1,1
yelawolf,1.0,1.0,1.0,1.0,1,1
sunda,1.0,1.0,1.0,1.0,1,1
lipstick,1.0,0.5,1.0,1.0,1,0
thuggish,1.0,1.0,1.0,1.0,1,1
ainy,1.0,1.0,1.0,1.0,1,1
freestylin,1.0,1.0,1.0,1.0,1,1
splinter,1.0,0.25,1.0,1.0,1,0
feek,1.0,1.0,1.0,1.0,1,1
sv,1.0,1.0,1.0,1.0,1,1
cryin,1.0,1.0,1.0,1.0,1,1
nel,1.0,1.0,1.0,1.0,1,1
bribri,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
